Agent Class,Total Wealth,AdriaticPottery,AegeanPottery,NAPottery,GallicPottery,EgyptianPottery,BaeticanPottery,TarrPottery,IberianPottery,ItalianPottery,EMPottery
Adria,32.94722499999995,3.55,3.92,4.17,3.65,3.83,3.87,4.24,3.83,3.87,3.9
Aegean,88.46862499999997,3.57,2.92,3.28,3.26,3.31,3.34,3.36,3.37,3.26,3.17
Baetica,238.81930000000003,4.44,4.0,4.2,4.08,4.04,4.44,4.16,4.08,4.5,4.14
Eastern Mediterranean,350.2325250000001,3.52,3.93,3.96,3.34,3.61,3.53,3.52,3.44,3.34,3.3
Egypt,104.69837499999996,2.83,2.68,2.73,2.73,3.15,2.61,2.58,2.58,2.85,2.63
Gallia,389.4086250000001,4.31,4.11,3.75,4.03,3.98,3.69,3.44,3.8,4.08,4.09
Iberian Peninsula,758.9485249999998,4.62,4.2,4.52,4.88,4.5,4.67,4.21,4.68,4.86,4.31
Italy,1125.4964249999994,4.57,4.96,4.86,4.68,4.58,4.56,4.88,5.01,4.53,4.79
North Africa,1318.1839499999994,4.87,4.97,4.48,5.12,4.52,4.76,4.95,5.02,4.99,4.73
Tarraconensis,218.64944999999992,3.43,3.44,3.34,3.62,3.08,3.12,3.19,3.54,3.27,3.26
