Agent Class,Total Wealth,AdriaticPottery,AegeanPottery,NAPottery,GallicPottery,EgyptianPottery,BaeticanPottery,TarrPottery,IberianPottery,ItalianPottery,EMPottery,total
Adria,"32,947225","3,55","3,92","4,17","3,65","3,83","3,87","4,24","3,83","3,87","3,9","38,83"
Aegean,"88,468625","3,57","2,92","3,28","3,26","3,31","3,34","3,36","3,37","3,26","3,17","32,84"
Baetica,"238,8193","4,44",4,"4,2","4,08","4,04","4,44","4,16","4,08","4,5","4,14","42,08"
Eastern Mediterranean,"350,232525","3,52","3,93","3,96","3,34","3,61","3,53","3,52","3,44","3,34","3,3","35,49"
Egypt,"104,698375","2,83","2,68","2,73","2,73","3,15","2,61","2,58","2,58","2,85","2,63","27,37"
Gallia,"389,408625","4,31","4,11","3,75","4,03","3,98","3,69","3,44","3,8","4,08","4,09","39,28"
Iberian Peninsula,"758,948525","4,62","4,2","4,52","4,88","4,5","4,67","4,21","4,68","4,86","4,31","45,45"
Italy,"1125,496425","4,57","4,96","4,86","4,68","4,58","4,56","4,88","5,01","4,53","4,79","47,42"
North Africa,"1318,18395","4,87","4,97","4,48","5,12","4,52","4,76","4,95","5,02","4,99","4,73","48,41"
Tarraconensis,"218,64945","3,43","3,44","3,34","3,62","3,08","3,12","3,19","3,54","3,27","3,26","33,29"
