Agent Class,Total Wealth,AdriaticPottery,GallicPottery,NAPottery,EMPottery,BaeticanPottery,IberianPottery,EgyptianPottery,ItalianPottery,TarrPottery,AegeanPottery
Adria,147.0842500000001,2.84,2.59,2.44,2.62,2.55,2.73,2.45,2.73,2.69,2.63
Aegean,306.78340000000003,2.95,3.25,3.11,2.8,2.99,2.96,3.27,3.29,3.01,3.31
Baetica,569.3243749999999,3.44,3.68,3.54,3.35,3.14,3.27,3.28,3.43,3.27,3.38
Eastern Mediterranean,474.159725,3.15,3.41,3.07,3.34,3.22,3.38,3.52,3.11,3.26,3.58
Egypt,777.7768500000001,4.4,3.71,3.99,4.08,4.18,4.24,4.47,4.29,4.43,3.93
Gallia,330.5913000000001,3.17,3.46,3.54,3.38,3.3,3.24,3.28,3.46,2.77,3.33
Iberian Peninsula,611.0996750000003,3.38,3.43,3.31,3.39,3.48,3.63,3.56,3.37,3.72,3.63
Italy,384.0882000000003,3.34,3.25,3.39,3.18,3.27,3.31,3.36,3.1,3.27,3.31
North Africa,624.9686250000002,3.42,3.65,3.82,3.45,3.53,3.57,3.51,3.8,3.7,3.54
Tarraconensis,241.73370000000014,3.17,3.28,3.57,3.41,3.37,3.49,3.67,3.23,3.3,3.37
