Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AdriaticPottery,GallicPottery,NAPottery,EMPottery,BaeticanPottery,IberianPottery,EgyptianPottery,ItalianPottery,TarrPottery,AegeanPottery
1,Adria,conservative_trade,False,0.1920000000000245,1.2,2.1,1.5,1.8,1.3,1.2,1.5,1.4,2.1,2.2
2,Adria,conservative_trade,False,0.19724999999999468,1.6,1.7,1.7,1.8,1.8,2.1,1.2,1.9,1.2,1.6
3,Adria,aggressive_trade,False,0.6450000000001523,7.0,2.0,5.0,3.0,4.0,5.0,4.0,8.0,3.0,4.0
3,Adria,aggressive_trade,True,655.9386111111118,5.222222222222222,5.0,4.111111111111111,4.777777777777778,5.111111111111111,5.555555555555555,4.666666666666667,4.0,4.0,3.4444444444444446
4,Adria,conservative_trade,False,0.22599999999999976,2.3,1.4,1.5,1.5,1.4,2.0,1.3,1.3,1.7,1.6
5,Adria,random_trade,False,0.3072500000001157,2.6,3.2,2.3,2.2,2.5,3.5,2.8,2.6,3.1,2.2
6,Adria,random_trade,False,0.4985000000001243,2.0,2.9,2.4,2.6,2.2,2.6,2.2,3.6,2.8,2.8
7,Adria,random_trade,False,0.36675000000003344,2.5,2.6,2.7,2.9,2.7,2.8,2.3,1.6,2.5,3.4
8,Adria,aggressive_trade,True,878.1312500000001,5.3,4.3,4.2,4.8,4.4,3.1,4.7,5.0,5.0,5.1
9,Adria,conservative_trade,False,0.1627500000001377,1.7,1.4,1.5,1.6,1.6,1.7,1.2,2.5,2.2,1.0
10,Adria,random_trade,False,0.3515000000000092,3.8,1.6,2.4,2.4,2.6,2.8,2.7,3.0,2.4,2.9
11,Aegean,aggressive_trade,False,0.4974999999991496,6.0,4.0,0.0,5.0,6.0,6.0,3.0,6.0,2.0,5.0
11,Aegean,aggressive_trade,True,1269.8641666666667,4.444444444444445,4.333333333333333,3.6666666666666665,4.666666666666667,4.444444444444445,4.333333333333333,4.777777777777778,4.555555555555555,4.888888888888889,6.555555555555555
12,Aegean,aggressive_trade,True,860.1019999999995,4.9,5.5,4.4,3.3,5.2,3.9,4.8,5.5,4.8,4.4
13,Aegean,conservative_trade,False,0.24024999999996388,2.1,2.1,1.1,1.7,1.0,1.3,1.6,2.0,1.1,2.1
14,Aegean,random_trade,False,0.3492500000000186,2.9,2.7,2.8,2.2,2.3,3.4,3.2,2.6,2.0,2.7
15,Aegean,random_trade,False,0.2312500000000785,1.8,2.9,4.0,2.4,2.3,2.9,2.8,1.8,3.1,2.5
16,Aegean,aggressive_trade,True,1062.8805,4.2,5.1,3.9,4.8,5.3,3.7,5.1,6.5,4.6,4.9
17,Aegean,conservative_trade,False,0.1825000000000448,0.9,1.0,1.8,2.0,1.9,1.7,1.2,2.1,1.4,1.6
18,Aegean,random_trade,False,0.3642500000001455,2.3,2.8,3.0,2.5,2.2,3.1,2.6,3.0,2.7,3.4
19,Aegean,random_trade,False,0.3102500000000899,2.8,2.4,3.5,2.2,2.0,2.6,3.5,2.8,3.0,3.2
20,Aegean,random_trade,False,0.24625000000011835,3.0,3.7,3.3,2.2,3.1,2.5,3.3,1.9,2.8,1.9
21,Baetica,conservative_trade,False,0.1910000000000472,1.4,2.5,2.1,1.2,1.5,2.0,1.4,1.4,1.2,1.5
22,Baetica,random_trade,False,0.3367500000001446,3.4,3.1,1.8,3.0,2.0,2.7,1.7,2.9,3.3,2.8
23,Baetica,aggressive_trade,True,1087.4457499999996,4.5,4.1,5.3,4.5,4.6,4.1,4.8,6.2,5.4,4.3
24,Baetica,conservative_trade,False,0.2109999999999924,1.3,1.5,1.2,1.7,1.7,1.7,1.6,1.9,1.8,1.9
25,Baetica,aggressive_trade,True,1210.6459999999995,6.1,5.3,4.3,5.2,5.4,4.7,4.6,5.1,4.0,4.7
26,Baetica,aggressive_trade,True,1104.2585000000006,4.5,5.5,5.9,4.6,3.9,4.7,6.1,4.2,4.4,5.5
27,Baetica,aggressive_trade,False,0.6524999999997192,6.0,5.0,2.0,5.0,5.0,5.0,10.0,2.0,1.0,4.0
27,Baetica,aggressive_trade,True,1162.3563888888884,5.111111111111111,5.333333333333333,5.111111111111111,3.5555555555555554,4.0,5.666666666666667,4.888888888888889,5.555555555555555,4.777777777777778,5.333333333333333
28,Baetica,conservative_trade,False,0.13999999999999269,1.2,2.0,1.7,1.7,2.1,2.0,1.6,1.7,1.0,0.9
29,Baetica,aggressive_trade,True,1243.6754999999998,5.6,6.1,6.9,6.1,4.7,3.6,4.0,3.5,5.5,5.6
30,Baetica,conservative_trade,False,0.1532500000000303,1.2,1.4,1.4,1.8,1.4,1.6,1.6,2.2,1.7,1.4
31,Eastern Mediterranean,conservative_trade,False,0.24625000000006567,1.7,2.4,1.5,0.9,1.7,1.7,1.9,1.8,1.3,1.9
32,Eastern Mediterranean,random_trade,False,0.26075000000008164,2.1,2.8,2.9,3.4,3.3,2.8,3.4,2.5,2.7,2.4
33,Eastern Mediterranean,aggressive_trade,True,1282.7975,4.0,4.3,6.2,5.8,5.2,5.6,5.7,4.7,5.4,5.1
34,Eastern Mediterranean,conservative_trade,False,0.2279999999999638,1.1,1.6,1.7,2.1,1.6,1.5,2.0,1.3,1.8,2.1
35,Eastern Mediterranean,aggressive_trade,True,1082.2694999999999,4.2,4.3,3.7,4.7,4.9,4.7,5.9,4.5,6.9,6.3
36,Eastern Mediterranean,aggressive_trade,True,1142.8415,5.7,6.7,3.9,4.8,4.8,5.6,4.7,4.8,4.8,5.2
37,Eastern Mediterranean,aggressive_trade,True,1232.0542499999997,6.9,4.7,4.2,5.9,4.4,4.6,5.3,5.7,3.7,5.4
38,Eastern Mediterranean,conservative_trade,False,0.2505000000000945,1.4,2.3,0.9,1.2,1.8,1.8,1.9,1.5,1.6,1.7
39,Eastern Mediterranean,conservative_trade,False,0.25675000000003434,1.9,1.8,2.1,2.1,1.9,1.4,1.6,1.7,1.2,2.1
40,Eastern Mediterranean,random_trade,False,0.3922500000000319,2.5,3.2,3.6,2.5,2.6,4.1,2.8,2.6,3.2,3.6
41,Egypt,aggressive_trade,True,1380.0512500000002,6.3,4.4,5.6,6.0,4.6,3.6,5.8,4.2,5.7,5.4
42,Egypt,aggressive_trade,True,1501.54575,6.0,5.0,6.1,4.6,4.0,5.2,6.3,5.0,7.5,3.7
