Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AdriaticPottery,GallicPottery,NAPottery,EMPottery,BaeticanPottery,IberianPottery,EgyptianPottery,ItalianPottery,TarrPottery,AegeanPottery,total_pottery
1,Adria,conservative_trade,False,"0,192","1,2","2,1","1,5","1,8","1,3","1,2","1,5","1,4","2,1","2,2","16,3"
2,Adria,conservative_trade,False,"0,19725","1,6","1,7","1,7","1,8","1,8","2,1","1,2","1,9","1,2","1,6","16,6"
3,Adria,aggressive_trade,False,"0,645",7,2,5,3,4,5,4,8,3,4,45
3,Adria,aggressive_trade,True,"655,9386111111","5,2222222222",5,"4,1111111111","4,7777777778","5,1111111111","5,5555555556","4,6666666667",4,4,"3,4444444444","45,8888888889"
4,Adria,conservative_trade,False,"0,226","2,3","1,4","1,5","1,5","1,4",2,"1,3","1,3","1,7","1,6",16
5,Adria,random_trade,False,"0,30725","2,6","3,2","2,3","2,2","2,5","3,5","2,8","2,6","3,1","2,2",27
6,Adria,random_trade,False,"0,4985",2,"2,9","2,4","2,6","2,2","2,6","2,2","3,6","2,8","2,8","26,1"
7,Adria,random_trade,False,"0,36675","2,5","2,6","2,7","2,9","2,7","2,8","2,3","1,6","2,5","3,4",26
8,Adria,aggressive_trade,True,"878,13125","5,3","4,3","4,2","4,8","4,4","3,1","4,7",5,5,"5,1","45,9"
9,Adria,conservative_trade,False,"0,16275","1,7","1,4","1,5","1,6","1,6","1,7","1,2","2,5","2,2",1,"16,4"
10,Adria,random_trade,False,"0,3515","3,8","1,6","2,4","2,4","2,6","2,8","2,7",3,"2,4","2,9","26,6"
11,Aegean,aggressive_trade,False,"0,4975",6,4,0,5,6,6,3,6,2,5,43
11,Aegean,aggressive_trade,True,"1269,8641666667","4,4444444444","4,3333333333","3,6666666667","4,6666666667","4,4444444444","4,3333333333","4,7777777778","4,5555555556","4,8888888889","6,5555555556","46,6666666667"
12,Aegean,aggressive_trade,True,"860,102","4,9","5,5","4,4","3,3","5,2","3,9","4,8","5,5","4,8","4,4","46,7"
13,Aegean,conservative_trade,False,"0,24025","2,1","2,1","1,1","1,7",1,"1,3","1,6",2,"1,1","2,1","16,1"
14,Aegean,random_trade,False,"0,34925","2,9","2,7","2,8","2,2","2,3","3,4","3,2","2,6",2,"2,7","26,8"
15,Aegean,random_trade,False,"0,23125","1,8","2,9",4,"2,4","2,3","2,9","2,8","1,8","3,1","2,5","26,5"
16,Aegean,aggressive_trade,True,"1062,8805","4,2","5,1","3,9","4,8","5,3","3,7","5,1","6,5","4,6","4,9","48,1"
17,Aegean,conservative_trade,False,"0,1825","0,9",1,"1,8",2,"1,9","1,7","1,2","2,1","1,4","1,6","15,6"
18,Aegean,random_trade,False,"0,36425","2,3","2,8",3,"2,5","2,2","3,1","2,6",3,"2,7","3,4","27,6"
19,Aegean,random_trade,False,"0,31025","2,8","2,4","3,5","2,2",2,"2,6","3,5","2,8",3,"3,2",28
20,Aegean,random_trade,False,"0,24625",3,"3,7","3,3","2,2","3,1","2,5","3,3","1,9","2,8","1,9","27,7"
21,Baetica,conservative_trade,False,"0,191","1,4","2,5","2,1","1,2","1,5",2,"1,4","1,4","1,2","1,5","16,2"
22,Baetica,random_trade,False,"0,33675","3,4","3,1","1,8",3,2,"2,7","1,7","2,9","3,3","2,8","26,7"
23,Baetica,aggressive_trade,True,"1087,44575","4,5","4,1","5,3","4,5","4,6","4,1","4,8","6,2","5,4","4,3","47,8"
24,Baetica,conservative_trade,False,"0,211","1,3","1,5","1,2","1,7","1,7","1,7","1,6","1,9","1,8","1,9","16,3"
25,Baetica,aggressive_trade,True,"1210,646","6,1","5,3","4,3","5,2","5,4","4,7","4,6","5,1",4,"4,7","49,4"
26,Baetica,aggressive_trade,True,"1104,2585","4,5","5,5","5,9","4,6","3,9","4,7","6,1","4,2","4,4","5,5","49,3"
27,Baetica,aggressive_trade,False,"0,6525",6,5,2,5,5,5,10,2,1,4,45
27,Baetica,aggressive_trade,True,"1162,3563888889","5,1111111111","5,3333333333","5,1111111111","3,5555555556",4,"5,6666666667","4,8888888889","5,5555555556","4,7777777778","5,3333333333","49,3333333333"
28,Baetica,conservative_trade,False,"0,14","1,2",2,"1,7","1,7","2,1",2,"1,6","1,7",1,"0,9","15,9"
29,Baetica,aggressive_trade,True,"1243,6755","5,6","6,1","6,9","6,1","4,7","3,6",4,"3,5","5,5","5,6","51,6"
30,Baetica,conservative_trade,False,"0,15325","1,2","1,4","1,4","1,8","1,4","1,6","1,6","2,2","1,7","1,4","15,7"
31,Eastern Mediterranean,conservative_trade,False,"0,24625","1,7","2,4","1,5","0,9","1,7","1,7","1,9","1,8","1,3","1,9","16,8"
32,Eastern Mediterranean,random_trade,False,"0,26075","2,1","2,8","2,9","3,4","3,3","2,8","3,4","2,5","2,7","2,4","28,3"
33,Eastern Mediterranean,aggressive_trade,True,"1282,7975",4,"4,3","6,2","5,8","5,2","5,6","5,7","4,7","5,4","5,1",52
34,Eastern Mediterranean,conservative_trade,False,"0,228","1,1","1,6","1,7","2,1","1,6","1,5",2,"1,3","1,8","2,1","16,8"
35,Eastern Mediterranean,aggressive_trade,True,"1082,2695","4,2","4,3","3,7","4,7","4,9","4,7","5,9","4,5","6,9","6,3","50,1"
36,Eastern Mediterranean,aggressive_trade,True,"1142,8415","5,7","6,7","3,9","4,8","4,8","5,6","4,7","4,8","4,8","5,2",51
37,Eastern Mediterranean,aggressive_trade,True,"1232,05425","6,9","4,7","4,2","5,9","4,4","4,6","5,3","5,7","3,7","5,4","50,8"
38,Eastern Mediterranean,conservative_trade,False,"0,2505","1,4","2,3","0,9","1,2","1,8","1,8","1,9","1,5","1,6","1,7","16,1"
39,Eastern Mediterranean,conservative_trade,False,"0,25675","1,9","1,8","2,1","2,1","1,9","1,4","1,6","1,7","1,2","2,1","17,8"
40,Eastern Mediterranean,random_trade,False,"0,39225","2,5","3,2","3,6","2,5","2,6","4,1","2,8","2,6","3,2","3,6","30,7"
41,Egypt,aggressive_trade,True,"1380,05125","6,3","4,4","5,6",6,"4,6","3,6","5,8","4,2","5,7","5,4","51,6"
42,Egypt,aggressive_trade,True,"1501,54575",6,5,"6,1","4,6",4,"5,2","6,3",5,"7,5","3,7","53,4"
43,Egypt,random_trade,False,"0,2525","3,1","3,1","2,1","3,8","2,9","3,3","3,1","2,3","2,7","3,7","30,1"
44,Egypt,aggressive_trade,True,"1699,94625","6,2","5,1","4,4","5,9","4,3","5,8","4,9","7,6","5,1","4,6","53,9"
45,Egypt,random_trade,False,"0,33475","2,2","2,6","3,7","1,9","3,4","3,3","3,4","3,1","3,1","2,2","28,9"
46,Egypt,random_trade,False,"0,251","3,4",3,"2,8","1,9","3,5","3,8","3,9","2,7","3,1","2,1","30,2"
47,Egypt,random_trade,False,"0,43825","3,3","2,6","2,7","3,2","2,8","2,5","2,9","2,5","2,9","2,9","28,3"
48,Egypt,aggressive_trade,True,"1344,87225","4,2",3,"4,6","5,9","7,9","6,4","4,4","6,5",5,"5,6","53,5"
49,Egypt,aggressive_trade,True,"1849,86675","6,2","4,6","5,7","5,3","5,2","5,3","6,1","4,9","6,2","5,6","55,1"
50,Egypt,random_trade,False,"0,20975","3,1","3,7","2,2","2,3","3,2","3,2","3,9","4,1",3,"3,5","32,2"
51,Gallia,random_trade,False,"0,32825","2,9","3,3","3,2","3,2","2,7","2,7","2,8","3,2","2,8","3,2",30
52,Gallia,aggressive_trade,True,"1595,2175",4,"4,4",5,"6,3","7,1","5,9",5,"6,4","5,1","5,9","55,1"
53,Gallia,random_trade,False,"0,3825","3,9",3,"4,1","3,2","2,6","2,2","3,7","2,7","2,5","2,2","30,1"
54,Gallia,aggressive_trade,True,"1707,8055","5,5","6,9","6,8","3,5","6,3","6,3",5,5,"4,2","5,5",55
