Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AegeanPottery,EMPottery,NAPottery,AdriaticPottery,IberianPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery
1,Adria,random_trade,False,0.23900000000041208,2.3,1.5,2.1,1.8,2.0,2.2,1.6,2.8,2.1,2.6
2,Adria,random_trade,False,0.1562500000003866,2.9,1.8,1.9,1.5,2.4,2.5,2.3,1.8,1.5,1.6
3,Adria,random_trade,False,0.16549999999998738,1.7,2.2,1.9,2.2,2.3,1.5,2.3,1.8,1.5,2.5
4,Adria,random_trade,False,0.21925000000032985,1.9,2.5,1.7,2.7,2.2,2.5,2.0,2.6,2.4,2.7
5,Adria,random_trade,False,0.2292500000003666,1.3,2.6,1.7,2.3,3.1,2.4,1.7,1.6,2.4,3.1
6,Adria,conservative_trade,False,0.10099999999994871,1.3,1.4,1.4,1.4,0.4,2.3,1.2,1.2,1.5,1.3
7,Adria,aggressive_trade,False,0.4124999999989381,4.2,3.2,3.3,4.3,2.7,4.1,3.8,3.9,3.8,3.9
8,Adria,conservative_trade,False,0.15300000000000452,1.8,1.7,1.4,1.1,1.4,1.7,0.8,1.4,2.1,1.8
9,Adria,aggressive_trade,False,0.2302499999996998,4.3,3.4,4.6,4.3,3.8,3.7,2.8,3.9,3.9,3.4
10,Adria,random_trade,False,0.27775000000017097,2.3,1.9,3.7,2.0,2.1,2.2,1.9,2.2,2.5,2.6
11,Aegean,aggressive_trade,False,0.2992499999998316,4.0,4.1,3.2,3.0,4.0,4.8,3.7,4.2,3.3,3.3
12,Aegean,aggressive_trade,False,0.6212500000006793,4.1,4.3,4.3,4.8,3.3,3.9,5.0,4.3,3.9,3.0
13,Aegean,aggressive_trade,False,0.2622499999997455,4.3,3.4,4.9,3.7,4.3,4.1,3.3,4.2,3.3,4.6
14,Aegean,aggressive_trade,False,0.4437499999986728,3.9,4.8,4.8,4.2,4.4,3.5,4.0,4.1,4.4,3.7
15,Aegean,aggressive_trade,False,0.4079999999998781,3.1,4.2,4.3,4.4,4.3,3.4,4.1,4.5,4.0,4.3
16,Aegean,aggressive_trade,False,0.33874999999911914,2.9,3.8,4.7,4.6,4.5,4.7,4.8,4.6,4.4,3.7
17,Aegean,aggressive_trade,False,0.273999999998073,3.5,4.1,4.5,5.1,3.8,4.5,4.3,4.6,3.7,3.5
18,Aegean,conservative_trade,False,0.16724999999991988,1.3,2.1,1.8,0.9,1.9,1.3,1.9,2.3,1.2,1.5
19,Aegean,aggressive_trade,False,0.5727500000006216,2.7,3.8,4.7,5.1,3.6,4.9,3.3,4.8,4.1,5.9
20,Aegean,aggressive_trade,False,0.6359999999995288,6.6,5.3,3.4,3.9,4.2,4.4,3.8,4.4,5.5,4.9
21,Baetica,aggressive_trade,False,0.34575000000112754,4.7,5.6,4.3,5.1,3.7,4.1,5.1,4.6,4.6,6.3
22,Baetica,random_trade,False,0.2477500000000655,2.9,2.8,1.6,3.0,2.3,1.7,2.9,3.1,3.2,2.8
23,Baetica,aggressive_trade,False,0.37499999999967637,5.9,5.4,3.9,5.4,4.6,4.3,4.0,3.5,5.9,5.6
24,Baetica,conservative_trade,False,0.20574999999983024,1.3,1.5,1.8,1.1,1.4,2.0,1.7,1.0,1.7,1.5
25,Baetica,conservative_trade,False,0.15925000000009878,1.1,1.4,1.7,1.5,1.1,2.4,1.6,1.9,1.3,1.6
26,Baetica,random_trade,False,0.23950000000006896,2.4,3.3,2.9,2.9,2.1,2.2,3.0,2.9,2.8,1.8
27,Baetica,aggressive_trade,False,0.4152499999992605,4.5,4.6,4.7,4.5,3.8,6.2,6.8,5.3,4.5,4.7
28,Baetica,aggressive_trade,False,0.49224999999962193,5.7,4.1,5.2,6.3,4.8,4.2,6.1,4.1,5.3,5.1
29,Baetica,random_trade,False,0.18600000000016229,1.8,3.0,2.8,3.5,1.8,1.4,2.4,3.3,2.9,2.4
30,Baetica,random_trade,False,0.23950000000006305,2.8,1.9,3.0,3.2,2.8,2.4,2.4,3.0,2.7,2.5
31,Eastern Mediterranean,aggressive_trade,False,0.5055000000008295,4.6,4.6,3.4,5.0,5.7,5.4,6.4,4.8,5.0,4.8
32,Eastern Mediterranean,aggressive_trade,False,0.521750000000209,5.0,5.1,5.4,5.7,4.3,4.9,5.8,5.3,6.6,4.3
33,Eastern Mediterranean,conservative_trade,False,0.12724999999992032,1.5,2.1,1.1,0.9,1.6,1.9,1.6,2.6,1.6,1.3
34,Eastern Mediterranean,aggressive_trade,False,0.4930555555550396,3.888888888888889,6.111111111111111,4.777777777777778,5.666666666666667,5.111111111111111,6.0,5.111111111111111,5.555555555555555,5.0,5.111111111111111
34,Eastern Mediterranean,aggressive_trade,True,640.5800000000061,4.0,4.0,5.0,2.0,5.0,4.0,9.0,9.0,9.0,13.0
35,Eastern Mediterranean,random_trade,False,0.22550000000025708,2.8,2.2,1.8,1.5,3.6,2.5,2.8,2.8,2.0,3.2
36,Eastern Mediterranean,aggressive_trade,False,0.49281249999962684,5.25,4.875,6.25,4.625,7.625,4.5,5.625,5.25,5.125,4.875
36,Eastern Mediterranean,aggressive_trade,True,635.7312499999929,3.0,4.0,6.5,8.0,5.0,5.5,9.0,4.0,7.0,8.5
37,Eastern Mediterranean,random_trade,False,0.3057500000001329,2.8,3.6,2.2,2.7,2.4,2.9,1.9,1.5,4.3,2.4
38,Eastern Mediterranean,conservative_trade,False,0.14624999999999663,1.6,1.3,1.5,2.0,1.1,1.5,1.3,1.6,1.9,1.5
