Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AegeanPottery,EMPottery,NAPottery,AdriaticPottery,IberianPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,total_pottery
1,Adria,random_trade,False,"0,239","2,3","1,5","2,1","1,8",2,"2,2","1,6","2,8","2,1","2,6",21
2,Adria,random_trade,False,"0,15625","2,9","1,8","1,9","1,5","2,4","2,5","2,3","1,8","1,5","1,6","20,2"
3,Adria,random_trade,False,"0,1655","1,7","2,2","1,9","2,2","2,3","1,5","2,3","1,8","1,5","2,5","19,9"
4,Adria,random_trade,False,"0,21925","1,9","2,5","1,7","2,7","2,2","2,5",2,"2,6","2,4","2,7","23,2"
5,Adria,random_trade,False,"0,22925","1,3","2,6","1,7","2,3","3,1","2,4","1,7","1,6","2,4","3,1","22,2"
6,Adria,conservative_trade,False,"0,101","1,3","1,4","1,4","1,4","0,4","2,3","1,2","1,2","1,5","1,3","13,4"
7,Adria,aggressive_trade,False,"0,4125","4,2","3,2","3,3","4,3","2,7","4,1","3,8","3,9","3,8","3,9","37,2"
8,Adria,conservative_trade,False,"0,153","1,8","1,7","1,4","1,1","1,4","1,7","0,8","1,4","2,1","1,8","15,2"
9,Adria,aggressive_trade,False,"0,23025","4,3","3,4","4,6","4,3","3,8","3,7","2,8","3,9","3,9","3,4","38,1"
10,Adria,random_trade,False,"0,27775","2,3","1,9","3,7",2,"2,1","2,2","1,9","2,2","2,5","2,6","23,4"
11,Aegean,aggressive_trade,False,"0,29925",4,"4,1","3,2",3,4,"4,8","3,7","4,2","3,3","3,3","37,6"
12,Aegean,aggressive_trade,False,"0,62125","4,1","4,3","4,3","4,8","3,3","3,9",5,"4,3","3,9",3,"40,9"
13,Aegean,aggressive_trade,False,"0,26225","4,3","3,4","4,9","3,7","4,3","4,1","3,3","4,2","3,3","4,6","40,1"
14,Aegean,aggressive_trade,False,"0,44375","3,9","4,8","4,8","4,2","4,4","3,5",4,"4,1","4,4","3,7","41,8"
15,Aegean,aggressive_trade,False,"0,408","3,1","4,2","4,3","4,4","4,3","3,4","4,1","4,5",4,"4,3","40,6"
16,Aegean,aggressive_trade,False,"0,33875","2,9","3,8","4,7","4,6","4,5","4,7","4,8","4,6","4,4","3,7","42,7"
17,Aegean,aggressive_trade,False,"0,274","3,5","4,1","4,5","5,1","3,8","4,5","4,3","4,6","3,7","3,5","41,6"
18,Aegean,conservative_trade,False,"0,16725","1,3","2,1","1,8","0,9","1,9","1,3","1,9","2,3","1,2","1,5","16,2"
19,Aegean,aggressive_trade,False,"0,57275","2,7","3,8","4,7","5,1","3,6","4,9","3,3","4,8","4,1","5,9","42,9"
20,Aegean,aggressive_trade,False,"0,636","6,6","5,3","3,4","3,9","4,2","4,4","3,8","4,4","5,5","4,9","46,4"
21,Baetica,aggressive_trade,False,"0,34575","4,7","5,6","4,3","5,1","3,7","4,1","5,1","4,6","4,6","6,3","48,1"
