Agent Class,Total Wealth,BaeticanPottery,EgyptianPottery,TarrPottery,GallicPottery,ItalianPottery,AegeanPottery,WMPottery,AdriaticPottery,NAPottery,IberianPottery,EMPottery
Adria,1.3210000000000455,1.72,1.41,1.77,1.7,1.81,1.67,1.68,1.79,1.65,1.58,1.69
Aegean,2.9784499999999747,1.93,1.97,2.08,2.08,2.1,2.07,1.77,2.06,1.91,1.95,1.91
Baetica,2.536824999999926,1.57,1.77,1.89,1.73,1.56,1.91,2.04,1.74,1.96,1.8,1.64
Eastern Mediterranean,3.1767999999999406,1.68,2.06,1.93,1.83,2.06,1.81,1.89,2.21,1.84,2.06,1.74
Egypt,3.0852749999999394,2.78,2.38,2.34,2.45,2.25,2.34,2.21,2.4,2.3,2.27,2.58
Gallia,3.1869499999999715,1.92,1.78,2.2,2.25,2.19,1.81,1.99,1.79,1.9,1.98,1.92
Iberian Peninsula,2.8284999999999525,1.92,2.22,1.77,1.85,1.73,2.13,1.86,1.54,1.66,1.97,1.75
Italy,3.7893999999999575,1.9,2.25,2.09,2.14,2.35,2.35,2.12,2.23,2.25,2.14,2.33
North Africa,3.8771249999999617,2.02,2.34,2.21,2.22,2.2,2.04,2.18,2.09,2.31,2.3,2.05
Tarraconensis,5.4385749999999655,2.87,2.77,2.59,2.89,3.14,3.04,3.0,2.65,2.68,3.1,2.92
Western Mediterranean,4.8722249999999825,2.79,2.66,2.64,2.61,2.41,2.4,2.43,2.63,2.65,2.69,2.7
