Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,EgyptianPottery,TarrPottery,GallicPottery,ItalianPottery,AegeanPottery,WMPottery,AdriaticPottery,NAPottery,IberianPottery,EMPottery
1,Adria,conservative_trade,False,1.4500000000000766,1.2,0.7,1.2,1.1,1.0,1.2,1.6,0.6,1.5,1.3,1.2
2,Adria,random_trade,False,1.3900000000001564,1.5,0.8,2.1,1.4,0.9,1.7,2.1,1.5,1.7,1.3,1.6
3,Adria,random_trade,False,1.1600000000000805,1.7,0.7,1.2,1.6,2.6,1.5,0.8,2.1,0.8,1.3,1.4
4,Adria,aggressive_trade,False,1.4799999999999947,3.0,1.9,2.3,1.9,1.9,2.4,2.6,2.6,1.8,1.6,3.1
5,Adria,conservative_trade,False,1.440000000000048,1.0,0.9,1.2,1.7,1.0,1.8,0.9,1.8,1.2,1.4,0.7
6,Adria,random_trade,False,0.9900000000000698,1.9,1.5,0.8,1.2,1.4,1.2,1.6,1.9,1.1,1.5,1.1
7,Adria,aggressive_trade,False,0.9999999999999852,1.8,1.6,3.0,2.2,2.9,2.6,2.0,2.6,2.5,1.8,2.9
8,Adria,aggressive_trade,False,2.5699999999999426,2.8,3.5,2.7,3.2,3.5,2.7,3.2,2.4,3.6,3.1,2.5
9,Adria,conservative_trade,False,0.6700000000000239,0.9,1.3,1.9,1.3,1.7,0.6,0.7,1.0,0.8,1.6,1.3
10,Adria,conservative_trade,False,1.060000000000077,1.4,1.2,1.3,1.4,1.2,1.0,1.3,1.4,1.5,0.9,1.1
11,Aegean,random_trade,False,2.306249999999945,1.4,2.5,1.5,1.1,1.9,1.6,1.0,0.8,1.6,1.8,1.3
12,Aegean,aggressive_trade,False,3.5404999999999687,2.2,2.0,2.5,2.9,2.6,2.0,2.3,2.3,2.9,1.1,2.0
13,Aegean,aggressive_trade,False,4.040999999999975,2.6,3.1,2.7,2.7,1.9,2.6,1.7,2.3,1.7,2.7,2.4
14,Aegean,random_trade,False,2.6637499999999896,1.2,0.4,1.3,1.9,1.1,2.5,1.5,1.7,1.6,1.5,1.6
15,Aegean,conservative_trade,False,1.5582499999999992,1.4,1.6,1.2,1.1,1.2,1.3,1.3,1.2,1.0,1.7,1.1
16,Aegean,conservative_trade,False,1.0945000000000333,0.8,1.0,1.2,1.4,0.7,1.2,1.4,1.5,1.7,1.0,1.7
17,Aegean,aggressive_trade,False,7.15349999999997,2.8,2.4,2.1,2.7,3.5,2.8,3.0,2.5,2.7,2.9,2.5
18,Aegean,aggressive_trade,False,2.8692500000000183,2.4,3.3,2.9,2.3,3.6,2.8,1.8,2.7,2.2,2.5,2.2
19,Aegean,random_trade,False,2.9294999999999947,1.8,1.9,2.5,1.6,2.2,2.1,1.0,1.4,1.1,1.7,1.4
20,Aegean,aggressive_trade,False,1.6279999999998531,2.7,1.5,2.9,3.1,2.3,1.8,2.7,4.2,2.6,2.6,2.9
21,Baetica,conservative_trade,False,1.1312499999999062,0.8,1.6,1.1,1.6,1.2,1.2,1.3,1.3,1.3,0.9,0.6
22,Baetica,aggressive_trade,False,2.906999999999822,1.3,2.1,3.1,2.4,2.4,2.9,3.0,3.1,2.5,2.8,2.5
23,Baetica,random_trade,False,3.608499999999984,1.7,0.7,1.4,1.9,2.4,1.3,1.6,2.0,1.7,1.0,1.2
24,Baetica,random_trade,False,1.4822499999999725,1.7,1.8,2.1,1.4,1.0,1.8,2.2,1.0,1.6,2.3,1.6
25,Baetica,random_trade,False,4.061749999999899,1.2,2.1,2.3,1.4,1.1,1.1,2.0,2.0,2.4,2.1,1.1
