Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,EgyptianPottery,TarrPottery,GallicPottery,ItalianPottery,AegeanPottery,WMPottery,AdriaticPottery,NAPottery,IberianPottery,EMPottery,total_pottery
1,Adria,conservative_trade,False,"1,45","1,2","0,7","1,2","1,1",1,"1,2","1,6","0,6","1,5","1,3","1,2","12,6"
2,Adria,random_trade,False,"1,39","1,5","0,8","2,1","1,4","0,9","1,7","2,1","1,5","1,7","1,3","1,6","16,6"
3,Adria,random_trade,False,"1,16","1,7","0,7","1,2","1,6","2,6","1,5","0,8","2,1","0,8","1,3","1,4","15,7"
4,Adria,aggressive_trade,False,"1,48",3,"1,9","2,3","1,9","1,9","2,4","2,6","2,6","1,8","1,6","3,1","25,1"
5,Adria,conservative_trade,False,"1,44",1,"0,9","1,2","1,7",1,"1,8","0,9","1,8","1,2","1,4","0,7","13,6"
6,Adria,random_trade,False,"0,99","1,9","1,5","0,8","1,2","1,4","1,2","1,6","1,9","1,1","1,5","1,1","15,2"
7,Adria,aggressive_trade,False,1,"1,8","1,6",3,"2,2","2,9","2,6",2,"2,6","2,5","1,8","2,9","25,9"
8,Adria,aggressive_trade,False,"2,57","2,8","3,5","2,7","3,2","3,5","2,7","3,2","2,4","3,6","3,1","2,5","33,2"
9,Adria,conservative_trade,False,"0,67","0,9","1,3","1,9","1,3","1,7","0,6","0,7",1,"0,8","1,6","1,3","13,1"
10,Adria,conservative_trade,False,"1,06","1,4","1,2","1,3","1,4","1,2",1,"1,3","1,4","1,5","0,9","1,1","13,7"
11,Aegean,random_trade,False,"2,30625","1,4","2,5","1,5","1,1","1,9","1,6",1,"0,8","1,6","1,8","1,3","16,5"
12,Aegean,aggressive_trade,False,"3,5405","2,2",2,"2,5","2,9","2,6",2,"2,3","2,3","2,9","1,1",2,"24,8"
13,Aegean,aggressive_trade,False,"4,041","2,6","3,1","2,7","2,7","1,9","2,6","1,7","2,3","1,7","2,7","2,4","26,4"
14,Aegean,random_trade,False,"2,66375","1,2","0,4","1,3","1,9","1,1","2,5","1,5","1,7","1,6","1,5","1,6","16,3"
15,Aegean,conservative_trade,False,"1,55825","1,4","1,6","1,2","1,1","1,2","1,3","1,3","1,2",1,"1,7","1,1","14,1"
16,Aegean,conservative_trade,False,"1,0945","0,8",1,"1,2","1,4","0,7","1,2","1,4","1,5","1,7",1,"1,7","13,6"
17,Aegean,aggressive_trade,False,"7,1535","2,8","2,4","2,1","2,7","3,5","2,8",3,"2,5","2,7","2,9","2,5","29,9"
18,Aegean,aggressive_trade,False,"2,86925","2,4","3,3","2,9","2,3","3,6","2,8","1,8","2,7","2,2","2,5","2,2","28,7"
19,Aegean,random_trade,False,"2,9295","1,8","1,9","2,5","1,6","2,2","2,1",1,"1,4","1,1","1,7","1,4","18,7"
20,Aegean,aggressive_trade,False,"1,628","2,7","1,5","2,9","3,1","2,3","1,8","2,7","4,2","2,6","2,6","2,9","29,3"
21,Baetica,conservative_trade,False,"1,13125","0,8","1,6","1,1","1,6","1,2","1,2","1,3","1,3","1,3","0,9","0,6","12,9"
22,Baetica,aggressive_trade,False,"2,907","1,3","2,1","3,1","2,4","2,4","2,9",3,"3,1","2,5","2,8","2,5","28,1"
23,Baetica,random_trade,False,"3,6085","1,7","0,7","1,4","1,9","2,4","1,3","1,6",2,"1,7",1,"1,2","16,9"
24,Baetica,random_trade,False,"1,48225","1,7","1,8","2,1","1,4",1,"1,8","2,2",1,"1,6","2,3","1,6","18,5"
25,Baetica,random_trade,False,"4,06175","1,2","2,1","2,3","1,4","1,1","1,1",2,2,"2,4","2,1","1,1","18,8"
26,Baetica,conservative_trade,False,"1,0245","1,2","1,5","1,2","1,5","1,3","1,6","0,7","0,9","1,5","1,6","0,9","13,9"
27,Baetica,random_trade,False,"3,45775","1,8","2,1","1,7","1,1","1,2","1,8","2,2","1,2","2,2","2,3","1,5","19,1"
28,Baetica,aggressive_trade,False,"4,303","2,1","3,5","3,1","2,5","1,3","3,3","3,4","2,4",3,"2,2","2,9","29,7"
29,Baetica,random_trade,False,"1,96225","2,4","1,2","1,2",2,"1,8","1,5",2,"2,1","1,7","0,9","1,7","18,5"
30,Baetica,random_trade,False,"1,43","1,5","1,1","1,7","1,5","1,9","2,6",2,"1,4","1,7","1,9","2,4","19,7"
31,Eastern Mediterranean,aggressive_trade,False,"3,61825","1,8","2,9","2,8","2,2","2,7","2,6","2,9","2,8","3,1","3,3","1,6","28,7"
32,Eastern Mediterranean,aggressive_trade,False,"3,25075","2,5",3,"2,6","2,9","3,7","2,4","1,7","2,8","2,2","3,2","3,2","30,2"
33,Eastern Mediterranean,aggressive_trade,False,"6,94525","2,6","2,2","2,7","3,1",2,3,"3,6","3,6","2,4","2,2","2,2","29,6"
34,Eastern Mediterranean,conservative_trade,False,"1,55375","1,7","1,4","1,3","1,5","1,3","1,2","1,3","1,1","1,5",1,"0,7",14
35,Eastern Mediterranean,random_trade,False,"2,90625","1,7","2,4","1,5","1,3","1,8","1,6","1,5","1,9","1,7","1,9","1,9","19,2"
36,Eastern Mediterranean,conservative_trade,False,"1,809","1,3","1,3","1,4","1,3",1,"0,7","1,5","1,7","1,2","1,8","0,9","14,1"
37,Eastern Mediterranean,conservative_trade,False,"1,58075","1,1","0,9","1,4","0,7","1,4",1,1,"1,1","1,5","2,1","1,1","13,3"
38,Eastern Mediterranean,conservative_trade,False,"2,245","0,8",1,"1,8","1,5","1,4","0,8","1,1","1,7","1,3","1,2","1,2","13,8"
39,Eastern Mediterranean,random_trade,False,"2,971","1,2",2,"1,3","1,5","1,8","1,2","1,2","2,7",1,"1,4","1,6","16,9"
40,Eastern Mediterranean,aggressive_trade,False,"4,888","2,1","3,5","2,5","2,3","3,5","3,6","3,1","2,7","2,5","2,5",3,"31,3"
41,Egypt,aggressive_trade,False,"3,2365","3,6","2,7","2,1","3,6","2,6","2,6","3,2","2,7","3,1",2,"2,8",31
42,Egypt,aggressive_trade,False,"4,5225","3,6",4,"4,5","3,2","2,9",2,"2,3","2,6","3,1","2,6","3,4","34,2"
43,Egypt,aggressive_trade,False,"3,60625","3,4","3,5","3,1","3,6","2,4","2,9","4,2",3,"3,5","2,4","3,5","35,5"
44,Egypt,aggressive_trade,False,"1,49175","2,5","2,5","3,3","3,5","3,1","3,2","2,1","3,1","2,4","3,8","3,4","32,9"
45,Egypt,aggressive_trade,False,"5,023",4,"2,7","3,2","2,3",4,"3,5","2,2","2,6","2,8",3,3,"33,3"
46,Egypt,conservative_trade,False,"1,697","1,4","0,9","1,4","1,1","1,3","0,9","1,1","1,6","1,3","1,3","1,6","13,9"
47,Egypt,conservative_trade,False,"2,30125","1,1",1,"1,1","1,1",1,"1,6","1,8","1,5","1,4","0,9","1,2","13,7"
48,Egypt,aggressive_trade,False,"5,19","3,6","3,6","1,9","3,3","2,7","3,7",3,4,"2,4","2,8","3,4","34,4"
49,Egypt,random_trade,False,"2,95325","2,8","1,7","1,8","1,8","1,8","1,9",1,2,"1,8","2,2","2,2",21
50,Egypt,conservative_trade,False,"0,83125","1,8","1,2",1,1,"0,7","1,1","1,2","0,9","1,2","1,7","1,3","13,1"
51,Gallia,aggressive_trade,False,"4,75325","3,6",3,"3,6","3,1","3,2","2,4","3,1",2,"2,7","2,8","2,5",32
52,Gallia,conservative_trade,False,"2,6885",1,"1,2","2,1","1,1","1,1","1,3","1,3","0,9","1,4","1,4","1,2",14
53,Gallia,random_trade,False,"4,1975","1,2","1,3","2,3","1,6","1,9",2,"1,5","1,1","1,6",2,2,"18,5"
54,Gallia,conservative_trade,False,"1,697","0,7","1,1","1,4",2,"1,4","0,5",1,"1,3","1,6",2,"1,5","14,5"
55,Gallia,aggressive_trade,False,"4,7635","2,6","2,9","3,5","3,5","3,5","2,3","3,2","2,5","2,7","2,5","3,3","32,5"
56,Gallia,conservative_trade,False,"2,5495","1,2","0,6","1,3","1,1","1,5","1,7","1,9","1,4","1,2","0,8",1,"13,7"
57,Gallia,aggressive_trade,False,"5,476","3,7","2,8","3,5",4,"3,4",4,"2,5","3,4",3,"3,8",3,"37,1"
58,Gallia,conservative_trade,False,"1,27575",1,"1,3","1,1","1,2",2,"1,2",1,"1,2","1,4","1,3","1,2","13,9"
59,Gallia,random_trade,False,"1,82775",2,"1,8","1,6","2,8","1,9","1,6","1,8",2,"1,7","1,9","1,9",21
60,Gallia,random_trade,False,"2,64075","2,2","1,8","1,6","2,1",2,"1,1","2,6","2,1","1,7","1,3","1,6","20,1"
61,Iberian Peninsula,conservative_trade,False,"1,62425","2,1",2,"1,1","1,3","1,2","0,9","1,5",1,"0,9","1,4",1,"14,4"
62,Iberian Peninsula,random_trade,False,"2,213","1,4","2,6","1,6","1,7","1,9","1,8","2,4","1,6","1,2","1,4","1,4",19
63,Iberian Peninsula,conservative_trade,False,"1,016","1,2","2,1","0,7","1,4","1,2","1,7","1,2",1,"1,4","1,1","0,8","13,8"
64,Iberian Peninsula,random_trade,False,"1,128","1,7","1,6","2,2","1,5","1,4","2,6","1,5","1,3","1,8","2,4","1,9","19,9"
65,Iberian Peninsula,aggressive_trade,False,"4,82275",3,"3,8","2,8","2,7","3,1",4,"2,4","2,3","2,3","3,4",3,"32,8"
66,Iberian Peninsula,conservative_trade,False,"1,37375","1,8","1,9","1,3","1,2","1,3","0,9",1,"1,2","1,6","0,7","1,1",14
67,Iberian Peninsula,aggressive_trade,False,"3,65975","3,6","3,4","3,5",2,"3,1","3,7","3,7","1,7","3,6","4,4","3,5","36,2"
68,Iberian Peninsula,random_trade,False,"3,166","1,7","1,7","1,8",3,"1,4","2,4","1,5","1,7","0,9","1,8","1,8","19,7"
69,Iberian Peninsula,conservative_trade,False,"1,6675","1,1","0,9","0,7","1,5","1,1","1,6","1,4","1,6","1,3","1,4","1,1","13,7"
70,Iberian Peninsula,random_trade,False,"7,614","1,6","2,2",2,"2,2","1,6","1,7",2,2,"1,6","1,7","1,9","20,5"
71,Italy,conservative_trade,False,"3,48","1,2","1,6","1,2","1,3","1,6","1,6",1,"1,4","0,6","1,3",1,"13,8"
72,Italy,aggressive_trade,False,"4,842","2,3",3,"3,2",3,"4,1","2,8","3,1","3,4","3,2","2,6","3,4","34,1"
73,Italy,random_trade,False,"2,65325","1,2","1,4","1,8","2,8","1,9","1,3",2,"2,1",2,"1,4","1,7","19,6"
74,Italy,aggressive_trade,False,"6,45425",3,"3,3",4,2,"3,3",3,"3,1","2,9","3,1","3,3","3,9","34,9"
75,Italy,conservative_trade,False,"1,60775","0,9","1,1","1,1","1,1","1,4",2,"1,1","1,6","1,2","0,9","2,1","14,5"
76,Italy,conservative_trade,False,"1,205","0,9","1,3","0,9","2,2","2,1","0,8","1,3","1,6","1,5","1,1","1,2","14,9"
77,Italy,aggressive_trade,False,"8,95475","3,6","2,9","3,3","2,7","3,8","5,1","2,4","2,7","3,5","3,6","3,2","36,8"
78,Italy,aggressive_trade,False,"3,00575","2,7",4,"3,4","3,4","2,6","3,4","3,3","2,3","3,5","4,5","3,9",37
79,Italy,conservative_trade,False,"3,60475","1,1","1,5","0,7","1,4","0,6","1,5","1,8","1,4","1,5","1,9","1,2","14,6"
80,Italy,random_trade,False,"2,0865","2,1","2,4","1,3","1,5","2,1",2,"2,1","2,9","2,4","0,8","1,7","21,3"
81,North Africa,conservative_trade,False,"3,042","0,9","1,5","2,1","1,2","0,6","1,4","0,7","1,4","1,7","1,8",1,"14,3"
82,North Africa,aggressive_trade,False,"11,72075","2,4","2,9","3,4","3,7","3,2","4,2","3,4","3,2","2,3","3,1","3,2",35
83,North Africa,random_trade,False,"3,981","1,8","2,1","1,1","1,4","2,2","1,2","2,3",2,"2,8","1,7","2,2","20,8"
84,North Africa,random_trade,False,"3,4235","1,1",2,"2,2","2,9","1,9","1,4","2,4","2,1","1,4",2,"1,3","20,7"
85,North Africa,aggressive_trade,False,"5,61575","4,2","4,7","3,5","2,7","2,4","3,2",3,"3,5",4,3,"4,2","38,4"
86,North Africa,conservative_trade,False,"1,25075","0,9","1,1","1,6","0,9","1,6","0,9","1,2","1,4","2,1","1,3",1,14
87,North Africa,random_trade,False,"1,58525",2,"2,5","1,7","1,5","2,1","1,8","2,2","1,3","2,2","2,7","2,1","22,1"
88,North Africa,aggressive_trade,False,"3,6755","3,6","3,2","3,7","3,6","4,1","3,9","3,2","2,7","3,4","4,3","2,4","38,1"
89,North Africa,conservative_trade,False,"1,87925","1,5","1,8","1,4","1,5","1,8","1,3","1,6","1,3","0,9","1,2","1,1","15,4"
90,North Africa,random_trade,False,"2,5975","1,8","1,6","1,4","2,8","2,1","1,1","1,8",2,"2,3","1,9",2,"20,8"
91,Tarraconensis,aggressive_trade,False,"5,14675","4,1","3,4","1,5","2,3","3,5","3,8","3,2","2,8","2,4","3,9","2,3","33,2"
92,Tarraconensis,aggressive_trade,False,"4,728","3,6","3,6","2,4","2,7","2,9","3,6","3,2","3,1","2,9","3,8","3,4","35,2"
93,Tarraconensis,aggressive_trade,False,"3,398","3,3",3,"2,6","3,6","4,1","3,4","3,2","2,5","2,8","4,1","3,4",36
94,Tarraconensis,conservative_trade,False,"2,27375",1,"1,1","1,3",1,"1,8","2,1","1,1","1,2","1,1","1,5","1,3","14,5"
95,Tarraconensis,random_trade,False,"4,4185","2,8","1,5","2,1","1,2",2,"2,2","1,1","1,1","2,1","1,7","2,2",20
96,Tarraconensis,aggressive_trade,False,"7,48925","2,4","3,1","4,7","4,8","2,6","3,4",4,"3,7","3,6","3,1","3,3","38,7"
97,Tarraconensis,random_trade,False,"1,92625","1,9","1,4","1,5","1,9","2,3","1,1","2,2","1,6","1,6",2,"2,3","19,8"
98,Tarraconensis,aggressive_trade,False,"8,138","3,5","3,3","2,6","3,9","3,8","3,7","4,8","3,3","3,1","2,8","4,4","39,2"
99,Tarraconensis,aggressive_trade,False,"8,92125","3,6","2,5","4,1","4,2","3,2","3,7","3,5","3,3","3,8","4,8","2,7","39,4"
100,Tarraconensis,aggressive_trade,False,"7,946","2,5","4,8","3,1","3,3","5,2","3,4","3,7","3,9","3,4","3,3","3,9","40,5"
101,Western Mediterranean,random_trade,False,"3,77375","1,8","1,6","2,2","1,8","1,5","1,2","1,7","2,7","2,6","1,6",2,"20,7"
102,Western Mediterranean,conservative_trade,False,"1,5765",1,"1,2","1,7","2,4","0,5","1,5","1,1",1,"1,1",1,"1,2","13,7"
103,Western Mediterranean,aggressive_trade,False,"4,3285","2,6","3,6","4,5","2,8",4,4,"2,8","4,1",3,4,"3,8","39,2"
104,Western Mediterranean,aggressive_trade,False,"13,0315","4,7","3,9","3,9","2,7","3,9","3,1","3,3","3,5","4,1","4,1","3,6","40,8"
