Agent Class,Total Wealth,ItalianPottery,TarrPottery,GallicPottery,IberianPottery,EgyptianPottery,AdriaticPottery,WMPottery,BaeticanPottery,EMPottery,AegeanPottery,NAPottery
Adria,1.5879999999999836,1.05,1.91,1.65,1.04,1.12,1.29,1.62,0.92,1.38,1.45,1.63
Aegean,2.186399999999911,0.96,2.43,2.35,0.8,2.35,2.18,2.15,0.86,1.9,2.07,1.8
Baetica,2.0313749999999713,0.93,2.26,2.32,1.01,1.72,2.05,1.66,1.06,2.01,1.84,1.59
Eastern Mediterranean,2.1501999999999786,1.18,2.41,1.98,0.88,2.21,1.86,2.0,0.91,1.93,2.0,1.87
Egypt,2.80734999999998,0.88,2.26,1.93,0.95,2.13,1.72,1.57,0.92,1.47,1.31,1.59
Gallia,2.7201249999999555,1.06,2.24,1.85,1.03,1.93,1.91,1.84,1.04,1.63,1.8,1.91
Iberian Peninsula,2.7380999999999727,0.91,3.35,2.97,0.96,2.73,3.04,2.18,0.8,2.05,1.86,1.95
Italy,2.5164000000000333,1.04,2.25,2.06,0.92,2.25,2.11,1.92,1.01,1.45,1.62,1.67
North Africa,2.6652750000000394,1.02,2.2,2.34,1.15,2.36,2.72,1.52,1.0,1.65,1.57,1.59
Tarraconensis,2.960149999999969,0.91,2.78,3.05,1.17,3.26,3.21,1.81,1.03,1.75,1.75,1.88
Western Mediterranean,4.132649999999956,0.77,3.1,4.23,0.78,4.06,3.89,1.59,0.98,1.85,1.84,1.65
