Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,ItalianPottery,TarrPottery,GallicPottery,IberianPottery,EgyptianPottery,AdriaticPottery,WMPottery,BaeticanPottery,EMPottery,AegeanPottery,NAPottery
1,Adria,conservative_trade,False,1.530000000000014,1.5,0.4,0.7,1.1,1.0,0.8,1.0,1.3,1.0,1.1,1.2
2,Adria,conservative_trade,False,1.2800000000000709,1.5,1.0,1.3,1.3,1.3,0.9,0.9,1.2,0.8,0.8,1.3
3,Adria,conservative_trade,False,1.989999999999986,1.7,1.5,0.9,0.4,0.4,0.7,1.3,1.1,1.2,0.9,1.1
4,Adria,aggressive_trade,False,0.9799999999998923,0.4,4.2,3.2,0.7,0.9,1.6,2.3,0.7,0.6,1.7,2.3
5,Adria,random_trade,False,1.7700000000000375,1.2,1.1,1.8,1.5,1.2,1.2,1.4,0.5,1.0,0.7,1.6
6,Adria,conservative_trade,False,1.6900000000000517,1.4,0.6,0.9,1.3,0.5,0.7,1.0,1.2,1.1,1.2,1.1
7,Adria,random_trade,False,1.910000000000009,0.7,1.4,1.3,1.5,0.7,1.4,1.3,1.0,1.4,1.6,1.6
8,Adria,random_trade,False,2.030000000000085,0.7,1.7,1.6,1.4,1.2,1.6,1.9,0.8,1.1,1.4,1.6
9,Adria,aggressive_trade,False,1.199999999999798,0.9,3.8,2.3,0.8,2.4,1.9,2.7,0.7,2.3,2.3,1.9
10,Adria,aggressive_trade,False,1.4999999999998908,0.5,3.4,2.5,0.4,1.6,2.1,2.4,0.7,3.3,2.8,2.6
11,Aegean,conservative_trade,False,2.9134999999999893,1.6,0.6,0.9,1.2,0.9,0.8,0.7,1.1,1.0,0.9,1.5
12,Aegean,aggressive_trade,False,1.1155000000000306,0.8,2.5,1.9,0.5,2.6,2.8,2.7,0.6,2.3,3.0,2.2
13,Aegean,aggressive_trade,False,2.6544999999997234,0.8,3.0,2.5,0.8,2.3,2.4,2.9,0.8,2.4,2.1,1.7
14,Aegean,aggressive_trade,False,2.5197499999998976,0.8,3.1,2.2,1.0,2.8,1.7,2.7,1.9,3.1,3.2,2.6
15,Aegean,aggressive_trade,False,2.8942499999998486,0.5,2.1,3.4,0.8,3.6,2.8,2.5,0.5,2.5,2.3,2.2
16,Aegean,random_trade,False,1.2379999999999955,1.0,1.4,1.6,0.6,1.9,1.2,1.8,0.9,1.0,1.7,0.9
17,Aegean,random_trade,False,1.2209999999999954,1.1,1.4,2.0,0.8,0.3,1.7,2.0,0.6,1.0,1.6,1.3
18,Aegean,conservative_trade,False,2.817000000000034,1.4,0.8,0.3,0.7,1.5,1.0,1.3,1.2,1.2,1.1,0.9
19,Aegean,aggressive_trade,False,2.222999999999766,0.7,5.3,3.9,0.6,3.1,2.5,2.5,0.6,2.3,3.1,1.5
20,Aegean,aggressive_trade,False,2.2674999999998304,0.9,4.1,4.8,1.0,4.5,4.9,2.4,0.4,2.2,1.7,3.2
21,Baetica,aggressive_trade,False,2.6367499999997657,0.2,4.5,3.1,0.9,1.6,3.7,3.0,1.3,2.4,2.1,1.8
22,Baetica,aggressive_trade,False,1.3060000000001817,0.8,3.5,3.9,1.0,2.3,3.6,1.6,0.4,2.5,2.9,2.7
23,Baetica,random_trade,False,2.0714999999999892,0.6,1.4,1.4,0.5,0.7,0.9,1.6,0.6,2.5,1.8,1.3
24,Baetica,aggressive_trade,False,2.0510000000000552,0.5,4.8,2.8,0.7,2.8,3.3,2.6,0.4,3.5,2.3,2.1
25,Baetica,conservative_trade,False,2.4459999999999744,0.9,0.6,1.3,1.1,1.1,0.8,1.2,2.1,1.1,0.8,1.3
26,Baetica,random_trade,False,1.8139999999999659,1.7,1.5,1.0,0.6,1.4,1.8,0.9,1.4,1.6,1.5,0.8
27,Baetica,random_trade,False,1.2989999999999609,1.1,1.2,2.6,1.0,1.7,1.5,0.9,1.5,2.1,1.6,1.3
28,Baetica,conservative_trade,False,2.2209999999999885,1.1,0.7,1.0,1.6,1.2,1.1,1.0,1.2,1.0,0.3,1.0
29,Baetica,conservative_trade,False,3.150999999999981,1.2,1.0,1.5,1.5,0.7,1.0,1.0,1.4,0.6,1.1,1.3
30,Baetica,aggressive_trade,False,1.3174999999998505,1.2,3.4,4.6,1.2,3.7,2.8,2.8,0.3,2.8,4.0,2.3
31,Eastern Mediterranean,aggressive_trade,False,1.4759999999999538,0.7,3.6,2.4,0.7,3.5,2.2,3.0,0.9,2.3,2.7,3.4
32,Eastern Mediterranean,aggressive_trade,False,2.82400000000002,0.7,4.9,2.5,0.9,1.5,2.2,2.4,1.6,2.3,2.7,2.6
33,Eastern Mediterranean,random_trade,False,1.3870000000000042,1.4,1.2,0.8,1.0,1.4,1.1,1.8,0.5,2.1,1.8,2.0
34,Eastern Mediterranean,aggressive_trade,False,1.8882500000000142,0.8,3.8,3.9,0.9,3.8,3.8,3.4,0.9,3.1,3.2,2.8
35,Eastern Mediterranean,conservative_trade,False,3.2784999999999775,1.1,1.0,0.7,1.3,1.8,0.6,1.3,1.1,0.8,0.7,1.1
36,Eastern Mediterranean,random_trade,False,1.1324999999999892,1.2,1.8,1.6,0.9,1.2,1.4,1.6,1.1,2.0,1.7,0.9
37,Eastern Mediterranean,aggressive_trade,False,1.3882499999998317,0.8,4.4,4.2,0.6,4.4,4.3,3.8,0.8,2.9,3.4,2.7
38,Eastern Mediterranean,random_trade,False,3.39850000000001,1.0,1.7,1.9,1.4,2.0,1.1,1.2,0.4,1.6,0.9,1.2
39,Eastern Mediterranean,conservative_trade,False,2.3022500000000212,2.4,0.8,1.1,0.4,1.0,0.9,0.9,1.0,1.2,1.3,0.7
40,Eastern Mediterranean,conservative_trade,False,2.426749999999965,1.7,0.9,0.7,0.7,1.5,1.0,0.6,0.8,1.0,1.6,1.3
41,Egypt,random_trade,False,2.483500000000022,1.1,1.0,2.0,1.1,1.0,0.9,1.5,1.3,1.6,1.1,1.5
42,Egypt,random_trade,False,2.093500000000012,1.1,2.3,0.8,1.2,1.8,0.7,1.4,0.9,1.0,1.4,1.6
43,Egypt,conservative_trade,False,3.5580000000000127,0.9,1.2,1.1,0.8,1.6,0.6,1.0,1.3,1.4,0.9,0.8
44,Egypt,random_trade,False,1.6804999999999535,0.6,2.2,1.4,0.8,1.7,1.0,1.0,1.1,1.1,1.3,0.9
45,Egypt,random_trade,False,2.083500000000037,0.9,1.5,1.2,1.1,1.7,1.5,1.4,1.2,0.7,0.8,1.4
46,Egypt,random_trade,False,3.757499999999985,0.9,2.2,0.9,1.2,2.4,1.6,0.9,0.9,1.6,1.0,0.9
47,Egypt,aggressive_trade,False,5.139499999999587,0.5,3.7,5.1,0.5,4.5,4.5,2.2,0.8,2.2,2.0,2.4
48,Egypt,random_trade,False,2.583499999999972,1.1,1.8,1.4,1.1,1.5,1.0,2.2,0.4,1.3,1.6,1.4
49,Egypt,conservative_trade,False,1.4209999999999807,1.1,1.1,0.8,1.1,1.2,1.3,1.1,0.9,1.2,0.9,1.3
50,Egypt,aggressive_trade,False,3.2730000000002377,0.6,5.6,4.6,0.6,3.9,4.1,3.0,0.4,2.6,2.1,3.7
51,Gallia,random_trade,False,3.1147499999999977,0.8,1.4,1.3,1.1,1.2,1.0,1.6,1.5,1.1,2.2,1.5
52,Gallia,aggressive_trade,False,4.066,0.8,3.9,2.6,1.0,2.7,3.0,3.2,0.9,3.2,2.7,3.2
53,Gallia,conservative_trade,False,1.0854999999999877,1.3,1.3,0.8,1.2,0.7,1.3,0.9,1.5,1.1,0.7,0.6
54,Gallia,aggressive_trade,False,2.754749999999776,1.1,5.1,3.0,0.7,4.5,2.7,3.2,0.6,2.9,3.4,3.1
55,Gallia,aggressive_trade,False,3.0432499999998552,1.0,3.7,4.1,0.5,4.0,4.4,3.0,0.7,3.2,2.9,3.3
56,Gallia,random_trade,False,3.720249999999999,1.0,1.0,2.2,0.4,1.4,2.3,1.7,1.0,1.1,1.6,2.1
57,Gallia,conservative_trade,False,2.7930000000000215,1.3,1.1,1.3,1.3,1.2,1.1,1.0,1.3,1.3,0.7,1.2
58,Gallia,conservative_trade,False,2.2735000000000083,1.3,1.2,0.9,1.6,0.9,1.0,1.4,1.1,0.5,0.9,1.3
