Agent Class,Total Wealth,BaeticanPottery,ItalianPottery,NAPottery,IberianPottery,WMPottery,GallicPottery,EMPottery,TarrPottery,AdriaticPottery,EgyptianPottery,AegeanPottery
Adria,240.3,0.77,0.94,1.47,1.08,1.15,1.8,1.43,1.74,1.76,1.91,1.33
Aegean,233.22125000001463,1.14,1.26,1.32,1.03,1.27,1.74,1.15,1.51,1.51,1.43,1.42
Baetica,184.62605000003256,0.84,0.8,1.46,0.65,1.56,2.49,1.54,2.46,2.24,2.22,1.35
Eastern Mediterranean,216.6300500000101,0.94,1.0,1.33,0.97,1.25,1.85,1.18,1.77,2.07,2.03,1.29
Egypt,198.6521500000143,0.91,0.88,1.22,0.82,1.46,2.27,1.31,2.14,1.75,1.95,1.29
Gallia,299.60045000003475,0.91,0.97,1.21,1.05,1.48,1.94,1.43,1.76,1.72,1.8,1.38
Iberian Peninsula,215.97235000002672,0.71,0.84,1.61,0.78,1.47,2.32,1.54,2.22,2.44,2.23,1.57
Italy,234.36355000002987,1.34,1.13,1.43,1.27,1.24,1.46,1.15,1.54,1.83,1.71,1.33
North Africa,238.46220000002376,0.94,0.99,1.44,0.96,1.44,2.05,1.41,1.96,2.31,2.43,1.43
Tarraconensis,220.0647250000244,0.71,0.74,1.33,0.87,1.43,2.69,1.45,2.27,2.8,3.01,1.59
Western Mediterranean,225.60922500002962,1.16,0.99,1.5,0.98,1.5,2.5,1.45,1.62,2.06,2.24,1.31
