Agent Class,Total Wealth,BaeticanPottery,IberianPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,WMPottery,TarrPottery,EMPottery,ItalianPottery,AegeanPottery
Adria,162.06,0.85,0.86,1.8,1.99,1.95,2.18,1.46,2.33,1.7,0.93,1.65
Aegean,217.2685250000139,0.96,1.01,1.45,1.71,1.83,1.41,1.4,1.67,1.38,1.06,1.54
Baetica,178.8107500000251,1.15,1.21,1.18,1.68,1.51,1.77,1.53,1.65,1.42,1.08,1.37
Eastern Mediterranean,188.39767500001398,0.67,0.78,1.81,2.13,2.27,2.28,1.55,2.48,1.11,0.73,1.46
Egypt,187.50455000000883,1.0,0.9,1.53,1.85,1.72,2.1,1.54,2.01,1.54,0.79,1.49
Gallia,229.53197500002682,1.02,0.94,1.58,2.0,1.97,1.73,1.66,2.15,1.59,1.23,1.44
Iberian Peninsula,184.5077250000276,1.27,1.41,1.1,1.71,1.47,1.86,1.3,1.3,1.39,1.19,1.23
Italy,227.32520000002415,0.71,0.8,1.75,3.13,3.05,3.07,1.68,2.3,1.6,0.85,1.8
North Africa,263.54835000002026,1.1,1.01,1.45,2.2,2.4,2.26,1.29,1.84,1.48,0.86,1.36
Tarraconensis,233.21000000002533,0.88,0.72,1.47,3.05,3.15,3.12,1.47,2.42,1.54,0.77,1.47
Western Mediterranean,209.2713750000235,0.86,0.9,1.55,2.47,2.99,2.67,1.4,2.08,1.61,1.01,1.49
