Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,ItalianPottery,NAPottery,IberianPottery,WMPottery,GallicPottery,EMPottery,TarrPottery,AdriaticPottery,EgyptianPottery,AegeanPottery
1,Adria,aggressive_trade,False,288.3,0.3,0.6,1.8,0.7,1.3,1.8,1.4,2.3,2.6,1.8,1.6
2,Adria,aggressive_trade,False,324.5,0.5,0.4,1.3,0.2,0.9,1.9,2.1,2.0,2.3,3.1,1.0
3,Adria,conservative_trade,False,230.7,1.0,1.6,1.3,1.9,0.8,1.3,1.3,0.7,1.0,1.2,1.0
4,Adria,conservative_trade,False,196.3,1.7,1.4,1.1,0.9,1.0,1.5,1.4,1.1,1.0,0.9,1.5
5,Adria,random_trade,False,120.4,0.5,0.7,1.3,1.0,1.2,2.9,1.7,1.7,2.1,2.1,1.5
6,Adria,random_trade,False,257.6,0.7,0.8,1.5,0.9,0.8,1.8,1.8,1.9,2.2,1.3,1.5
7,Adria,conservative_trade,False,180.1,0.8,1.5,0.9,1.9,1.9,0.9,0.5,1.4,1.2,1.7,1.5
8,Adria,aggressive_trade,False,297.4,0.6,0.2,1.8,0.4,1.5,2.8,1.3,2.3,1.5,3.6,1.5
9,Adria,random_trade,False,215.3,0.7,0.3,2.0,0.9,1.6,1.8,1.2,2.5,2.2,1.9,1.3
10,Adria,conservative_trade,False,292.4,0.9,1.9,1.7,2.0,0.5,1.3,1.6,1.5,1.5,1.5,0.9
11,Aegean,aggressive_trade,False,199.38775000001542,0.6,1.1,0.9,0.7,1.1,3.5,0.7,2.4,1.9,2.0,1.2
12,Aegean,conservative_trade,False,166.41100000000966,1.3,1.5,1.4,1.7,1.4,1.4,1.0,0.9,1.2,1.2,1.2
13,Aegean,conservative_trade,False,239.99775000001955,1.4,1.3,1.0,1.5,1.0,1.4,1.6,0.8,0.6,0.9,1.0
14,Aegean,conservative_trade,False,337.4332500000198,2.0,1.4,1.1,2.0,0.3,1.0,1.1,0.9,1.2,1.2,0.9
15,Aegean,conservative_trade,False,269.6757500000186,1.9,1.8,1.0,1.1,1.2,1.3,0.7,1.6,1.3,0.9,1.2
16,Aegean,random_trade,False,239.42550000001432,1.8,1.2,1.8,0.3,1.3,2.0,1.5,2.1,0.9,0.6,1.1
17,Aegean,aggressive_trade,False,144.30825000001863,0.4,0.4,2.1,0.4,2.1,1.7,1.0,2.6,2.9,2.7,1.9
18,Aegean,random_trade,False,311.10700000000713,0.3,1.2,1.8,0.2,1.4,2.6,1.0,1.3,2.1,1.7,2.1
19,Aegean,random_trade,False,292.7200000000162,0.6,0.7,1.1,1.6,1.7,1.4,1.4,1.1,1.5,2.2,2.2
20,Aegean,conservative_trade,False,131.74625000000702,1.1,2.0,1.0,0.8,1.2,1.1,1.5,1.4,1.5,0.9,1.4
21,Baetica,random_trade,False,166.35000000004408,0.9,0.7,1.7,0.4,1.1,2.1,1.4,1.6,2.5,2.1,1.2
22,Baetica,conservative_trade,False,118.59750000004144,1.8,1.7,1.6,1.2,1.2,1.7,0.6,1.7,1.5,1.0,0.6
23,Baetica,random_trade,False,219.48825000002702,0.5,1.1,2.2,0.6,1.7,2.2,2.2,2.2,1.9,2.1,2.0
