Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,IberianPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,WMPottery,TarrPottery,EMPottery,ItalianPottery,AegeanPottery
1,Adria,aggressive_trade,False,260.3,0.3,0.0,1.9,2.7,2.5,3.4,1.8,3.2,1.5,0.2,1.4
2,Adria,aggressive_trade,False,118.1,0.8,0.5,1.8,2.3,2.5,3.5,1.1,2.5,2.7,0.5,1.6
3,Adria,random_trade,False,116.2,1.1,1.1,1.7,1.2,0.9,1.3,1.8,1.7,1.9,1.3,1.8
4,Adria,conservative_trade,False,197.8,1.4,1.4,1.3,1.1,1.0,1.2,0.8,0.8,1.4,1.8,1.2
5,Adria,conservative_trade,False,133.1,0.7,2.2,1.2,1.2,0.7,1.1,1.4,1.2,1.3,1.3,1.7
6,Adria,aggressive_trade,False,228.1,0.4,0.8,2.5,2.1,2.3,1.6,1.8,3.5,1.7,0.6,2.0
7,Adria,aggressive_trade,False,151.6,1.3,0.6,1.9,2.3,2.2,2.3,2.4,2.5,1.7,0.6,1.7
8,Adria,conservative_trade,False,127.7,1.5,1.2,2.2,1.0,1.2,0.8,1.3,1.2,1.0,1.6,1.2
9,Adria,aggressive_trade,False,170.0,0.5,0.4,1.6,3.2,2.6,2.8,1.2,2.4,1.8,1.2,2.7
10,Adria,aggressive_trade,False,117.7,0.5,0.4,1.9,2.8,3.6,3.8,1.0,4.3,2.0,0.2,1.2
11,Aegean,random_trade,False,144.11600000001823,0.7,0.6,1.7,1.5,2.2,2.4,1.0,1.8,1.2,1.1,0.9
12,Aegean,random_trade,False,252.5215000000216,1.2,0.9,0.8,2.2,1.5,2.1,1.6,1.6,1.5,1.0,1.3
13,Aegean,conservative_trade,False,218.09600000001493,1.1,1.9,0.6,0.8,1.5,1.0,1.1,0.7,0.9,2.1,1.4
14,Aegean,aggressive_trade,False,138.64575000002236,0.8,0.5,1.4,3.1,2.9,2.2,1.7,2.4,1.7,0.2,2.6
15,Aegean,random_trade,False,321.61900000001333,1.4,0.4,1.4,1.8,1.9,2.2,1.2,2.2,1.3,0.9,1.3
16,Aegean,conservative_trade,False,225.7640000000064,1.5,1.3,1.8,0.9,1.3,0.6,1.5,0.9,1.3,0.9,1.3
17,Aegean,random_trade,False,238.3320000000168,0.6,0.6,1.3,1.9,1.9,0.9,1.0,2.2,0.8,1.2,2.1
18,Aegean,conservative_trade,False,230.89050000001802,1.1,2.1,1.3,0.8,1.3,1.0,1.6,1.1,1.1,1.0,0.9
19,Aegean,aggressive_trade,False,310.3377500000014,0.7,0.4,2.2,2.4,2.2,1.2,2.2,2.1,2.4,0.6,2.0
20,Aegean,random_trade,False,92.36275000000592,0.5,1.4,2.0,1.7,1.6,0.5,1.1,1.7,1.6,1.6,1.6
21,Baetica,conservative_trade,False,185.17050000002746,1.5,2.0,1.1,1.1,1.1,1.8,1.5,1.1,1.7,0.6,1.1
22,Baetica,conservative_trade,False,167.0392500000268,1.5,1.6,1.3,1.1,1.3,0.4,1.5,0.5,0.6,1.2,1.7
23,Baetica,conservative_trade,False,114.96100000003783,1.3,1.4,0.8,1.6,0.9,1.3,1.1,1.5,1.0,1.7,1.2
24,Baetica,aggressive_trade,False,207.54250000004458,0.3,0.0,0.7,3.1,2.7,2.3,2.3,3.2,2.1,0.6,1.2
25,Baetica,conservative_trade,False,132.76550000001907,0.9,1.8,1.6,1.0,0.8,0.8,1.2,0.7,1.5,2.0,1.1
26,Baetica,aggressive_trade,False,207.54299999998884,0.5,0.4,1.5,3.2,2.5,2.7,1.9,3.5,2.2,0.3,1.9
27,Baetica,conservative_trade,False,59.81175000002728,1.5,1.2,1.4,1.4,0.8,1.6,0.8,1.0,0.9,1.2,1.9
28,Baetica,random_trade,False,293.535000000034,0.9,1.1,1.2,2.1,1.8,2.6,1.4,1.6,1.5,1.0,1.2
29,Baetica,random_trade,False,216.97200000003104,1.3,0.8,1.3,1.3,2.6,2.7,2.0,1.9,1.6,1.1,1.2
30,Baetica,conservative_trade,False,202.76700000001426,1.8,1.8,0.9,0.9,0.6,1.5,1.6,1.5,1.1,1.1,1.2
31,Eastern Mediterranean,random_trade,False,152.61050000000327,0.9,0.8,1.8,2.2,1.4,2.9,1.2,2.8,1.2,0.6,1.4
32,Eastern Mediterranean,random_trade,False,218.85275000002358,0.7,0.9,1.6,1.9,2.1,1.1,2.3,1.6,1.5,0.7,1.4
33,Eastern Mediterranean,random_trade,False,115.61900000001526,1.0,0.9,2.8,1.8,1.7,1.7,1.5,2.2,1.1,0.8,1.7
34,Eastern Mediterranean,conservative_trade,False,174.46900000000798,1.4,1.3,1.3,1.0,1.9,1.2,0.8,0.8,0.7,1.4,1.4
35,Eastern Mediterranean,aggressive_trade,False,204.83750000002019,0.3,0.2,1.8,2.8,2.4,3.6,1.5,4.2,1.6,0.1,1.4
36,Eastern Mediterranean,aggressive_trade,False,164.02975000002056,0.7,0.7,2.0,2.9,3.7,2.7,2.2,2.2,1.3,0.7,1.0
37,Eastern Mediterranean,aggressive_trade,False,135.09700000000527,0.2,0.4,1.1,3.9,4.2,3.6,1.9,4.3,0.6,0.2,1.3
38,Eastern Mediterranean,random_trade,False,217.79750000000976,0.3,0.9,1.5,1.8,1.9,1.9,1.4,2.6,1.0,1.1,0.9
39,Eastern Mediterranean,random_trade,False,188.7300000000188,0.6,0.7,2.4,1.7,1.7,1.7,1.2,2.6,0.9,0.6,1.9
40,Eastern Mediterranean,random_trade,False,311.93375000001527,0.6,1.0,1.8,1.3,1.7,2.4,1.5,1.5,1.2,1.1,2.2
41,Egypt,random_trade,False,379.35750000000917,1.1,0.8,1.1,1.4,0.8,2.1,2.0,1.9,1.2,0.6,1.3
42,Egypt,conservative_trade,False,160.19450000000887,1.8,0.9,1.2,1.0,0.6,1.2,1.6,1.0,1.0,1.4,1.1
43,Egypt,random_trade,False,130.48800000001984,1.0,1.5,1.6,1.6,2.0,1.7,1.2,1.7,1.4,0.8,2.1
44,Egypt,aggressive_trade,False,110.94150000001684,0.2,0.5,2.0,2.4,2.6,3.9,1.8,2.3,1.7,0.4,2.4
45,Egypt,aggressive_trade,False,211.97525000000965,0.5,0.8,1.5,2.3,2.8,3.5,1.5,3.0,2.0,0.6,1.4
46,Egypt,random_trade,False,147.46100000000123,1.0,0.9,1.2,1.6,1.8,1.6,1.2,2.2,2.1,1.0,1.2
47,Egypt,conservative_trade,False,305.7340000000037,1.1,1.1,1.9,1.3,1.4,0.9,1.4,1.3,0.9,1.7,1.1
48,Egypt,conservative_trade,False,98.66800000000671,1.6,1.2,1.7,1.7,1.0,0.9,1.5,1.3,1.1,0.6,0.9
