Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,TarrPottery,EMPottery,IberianPottery,AdriaticPottery,AegeanPottery,EgyptianPottery,WMPottery,NAPottery,BaeticanPottery,GallicPottery,ItalianPottery
1,Adria,conservative_trade,False,93.1,1.3,2.2,1.4,0.7,0.9,0.8,1.1,0.9,1.5,1.3,1.5
2,Adria,random_trade,False,220.1,1.5,0.9,1.8,1.6,1.2,1.6,1.8,1.1,1.6,1.3,1.8
3,Adria,aggressive_trade,False,208.3,0.9,2.1,1.6,1.5,1.0,2.4,1.9,0.8,2.6,2.3,1.7
4,Adria,conservative_trade,False,114.0,1.1,1.3,1.5,1.2,1.1,0.8,1.7,1.3,1.0,1.5,1.2
5,Adria,conservative_trade,False,265.3,0.9,1.4,1.5,1.0,1.7,0.6,1.4,0.9,1.3,1.2,1.8
6,Adria,aggressive_trade,False,240.1,2.3,1.8,1.6,1.9,2.2,1.6,1.6,2.7,2.3,1.4,2.3
7,Adria,aggressive_trade,False,365.8,2.0,2.3,1.5,2.1,1.1,1.6,2.3,1.5,2.1,2.5,2.6
8,Adria,random_trade,False,207.7,1.5,1.4,2.0,2.0,1.3,2.0,0.7,1.7,1.4,1.5,1.6
9,Adria,random_trade,False,195.5,1.6,1.2,1.8,0.6,1.2,1.2,0.9,1.7,1.7,2.2,1.2
10,Adria,conservative_trade,False,338.6,1.0,2.5,1.7,1.5,0.9,1.4,1.2,0.9,0.8,0.9,1.6
11,Aegean,random_trade,False,149.09925000002505,2.4,1.7,1.8,1.3,1.4,1.7,1.3,1.4,1.5,2.1,1.8
12,Aegean,random_trade,False,215.73150000000456,1.6,1.4,2.3,1.3,1.9,1.3,1.6,1.3,1.7,1.3,1.0
13,Aegean,random_trade,False,339.0190000000167,1.2,1.7,1.3,1.8,1.7,1.8,1.8,2.5,1.3,1.6,2.0
14,Aegean,random_trade,False,224.72625000002782,1.6,0.9,1.7,1.5,1.6,1.9,2.0,1.5,1.6,2.2,1.4
15,Aegean,aggressive_trade,False,206.4930000000242,1.4,2.0,2.4,2.5,2.8,2.4,2.4,1.7,1.2,1.4,1.8
16,Aegean,aggressive_trade,False,151.28775000000778,2.1,2.5,2.2,2.1,2.6,1.5,2.5,1.5,2.4,2.0,1.2
17,Aegean,aggressive_trade,False,244.48325000001847,1.8,2.2,1.6,2.6,2.7,2.1,1.2,2.7,1.8,1.6,1.4
18,Aegean,aggressive_trade,False,134.92600000001818,2.3,2.3,1.8,1.9,2.3,1.4,1.7,2.8,1.4,3.5,1.4
19,Aegean,conservative_trade,False,261.922500000011,1.2,1.4,1.3,0.9,1.2,1.7,2.1,1.2,1.5,1.0,0.9
