Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,TarrPottery,EMPottery,IberianPottery,AdriaticPottery,AegeanPottery,EgyptianPottery,WMPottery,NAPottery,BaeticanPottery,GallicPottery,ItalianPottery,total_pottery
1,Adria,conservative_trade,False,"93,1","1,3","2,2","1,4","0,7","0,9","0,8","1,1","0,9","1,5","1,3","1,5","13,6"
2,Adria,random_trade,False,"220,1","1,5","0,9","1,8","1,6","1,2","1,6","1,8","1,1","1,6","1,3","1,8","16,2"
3,Adria,aggressive_trade,False,"208,3","0,9","2,1","1,6","1,5",1,"2,4","1,9","0,8","2,6","2,3","1,7","18,8"
4,Adria,conservative_trade,False,114,"1,1","1,3","1,5","1,2","1,1","0,8","1,7","1,3",1,"1,5","1,2","13,7"
5,Adria,conservative_trade,False,"265,3","0,9","1,4","1,5",1,"1,7","0,6","1,4","0,9","1,3","1,2","1,8","13,7"
6,Adria,aggressive_trade,False,"240,1","2,3","1,8","1,6","1,9","2,2","1,6","1,6","2,7","2,3","1,4","2,3","21,7"
7,Adria,aggressive_trade,False,"365,8",2,"2,3","1,5","2,1","1,1","1,6","2,3","1,5","2,1","2,5","2,6","21,6"
8,Adria,random_trade,False,"207,7","1,5","1,4",2,2,"1,3",2,"0,7","1,7","1,4","1,5","1,6","17,1"
9,Adria,random_trade,False,"195,5","1,6","1,2","1,8","0,6","1,2","1,2","0,9","1,7","1,7","2,2","1,2","15,3"
10,Adria,conservative_trade,False,"338,6",1,"2,5","1,7","1,5","0,9","1,4","1,2","0,9","0,8","0,9","1,6","14,4"
11,Aegean,random_trade,False,"149,09925","2,4","1,7","1,8","1,3","1,4","1,7","1,3","1,4","1,5","2,1","1,8","18,4"
12,Aegean,random_trade,False,"215,7315","1,6","1,4","2,3","1,3","1,9","1,3","1,6","1,3","1,7","1,3",1,"16,7"
13,Aegean,random_trade,False,"339,019","1,2","1,7","1,3","1,8","1,7","1,8","1,8","2,5","1,3","1,6",2,"18,7"
14,Aegean,random_trade,False,"224,72625","1,6","0,9","1,7","1,5","1,6","1,9",2,"1,5","1,6","2,2","1,4","17,9"
15,Aegean,aggressive_trade,False,"206,493","1,4",2,"2,4","2,5","2,8","2,4","2,4","1,7","1,2","1,4","1,8",22
16,Aegean,aggressive_trade,False,"151,28775","2,1","2,5","2,2","2,1","2,6","1,5","2,5","1,5","2,4",2,"1,2","22,6"
17,Aegean,aggressive_trade,False,"244,48325","1,8","2,2","1,6","2,6","2,7","2,1","1,2","2,7","1,8","1,6","1,4","21,7"
18,Aegean,aggressive_trade,False,"134,926","2,3","2,3","1,8","1,9","2,3","1,4","1,7","2,8","1,4","3,5","1,4","22,8"
19,Aegean,conservative_trade,False,"261,9225","1,2","1,4","1,3","0,9","1,2","1,7","2,1","1,2","1,5",1,"0,9","14,4"
20,Aegean,conservative_trade,False,"303,0315","1,9","1,1",1,"1,5","0,7","1,2",2,"1,2",1,"1,1","0,9","13,6"
21,Baetica,aggressive_trade,False,"276,68975","2,1","1,7","1,9","1,7","2,4",3,"1,2","1,7","2,4","2,5","1,4",22
22,Baetica,random_trade,False,"177,759","1,5","2,4","1,8","2,4","1,9","1,1",2,"2,1","1,5","1,6","0,8","19,1"
23,Baetica,conservative_trade,False,"266,9675","1,6","1,3","1,1","1,4","1,5","0,6","1,3","1,3","1,3","1,6","1,4","14,4"
24,Baetica,random_trade,False,"487,28525","1,8","1,4","1,4","2,5","2,4",2,"1,9","1,1","1,3","1,6","1,9","19,3"
25,Baetica,random_trade,False,"231,83525","1,7","1,6","2,7","1,7","1,6","2,1",2,1,2,"1,3","2,1","19,8"
26,Baetica,aggressive_trade,False,"320,545","2,4","0,8","2,7","1,6","2,1","1,8","1,3","1,8","2,5","2,3","2,2","21,5"
27,Baetica,conservative_trade,False,"295,9175","1,2","1,9","1,1","2,3","1,1",1,"1,6","1,1","1,3","2,2","1,5","16,3"
28,Baetica,random_trade,False,"344,913","2,2","2,1","1,8",2,"1,4","1,2","1,4","1,1","1,2","2,1","1,7","18,2"
29,Baetica,aggressive_trade,False,"175,8055",2,"2,7","1,8","2,6","2,4","1,3","2,4","1,5","1,9","2,1","2,4","23,1"
30,Baetica,aggressive_trade,False,"166,31225","2,4","1,5",3,"2,1",2,"3,3",2,2,"2,1","2,7","2,1","25,2"
31,Eastern Mediterranean,conservative_trade,False,"236,926","2,3","1,3","1,8","1,3","1,2","1,1","1,2",1,"1,1","0,9","1,7","14,9"
32,Eastern Mediterranean,aggressive_trade,False,"158,74775","0,8","2,5",2,"2,8","1,6","1,8","1,8","2,2","0,8","1,9",2,"20,2"
33,Eastern Mediterranean,random_trade,False,"256,25375","1,6","2,1","0,9","1,7","1,7","1,4","1,4","1,4",2,"1,8","1,8","17,8"
34,Eastern Mediterranean,random_trade,False,"232,9915","1,5","1,7","1,9","1,2",2,"1,2","1,8","1,8","1,6","1,3","1,3","17,3"
35,Eastern Mediterranean,aggressive_trade,False,"274,5135","1,2","1,5","2,7","1,5","2,5","1,6","1,6","2,9","1,7","2,4",2,"21,6"
36,Eastern Mediterranean,conservative_trade,False,"166,92525","1,7","1,9","1,3","0,7","1,4","1,3","1,6","1,3","0,8","1,3","1,5","14,8"
37,Eastern Mediterranean,aggressive_trade,False,"169,62425","2,3","1,5","1,8","1,8","2,3","2,2","1,6","2,9","1,7","1,9","1,6","21,6"
38,Eastern Mediterranean,aggressive_trade,False,"198,5805","2,3","0,8","2,6","2,5","1,8","2,1","1,3","2,3","1,9","2,2",2,"21,8"
39,Eastern Mediterranean,aggressive_trade,False,"211,60625","2,1","1,5",2,"1,9",2,"2,4","1,7","3,5","2,3","2,2",1,"22,6"
40,Eastern Mediterranean,conservative_trade,False,"341,3725","1,4","1,2","1,6","1,3","1,3","1,3","1,6",1,"1,3","1,5","1,4","14,9"
41,Egypt,random_trade,False,"169,202","1,5","1,6","1,4","2,4","2,3","1,5","0,8","1,4","1,6","1,9","1,7","18,1"
42,Egypt,aggressive_trade,False,"151,258","2,2","2,4","1,5","2,2","1,6","2,3","2,3","1,5","1,7","1,2","2,2","21,1"
43,Egypt,aggressive_trade,False,"366,48325","1,7","2,2","2,1","1,8","1,2","3,8","1,2","1,9","1,7","1,8","2,5","21,9"
44,Egypt,conservative_trade,False,"207,61675","1,5","1,3",1,"1,7","0,7","0,8","1,5","0,7","1,8","1,8","1,5","14,3"
45,Egypt,conservative_trade,False,"179,38375","1,8","0,9","1,1","1,9","1,6","1,4","1,1","1,3","0,9","2,2","0,9","15,1"
46,Egypt,aggressive_trade,False,"256,19225","2,1","1,7","1,4","3,3","2,4","1,8","2,6","2,2","1,6","1,2","2,1","22,4"
47,Egypt,random_trade,False,"293,85475","2,1","1,4","1,1","1,3",2,"2,5","1,1",2,"1,9","1,3","2,1","18,8"
48,Egypt,conservative_trade,False,"188,8745","1,6","1,5","1,4","0,8",2,"1,7","1,3","1,4","1,3","1,3","0,5","14,8"
49,Egypt,aggressive_trade,False,"238,475","2,2","2,2","1,7","2,3","2,9","2,5","1,2","2,4","1,6","1,9","2,1",23
50,Egypt,random_trade,False,"306,81925","1,4","2,7","1,6","1,5","1,9","1,5","1,1","1,5","1,6",2,"1,5","18,3"
51,Gallia,aggressive_trade,False,"369,81","3,1","2,3","1,4","2,2","2,7","2,5","2,7",2,"1,9","2,4",2,"25,2"
52,Gallia,aggressive_trade,False,"189,88875","2,8","1,9","3,3","2,8","2,9","1,5","2,8","2,2","1,8","2,3","2,5","26,8"
53,Gallia,aggressive_trade,False,"272,80975","1,1","2,2","1,5","3,7","2,6","2,6",2,"3,4","2,5","2,1",3,"26,7"
54,Gallia,aggressive_trade,False,"296,747","2,4","1,8","1,6","1,2","2,9",3,"2,6","3,6","2,3","2,6","2,7","26,7"
55,Gallia,aggressive_trade,False,"245,669","3,3","2,6","2,7",3,"1,8","1,7","2,4","2,5","2,3",2,"2,2","26,5"
56,Gallia,conservative_trade,False,"166,33625","1,6","2,5",2,"1,2","0,8","1,5","1,6","1,5","1,4","1,3","1,2","16,6"
57,Gallia,aggressive_trade,False,"261,05725","2,6","2,9","2,7","2,6","2,7","1,5","2,7","2,3","2,7","2,8","2,3","27,8"
58,Gallia,aggressive_trade,False,"258,51725","2,6","2,6","2,5","2,5","1,3","2,5","2,7","1,7","4,5","2,9","2,2",28
59,Gallia,aggressive_trade,False,"228,64775","3,2","1,9","2,4","2,1",2,2,"1,4","2,2","3,1","2,6","2,5","25,4"
60,Gallia,conservative_trade,False,"131,6845","1,2","1,5",1,"1,9","1,5","1,1","1,2","1,8","1,4","1,8",2,"16,4"
61,Iberian Peninsula,aggressive_trade,False,"236,883","2,6","2,9","1,2","2,5","2,2","2,3","2,7","1,9","2,2","2,3","2,6","25,4"
62,Iberian Peninsula,aggressive_trade,False,"210,73","2,3","1,6","1,7","2,3","2,7","1,8","1,6","1,6",2,"2,7","2,4","22,7"
63,Iberian Peninsula,conservative_trade,False,"127,37825","1,1","1,5","1,5","1,2","1,3","1,7","1,7","1,7","1,7",1,"2,1","16,5"
64,Iberian Peninsula,aggressive_trade,False,"160,00825","1,5","2,8","1,9","2,1","2,3","2,3","1,4","2,1","2,1","2,7","1,9","23,1"
65,Iberian Peninsula,conservative_trade,False,"260,7395",1,1,"1,3","0,8","1,6","1,8",2,2,"0,6","1,2","2,1","15,4"
66,Iberian Peninsula,random_trade,False,"144,705","1,8","2,2","1,7",2,"1,4",2,"1,9","1,9","1,6","1,4",2,"19,9"
67,Iberian Peninsula,random_trade,False,"180,96275","1,3","1,7",2,"2,4","1,2","1,9","1,9","1,9","1,6","1,9","2,1","19,9"
68,Iberian Peninsula,conservative_trade,False,"138,863","1,7","1,9","1,8","1,6","1,3","0,8","1,9","1,2","0,5","1,5",1,"15,2"
69,Iberian Peninsula,random_trade,False,"273,564",2,"1,2","2,6","2,5",2,"0,9","1,6","2,5","2,7","1,4","2,4","21,8"
70,Iberian Peninsula,conservative_trade,False,"164,1095","1,1","2,1","0,7","1,1","1,4","1,7","1,8","1,4","1,2",2,"1,1","15,6"
71,North Africa,conservative_trade,False,"188,35675","1,7","1,2","1,5","0,6","1,7","1,2","1,1","1,7","1,6","1,1","1,4","14,8"
72,North Africa,random_trade,False,"221,502","1,6","2,1","1,9","1,4","1,6","1,9","1,5","2,3","2,2","1,5","2,5","20,5"
73,North Africa,random_trade,False,"260,00925","1,9","1,8",2,2,"2,3","1,5","2,6","2,1","1,9","1,9","1,5","21,5"
74,North Africa,random_trade,False,"175,54075","1,4","1,6","1,5","1,7","2,5","2,7","1,5","2,3","2,6","2,7",1,"21,5"
75,North Africa,random_trade,False,"182,184","1,8","2,5","1,6",2,"1,9","2,3","1,5","2,5","1,6","1,5",2,"21,2"
76,North Africa,aggressive_trade,False,"414,48325","2,3","2,2","2,3","2,3","3,1","1,8","1,9","1,6","2,1","2,1","2,8","24,5"
77,North Africa,aggressive_trade,False,"193,59","2,4","1,9","2,7","1,5",2,2,"2,7","1,8","2,4","2,9","2,2","24,5"
78,North Africa,aggressive_trade,False,"363,1765","1,8",2,3,"1,7","1,8","1,6","2,6","3,2","2,7","1,7","1,8","23,9"
79,North Africa,conservative_trade,False,"123,47975","1,3","1,8","1,6","1,9","0,9","1,7","1,7","1,4","1,2","1,5","1,4","16,4"
80,North Africa,random_trade,False,"191,48625","1,5",2,"1,7","3,1",2,2,"1,3","1,8","1,4","1,2","2,4","20,4"
81,Tarraconensis,random_trade,False,"297,1825","2,5","2,3","1,5","2,2","1,5","1,2","2,1","1,5","1,6","2,6","1,3","20,3"
82,Tarraconensis,conservative_trade,False,"164,276","1,7","1,4","1,8","1,2","1,5","0,5","2,2","1,1","1,9","1,6","0,6","15,5"
83,Tarraconensis,random_trade,False,"285,882","1,5","2,3","2,3","0,7","1,7","1,8","2,5","2,2","1,9","2,3","1,2","20,4"
