Agent Class,Total Wealth,IberianPottery,GallicPottery,ItalianPottery,EMPottery,AdriaticPottery,AegeanPottery,NAPottery,TarrPottery,BaeticanPottery,EgyptianPottery,WMPottery
Adria,1.4149999999999003,0.8,1.88,0.84,1.74,1.6,1.88,1.86,2.09,0.97,1.58,1.64
Aegean,1.4049999999998346,0.9,1.8,0.93,2.02,2.18,2.11,2.07,2.93,0.89,2.14,2.32
Baetica,1.5789999999998636,0.89,1.94,1.02,1.83,2.01,1.79,2.01,2.57,1.08,1.94,1.73
Eastern Mediterranean,1.663999999999919,1.11,2.06,1.09,1.71,1.86,1.88,1.69,2.32,1.16,1.82,1.71
Egypt,1.3629999999998819,1.1,2.44,0.94,2.04,2.4,2.34,2.14,3.14,0.94,2.56,1.88
Gallia,1.5999999999998773,0.95,2.32,0.97,1.51,2.24,1.55,1.71,2.55,1.11,2.17,2.13
Iberian Peninsula,1.7480000000000202,1.3,2.07,1.28,1.38,1.67,1.38,1.55,1.7,1.12,1.9,1.44
Italy,1.5999999999999204,0.9,3.1,0.94,1.98,3.1,2.07,2.06,3.37,1.17,3.1,1.97
North Africa,1.501999999999881,0.92,2.4,1.01,1.98,2.27,1.68,1.93,2.96,0.7,2.45,1.94
Tarraconensis,2.048000000000636,1.1,3.19,1.01,2.28,3.24,2.02,1.98,2.84,0.82,3.27,2.0
Western Mediterranean,1.9480000000004876,0.68,4.91,0.65,1.91,5.27,2.11,2.12,3.93,0.68,5.33,2.2
