Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,GallicPottery,ItalianPottery,EMPottery,AdriaticPottery,AegeanPottery,NAPottery,TarrPottery,BaeticanPottery,EgyptianPottery,WMPottery
1,Adria,random_trade,False,1.9400000000000397,1.0,1.2,1.0,1.3,1.9,1.8,1.3,1.3,1.4,0.6,1.0
2,Adria,aggressive_trade,False,1.1899999999993771,1.0,2.7,0.5,2.0,2.1,3.6,2.7,2.7,1.0,1.8,2.5
3,Adria,random_trade,False,1.9200000000000657,0.5,1.9,0.4,0.8,1.3,1.7,1.6,1.4,1.2,1.6,0.8
4,Adria,random_trade,False,1.850000000000002,0.5,1.0,1.2,1.7,1.0,1.5,1.6,1.5,0.8,1.2,1.0
5,Adria,aggressive_trade,False,1.12999999999969,0.9,1.9,1.0,2.8,1.9,2.6,2.9,5.4,1.3,2.2,2.4
6,Adria,random_trade,False,1.1100000000000274,0.7,2.2,0.7,1.4,1.4,1.3,1.3,1.9,1.0,1.0,1.8
7,Adria,aggressive_trade,False,0.9899999999994991,0.8,3.0,0.5,2.7,1.8,2.6,3.3,3.1,0.7,3.3,3.4
8,Adria,random_trade,False,1.3100000000001777,0.8,1.7,1.5,1.8,1.4,0.8,1.1,1.9,0.6,1.8,1.4
9,Adria,random_trade,False,1.4100000000000699,0.5,1.6,0.9,1.8,1.7,1.5,1.8,0.9,0.8,1.3,1.4
10,Adria,conservative_trade,False,1.3000000000000533,1.3,1.6,0.7,1.1,1.5,1.4,1.0,0.8,0.9,1.0,0.7
11,Aegean,conservative_trade,False,0.9700000000000186,1.4,1.0,0.7,1.0,1.1,1.1,0.8,0.8,1.4,1.4,1.2
12,Aegean,aggressive_trade,False,1.2099999999995847,0.8,2.0,0.7,3.4,1.8,2.2,3.0,3.7,0.7,2.3,3.6
13,Aegean,aggressive_trade,False,1.3899999999995045,1.1,3.0,0.9,2.4,3.1,2.7,2.9,5.4,1.1,2.3,3.5
14,Aegean,aggressive_trade,False,1.489999999999776,0.7,2.3,1.0,3.0,2.4,2.4,3.0,4.9,0.9,3.3,3.7
15,Aegean,random_trade,False,1.5300000000000324,0.9,1.8,0.8,0.9,1.2,1.8,1.0,2.0,0.6,1.0,1.6
16,Aegean,conservative_trade,False,1.9700000000000522,1.0,0.2,1.9,1.2,0.7,1.2,1.1,1.4,1.0,1.0,0.8
17,Aegean,conservative_trade,False,0.8200000000000637,0.7,0.8,0.8,1.2,1.4,1.1,0.5,1.0,1.1,1.0,1.2
18,Aegean,aggressive_trade,False,0.9499999999994515,0.6,3.2,0.7,2.8,3.7,3.4,3.4,4.7,0.4,4.1,3.3
19,Aegean,aggressive_trade,False,2.3799999999997627,0.7,2.9,0.7,2.7,4.7,3.0,3.4,3.3,0.6,4.0,3.2
20,Aegean,random_trade,False,1.3400000000000984,1.1,0.8,1.1,1.6,1.7,2.2,1.6,2.1,1.1,1.0,1.1
21,Baetica,aggressive_trade,False,1.3599999999993428,1.1,2.3,0.8,3.6,3.1,2.7,3.0,3.3,0.6,2.8,2.9
22,Baetica,random_trade,False,2.1199999999999997,1.0,0.8,1.2,1.5,1.7,1.1,1.5,2.5,1.0,1.6,1.9
23,Baetica,random_trade,False,1.1199999999999888,1.0,1.9,0.7,1.5,1.8,1.9,1.3,2.2,1.1,1.4,0.9
24,Baetica,conservative_trade,False,2.2200000000000153,0.7,0.7,1.2,0.8,1.5,1.2,1.6,1.0,1.0,1.2,1.0
25,Baetica,conservative_trade,False,1.2200000000000553,1.0,0.6,1.7,0.8,0.9,1.2,1.0,0.9,1.7,1.0,1.2
26,Baetica,aggressive_trade,False,1.359999999999304,0.5,4.5,0.8,3.2,3.1,3.1,2.3,4.9,1.0,4.3,2.8
27,Baetica,conservative_trade,False,2.019999999999974,1.0,1.0,0.9,0.4,0.9,1.7,1.6,1.0,1.5,1.4,1.0
28,Baetica,random_trade,False,1.4599999999999635,0.9,1.7,1.2,0.9,1.6,1.4,1.0,2.2,1.2,1.8,1.1
29,Baetica,random_trade,False,1.4900000000000788,0.6,1.5,1.3,2.3,1.6,0.9,2.8,2.6,0.8,0.9,1.5
30,Baetica,aggressive_trade,False,1.419999999999915,1.1,4.4,0.4,3.3,3.9,2.7,4.0,5.1,0.9,3.0,3.0
31,Eastern Mediterranean,random_trade,False,1.3,0.8,1.7,0.7,1.4,1.5,2.1,0.8,1.7,0.9,1.3,1.3
32,Eastern Mediterranean,aggressive_trade,False,1.1099999999993257,1.2,3.3,0.8,3.4,3.4,2.7,3.0,3.3,1.8,2.4,2.9
33,Eastern Mediterranean,conservative_trade,False,2.340000000000058,1.3,0.9,0.7,0.8,0.7,1.1,0.4,1.2,1.7,1.5,1.6
34,Eastern Mediterranean,conservative_trade,False,2.409999999999998,1.0,1.0,2.0,1.2,1.1,1.7,0.7,1.3,0.8,0.5,0.7
35,Eastern Mediterranean,conservative_trade,False,2.9500000000000624,1.7,0.7,1.2,0.8,1.6,0.7,0.6,1.4,1.4,1.0,0.7
36,Eastern Mediterranean,conservative_trade,False,1.2800000000000016,1.4,0.8,1.3,0.9,0.6,0.9,1.4,1.3,0.6,1.8,1.2
37,Eastern Mediterranean,conservative_trade,False,1.7300000000000382,1.4,0.8,0.8,0.6,1.1,1.1,1.3,1.6,1.1,1.2,0.8
38,Eastern Mediterranean,aggressive_trade,False,1.03999999999968,0.6,4.5,0.9,3.6,3.4,4.3,3.6,3.5,1.1,3.1,3.6
39,Eastern Mediterranean,random_trade,False,1.4500000000000997,1.1,2.0,1.5,0.8,1.7,0.7,1.4,2.3,0.9,1.7,1.4
40,Eastern Mediterranean,aggressive_trade,False,1.0299999999999268,0.6,4.9,1.0,3.6,3.5,3.5,3.7,5.6,1.3,3.7,2.9
41,Egypt,random_trade,False,1.44000000000005,1.6,2.0,1.2,1.1,1.8,1.2,1.5,0.8,0.5,1.6,1.1
42,Egypt,conservative_trade,False,1.3100000000000782,1.2,1.0,0.6,1.0,0.7,1.6,0.7,1.0,1.6,1.6,0.7
43,Egypt,conservative_trade,False,2.6500000000000528,1.5,1.2,1.1,0.9,1.1,0.9,0.8,0.9,1.5,1.2,0.9
44,Egypt,aggressive_trade,False,0.7299999999997333,1.0,3.0,1.3,2.3,3.9,4.0,3.0,6.5,0.4,3.2,3.1
45,Egypt,random_trade,False,1.0900000000000092,0.3,1.4,0.6,1.2,1.3,2.4,1.9,1.2,1.4,1.0,1.0
46,Egypt,conservative_trade,False,2.2300000000000173,1.4,1.0,1.0,0.8,0.9,1.2,1.0,1.3,0.9,1.2,1.0
47,Egypt,aggressive_trade,False,0.9500000000001119,1.6,3.5,1.0,3.8,4.0,3.3,4.2,3.8,0.8,4.5,3.5
48,Egypt,aggressive_trade,False,0.6399999999992614,0.8,6.0,0.8,3.6,3.8,3.4,2.7,7.3,0.5,4.1,2.7
49,Egypt,aggressive_trade,False,1.6299999999994974,0.5,3.5,0.8,3.1,5.4,4.2,3.9,6.9,0.6,6.0,3.3
50,Egypt,random_trade,False,0.9600000000000074,1.1,1.8,1.0,2.6,1.1,1.2,1.7,1.7,1.2,1.2,1.5
51,Gallia,aggressive_trade,False,0.9999999999991813,0.5,3.8,0.9,3.0,3.9,3.3,3.1,4.8,1.3,5.0,4.6
52,Gallia,conservative_trade,False,1.220000000000029,1.7,1.3,1.3,0.6,0.9,0.7,1.6,0.9,1.1,0.7,1.2
53,Gallia,random_trade,False,1.930000000000008,0.6,2.1,1.1,1.7,1.2,1.4,1.5,2.3,1.4,2.3,2.0
54,Gallia,random_trade,False,0.9200000000000076,0.5,2.2,0.8,1.3,1.6,1.7,1.9,2.2,1.0,1.5,1.1
55,Gallia,random_trade,False,2.8100000000000476,0.7,2.0,1.2,2.0,2.2,1.3,0.8,2.0,0.6,1.7,2.1
56,Gallia,random_trade,False,0.9099999999999815,1.4,1.7,0.7,1.1,1.6,1.2,0.9,2.2,0.8,1.3,2.1
57,Gallia,aggressive_trade,False,2.189999999999384,0.7,5.7,0.7,3.2,6.9,2.6,2.8,6.7,1.0,5.8,3.2
58,Gallia,conservative_trade,False,2.560000000000038,0.7,1.4,0.6,0.9,1.2,0.7,1.6,1.4,1.5,0.6,1.1
59,Gallia,conservative_trade,False,1.2900000000000804,1.3,1.3,1.5,0.6,1.0,1.0,1.1,1.1,1.1,1.0,1.7
60,Gallia,random_trade,False,1.1700000000000146,1.4,1.7,0.9,0.7,1.9,1.6,1.8,1.9,1.3,1.8,2.2
61,Iberian Peninsula,random_trade,False,1.1899999999999726,0.8,2.3,1.0,0.9,1.4,1.9,2.3,1.9,0.8,1.9,1.9
62,Iberian Peninsula,conservative_trade,False,1.8600000000000438,1.8,0.8,1.7,1.6,1.4,0.8,0.9,0.7,0.8,0.7,1.3
63,Iberian Peninsula,conservative_trade,False,3.140000000000014,1.1,0.6,0.7,0.9,0.9,1.2,0.7,1.0,1.8,1.2,1.4
64,Iberian Peninsula,conservative_trade,False,1.8599999999999615,1.9,1.5,1.3,0.7,1.1,0.7,1.9,0.9,0.8,1.2,0.7
65,Iberian Peninsula,random_trade,False,0.9699999999998805,1.0,1.7,1.0,1.7,2.5,1.6,1.4,2.1,1.1,1.7,1.5
66,Iberian Peninsula,conservative_trade,False,1.8400000000000503,1.6,1.6,1.6,0.5,1.2,1.2,1.1,0.9,1.0,1.6,1.0
67,Iberian Peninsula,aggressive_trade,False,1.370000000000306,0.9,6.5,1.5,4.1,4.2,3.3,3.7,6.2,1.0,6.2,3.2
68,Iberian Peninsula,conservative_trade,False,1.950000000000011,1.9,1.7,1.7,0.7,1.3,0.6,0.8,0.9,1.7,0.6,0.7
69,Iberian Peninsula,random_trade,False,1.729999999999952,1.0,3.0,0.7,1.7,1.4,1.6,1.6,1.8,1.1,2.0,1.6
70,Iberian Peninsula,conservative_trade,False,1.5700000000000123,1.0,1.0,1.6,1.0,1.3,0.9,1.1,0.6,1.1,1.9,1.1
71,Italy,aggressive_trade,False,1.1399999999996353,1.0,4.4,1.1,3.1,5.2,3.7,4.9,6.7,1.0,4.6,3.6
72,Italy,aggressive_trade,False,1.619999999999025,0.9,7.0,1.0,3.2,6.7,3.2,3.5,7.8,0.7,6.2,3.3
73,Italy,random_trade,False,1.809999999999993,0.9,1.9,1.1,1.3,1.4,0.7,2.1,2.0,0.9,2.2,2.3
74,Italy,aggressive_trade,False,0.8000000000004732,0.2,9.6,0.4,4.0,7.0,4.1,3.3,5.9,0.6,7.7,3.2
75,Italy,random_trade,False,1.2000000000000512,0.8,1.2,0.7,1.8,1.9,2.0,0.7,2.1,1.4,2.0,1.4
76,Italy,conservative_trade,False,2.7000000000000375,1.0,1.0,1.0,0.8,0.9,1.2,1.2,1.1,1.7,1.4,1.2
77,Italy,conservative_trade,False,1.1300000000000492,1.2,0.8,1.4,0.9,1.4,1.3,1.0,1.3,1.4,0.7,1.3
78,Italy,conservative_trade,False,2.140000000000002,1.2,1.1,1.0,1.3,2.1,1.0,0.7,1.7,1.5,1.6,0.5
79,Italy,random_trade,False,1.159999999999992,1.1,1.4,0.9,1.9,2.4,1.6,1.6,3.0,0.9,2.0,1.0
80,Italy,random_trade,False,2.2999999999999448,0.7,2.6,0.8,1.5,2.0,1.9,1.6,2.1,1.6,2.6,1.9
81,North Africa,random_trade,False,1.1999999999999909,1.1,2.1,1.2,1.6,2.6,1.5,1.5,3.1,0.9,2.2,1.1
82,North Africa,aggressive_trade,False,1.1699999999987958,0.7,6.8,0.8,3.9,5.8,2.8,5.0,8.6,0.5,6.0,5.4
83,North Africa,random_trade,False,2.140000000000017,1.2,1.7,1.0,2.9,1.9,1.6,1.1,2.5,0.7,2.6,1.0
84,North Africa,random_trade,False,1.4900000000000033,0.5,2.1,1.1,1.9,2.5,2.0,1.3,2.5,0.4,1.9,1.4
85,North Africa,random_trade,False,1.84999999999997,0.8,1.9,1.2,2.1,1.8,1.8,3.0,2.6,0.5,2.2,1.2
86,North Africa,random_trade,False,0.7899999999999437,0.9,3.2,0.7,2.1,2.3,1.5,1.4,2.1,1.1,1.7,2.8
87,North Africa,random_trade,False,1.3100000000000491,0.9,2.1,0.7,1.6,1.6,2.2,1.5,2.7,0.8,3.0,1.6
88,North Africa,random_trade,False,1.8399999999999683,1.2,1.6,0.6,1.5,2.0,1.2,1.8,3.5,0.4,1.8,2.6
89,North Africa,conservative_trade,False,1.860000000000006,1.1,1.4,1.5,1.1,0.9,1.2,1.4,0.7,0.8,1.4,1.1
90,North Africa,conservative_trade,False,1.3700000000000656,0.8,1.1,1.3,1.1,1.3,1.0,1.3,1.3,0.9,1.7,1.2
91,Tarraconensis,aggressive_trade,False,0.9600000000011049,0.8,5.7,0.7,4.9,5.9,3.2,4.8,5.8,0.4,6.2,4.2
92,Tarraconensis,random_trade,False,0.839999999999954,1.0,1.4,0.8,2.2,1.5,1.6,1.6,2.8,1.0,1.9,1.5
93,Tarraconensis,aggressive_trade,False,1.6699999999996513,1.7,5.3,0.7,5.3,5.6,4.9,3.6,4.7,1.3,6.9,4.1
94,Tarraconensis,aggressive_trade,False,3.030000000005546,0.6,10.8,0.4,3.7,10.9,4.0,3.4,6.9,0.3,9.0,3.5
95,Tarraconensis,conservative_trade,False,2.780000000000026,1.1,1.0,0.9,0.6,1.7,0.8,1.1,1.7,1.1,0.9,0.9
96,Tarraconensis,conservative_trade,False,1.370000000000029,1.2,1.3,1.3,1.4,0.9,1.1,1.1,1.0,1.0,0.8,0.8
97,Tarraconensis,conservative_trade,False,2.2000000000000295,1.1,1.0,1.2,1.1,1.5,1.4,0.6,0.8,1.1,1.2,1.3
98,Tarraconensis,random_trade,False,0.9299999999999283,0.7,2.3,1.2,1.4,2.1,1.8,2.1,2.5,0.4,2.4,1.8
99,Tarraconensis,conservative_trade,False,4.150000000000024,1.7,1.0,1.4,1.1,1.2,0.9,0.8,1.0,0.8,1.9,0.8
100,Tarraconensis,conservative_trade,False,2.5500000000000695,1.1,2.1,1.5,1.1,1.1,0.5,0.7,1.2,0.8,1.5,1.1
101,Western Mediterranean,random_trade,False,0.9899999999999493,0.9,1.6,0.5,0.4,2.7,2.0,2.0,1.3,0.7,2.9,1.7
102,Western Mediterranean,conservative_trade,False,3.410000000000038,0.9,1.7,1.6,0.6,1.1,1.1,1.0,1.0,0.8,1.1,1.4
103,Western Mediterranean,aggressive_trade,False,1.5999999999995524,0.8,4.9,0.6,3.4,8.1,3.0,3.2,6.7,0.7,7.8,2.6
104,Western Mediterranean,random_trade,False,1.6500000000000725,0.8,2.8,0.5,1.5,2.3,1.3,1.4,2.1,1.0,2.2,2.5
105,Western Mediterranean,aggressive_trade,False,1.220000000000201,0.7,8.4,0.5,2.9,9.0,3.2,4.0,7.9,0.4,7.0,3.1
106,Western Mediterranean,random_trade,False,1.3299999999999552,0.4,2.2,0.5,1.6,1.9,1.5,1.7,1.8,0.8,2.6,1.2
107,Western Mediterranean,random_trade,False,1.6200000000000263,0.4,2.2,0.8,1.2,2.5,1.3,1.9,2.3,0.6,2.4,1.7
108,Western Mediterranean,aggressive_trade,False,2.340000000000984,0.7,10.1,0.4,3.4,9.6,4.5,2.6,6.3,0.6,11.9,4.4
109,Western Mediterranean,aggressive_trade,False,3.5900000000041343,0.1,13.3,0.4,2.1,13.1,1.7,1.8,6.8,0.5,13.5,1.7
110,Western Mediterranean,random_trade,False,1.7299999999999613,1.1,1.9,0.7,2.0,2.4,1.5,1.6,3.1,0.7,1.9,1.7
