Agent ID	Agent Class	Trade Behavior	Active	Total Wealth	IberianPottery	GallicPottery	ItalianPottery	EMPottery	AdriaticPottery	AegeanPottery	NAPottery	TarrPottery	BaeticanPottery	EgyptianPottery	WMPottery	total
1	Adria	random_trade	False	1,94	1	1,2	1	1,3	1,9	1,8	1,3	1,3	1,4	0,6	1	13,8
2	Adria	aggressive_trade	False	1,19	1	2,7	0,5	2	2,1	3,6	2,7	2,7	1	1,8	2,5	22,6
3	Adria	random_trade	False	1,92	0,5	1,9	0,4	0,8	1,3	1,7	1,6	1,4	1,2	1,6	0,8	13,2
4	Adria	random_trade	False	1,85	0,5	1	1,2	1,7	1	1,5	1,6	1,5	0,8	1,2	1	13
5	Adria	aggressive_trade	False	1,13	0,9	1,9	1	2,8	1,9	2,6	2,9	5,4	1,3	2,2	2,4	25,3
6	Adria	random_trade	False	1,11	0,7	2,2	0,7	1,4	1,4	1,3	1,3	1,9	1	1	1,8	14,7
7	Adria	aggressive_trade	False	0,99	0,8	3	0,5	2,7	1,8	2,6	3,3	3,1	0,7	3,3	3,4	25,2
8	Adria	random_trade	False	1,31	0,8	1,7	1,5	1,8	1,4	0,8	1,1	1,9	0,6	1,8	1,4	14,8
9	Adria	random_trade	False	1,41	0,5	1,6	0,9	1,8	1,7	1,5	1,8	0,9	0,8	1,3	1,4	14,2
10	Adria	conservative_trade	False	1,3	1,3	1,6	0,7	1,1	1,5	1,4	1	0,8	0,9	1	0,7	12
11	Aegean	conservative_trade	False	0,97	1,4	1	0,7	1	1,1	1,1	0,8	0,8	1,4	1,4	1,2	11,9
12	Aegean	aggressive_trade	False	1,21	0,8	2	0,7	3,4	1,8	2,2	3	3,7	0,7	2,3	3,6	24,2
13	Aegean	aggressive_trade	False	1,39	1,1	3	0,9	2,4	3,1	2,7	2,9	5,4	1,1	2,3	3,5	28,4
14	Aegean	aggressive_trade	False	1,49	0,7	2,3	1	3	2,4	2,4	3	4,9	0,9	3,3	3,7	27,6
15	Aegean	random_trade	False	1,53	0,9	1,8	0,8	0,9	1,2	1,8	1	2	0,6	1	1,6	13,6
16	Aegean	conservative_trade	False	1,97	1	0,2	1,9	1,2	0,7	1,2	1,1	1,4	1	1	0,8	11,5
17	Aegean	conservative_trade	False	0,82	0,7	0,8	0,8	1,2	1,4	1,1	0,5	1	1,1	1	1,2	10,8
18	Aegean	aggressive_trade	False	0,95	0,6	3,2	0,7	2,8	3,7	3,4	3,4	4,7	0,4	4,1	3,3	30,3
19	Aegean	aggressive_trade	False	2,38	0,7	2,9	0,7	2,7	4,7	3	3,4	3,3	0,6	4	3,2	29,2
20	Aegean	random_trade	False	1,34	1,1	0,8	1,1	1,6	1,7	2,2	1,6	2,1	1,1	1	1,1	15,4
21	Baetica	aggressive_trade	False	1,36	1,1	2,3	0,8	3,6	3,1	2,7	3	3,3	0,6	2,8	2,9	26,2
22	Baetica	random_trade	False	2,12	1	0,8	1,2	1,5	1,7	1,1	1,5	2,5	1	1,6	1,9	15,8
23	Baetica	random_trade	False	1,12	1	1,9	0,7	1,5	1,8	1,9	1,3	2,2	1,1	1,4	0,9	15,7
24	Baetica	conservative_trade	False	2,22	0,7	0,7	1,2	0,8	1,5	1,2	1,6	1	1	1,2	1	11,9
25	Baetica	conservative_trade	False	1,22	1	0,6	1,7	0,8	0,9	1,2	1	0,9	1,7	1	1,2	12
26	Baetica	aggressive_trade	False	1,36	0,5	4,5	0,8	3,2	3,1	3,1	2,3	4,9	1	4,3	2,8	30,5
27	Baetica	conservative_trade	False	2,02	1	1	0,9	0,4	0,9	1,7	1,6	1	1,5	1,4	1	12,4
28	Baetica	random_trade	False	1,46	0,9	1,7	1,2	0,9	1,6	1,4	1	2,2	1,2	1,8	1,1	15
29	Baetica	random_trade	False	1,49	0,6	1,5	1,3	2,3	1,6	0,9	2,8	2,6	0,8	0,9	1,5	16,8
30	Baetica	aggressive_trade	False	1,42	1,1	4,4	0,4	3,3	3,9	2,7	4	5,1	0,9	3	3	31,8
31	Eastern Mediterranean	random_trade	False	1,3	0,8	1,7	0,7	1,4	1,5	2,1	0,8	1,7	0,9	1,3	1,3	14,2
32	Eastern Mediterranean	aggressive_trade	False	1,11	1,2	3,3	0,8	3,4	3,4	2,7	3	3,3	1,8	2,4	2,9	28,2
33	Eastern Mediterranean	conservative_trade	False	2,34	1,3	0,9	0,7	0,8	0,7	1,1	0,4	1,2	1,7	1,5	1,6	11,9
34	Eastern Mediterranean	conservative_trade	False	2,41	1	1	2	1,2	1,1	1,7	0,7	1,3	0,8	0,5	0,7	12
35	Eastern Mediterranean	conservative_trade	False	2,95	1,7	0,7	1,2	0,8	1,6	0,7	0,6	1,4	1,4	1	0,7	11,8
