Agent Class,Total Wealth,EMPottery,EgyptianPottery,TarrPottery,BaeticanPottery,NAPottery,IberianPottery,AegeanPottery,ItalianPottery,GallicPottery,AdriaticPottery,WMPottery
Adria,1.2909999999999553,1.6,1.13,1.76,1.14,1.55,1.04,1.61,1.01,1.31,1.61,1.6
Aegean,1.3439999999999193,1.62,1.92,2.1,0.95,1.74,1.16,1.67,1.06,1.51,1.68,1.79
Baetica,1.6579999999998574,2.35,2.09,2.78,0.93,2.2,0.93,2.08,0.97,2.0,2.14,2.03
Eastern Mediterranean,1.7809999999997794,2.76,2.34,3.24,0.96,2.37,1.03,2.68,1.04,2.67,2.46,2.09
Egypt,1.6819999999999453,1.68,1.57,1.58,1.22,1.61,1.19,1.72,1.21,1.53,1.64,1.76
Gallia,1.740999999999811,2.22,2.69,3.59,1.14,2.62,0.84,2.58,0.94,2.83,2.56,2.54
Iberian Peninsula,1.792999999999964,2.1,2.43,2.71,0.77,2.28,0.97,1.94,1.1,2.36,2.48,1.83
Italy,1.524000000000198,2.09,2.17,3.13,1.09,1.92,1.02,2.19,1.09,2.77,2.98,1.99
North Africa,1.8169999999997517,2.07,3.19,3.18,0.86,1.9,0.97,1.93,0.86,3.07,3.48,2.15
Tarraconensis,1.4629999999996128,2.33,4.05,3.97,0.89,2.46,0.74,2.45,1.05,3.96,3.55,2.7
Western Mediterranean,2.1490000000002745,2.33,5.75,4.27,0.94,2.58,0.9,2.18,0.66,5.9,5.88,2.25
