Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,EgyptianPottery,TarrPottery,BaeticanPottery,NAPottery,IberianPottery,AegeanPottery,ItalianPottery,GallicPottery,AdriaticPottery,WMPottery
1,Adria,aggressive_trade,False,1.0199999999998544,3.0,1.8,2.7,0.7,2.1,1.2,2.4,0.8,2.5,2.4,2.3
2,Adria,random_trade,False,1.8900000000000041,1.1,1.0,2.0,0.8,1.1,0.4,1.3,1.4,1.1,1.5,2.3
3,Adria,conservative_trade,False,1.76000000000004,0.9,0.7,1.2,1.1,1.0,0.9,0.9,0.9,0.9,1.3,0.9
4,Adria,conservative_trade,False,1.6699999999999988,0.9,0.6,1.3,1.5,1.0,1.5,1.2,0.8,1.6,1.0,0.5
5,Adria,aggressive_trade,False,0.8299999999998382,2.5,0.9,2.1,1.7,2.2,1.3,2.0,1.7,0.9,2.6,1.7
6,Adria,conservative_trade,False,0.7100000000000471,1.3,1.0,0.8,1.2,1.0,1.3,1.2,1.1,0.6,0.6,0.9
7,Adria,aggressive_trade,False,1.6899999999996829,3.0,1.7,3.4,0.6,2.8,0.9,3.0,0.7,2.1,2.3,3.8
8,Adria,random_trade,False,1.1699999999999957,1.1,1.2,1.8,1.0,1.7,0.8,1.4,0.7,1.3,1.5,1.6
9,Adria,conservative_trade,False,1.310000000000018,1.2,1.1,0.9,1.6,0.9,1.4,1.2,1.3,1.1,0.8,0.6
10,Adria,random_trade,False,0.8600000000000737,1.0,1.3,1.4,1.2,1.7,0.7,1.5,0.7,1.0,2.1,1.4
11,Aegean,aggressive_trade,False,1.229999999999758,1.5,2.3,3.4,0.5,1.6,0.9,1.9,0.8,2.5,2.2,2.9
12,Aegean,random_trade,False,1.3400000000000354,1.4,1.5,0.8,0.9,0.8,1.7,0.6,1.1,1.0,1.0,2.0
13,Aegean,aggressive_trade,False,1.0399999999995906,3.5,3.2,4.7,0.9,2.9,1.0,2.5,1.3,1.7,2.6,2.8
14,Aegean,aggressive_trade,False,1.169999999999783,2.7,4.2,3.1,1.4,2.7,0.9,2.5,0.7,2.2,2.7,1.7
15,Aegean,conservative_trade,False,1.0300000000000598,1.0,0.8,1.0,1.4,1.1,1.1,1.0,1.4,0.7,0.9,1.3
16,Aegean,conservative_trade,False,0.8000000000000135,0.8,1.0,1.3,0.7,1.3,1.3,1.2,0.9,0.7,1.2,1.3
17,Aegean,random_trade,False,1.3400000000000272,1.0,1.2,2.1,0.9,2.1,1.1,1.4,1.0,2.0,1.6,1.1
18,Aegean,conservative_trade,False,1.5700000000000605,1.3,0.8,1.2,1.2,1.3,1.1,1.4,1.5,0.6,0.7,0.6
19,Aegean,conservative_trade,False,2.210000000000071,0.9,0.9,1.7,0.7,1.1,1.5,0.9,1.2,0.9,0.3,1.2
20,Aegean,aggressive_trade,False,1.709999999999793,2.1,3.3,1.7,0.9,2.5,1.0,3.3,0.7,2.8,3.6,3.0
21,Baetica,random_trade,False,2.2400000000000397,0.8,1.4,2.3,1.2,1.7,1.1,1.8,1.3,1.0,1.4,1.3
22,Baetica,random_trade,False,1.4900000000000089,1.6,1.8,1.7,0.8,2.2,0.8,1.4,0.7,1.1,1.5,1.2
23,Baetica,aggressive_trade,False,2.2899999999996816,3.4,3.2,3.4,0.7,2.3,1.4,2.1,1.2,4.7,2.0,1.9
24,Baetica,aggressive_trade,False,1.4599999999993387,2.5,4.0,5.2,1.2,3.1,0.8,3.0,0.9,2.4,3.3,3.3
25,Baetica,conservative_trade,False,1.3400000000000127,1.3,0.6,1.0,1.4,0.7,0.9,1.1,1.4,0.8,1.6,1.1
26,Baetica,random_trade,False,1.9100000000000115,1.9,1.3,2.5,0.8,1.8,0.8,1.9,0.9,1.1,0.8,1.4
27,Baetica,aggressive_trade,False,1.419999999999683,4.1,2.4,3.8,0.4,3.5,0.6,3.3,0.7,3.5,4.0,3.4
28,Baetica,random_trade,False,1.4300000000000836,1.6,2.1,1.6,0.8,2.0,0.8,1.6,1.4,1.9,1.7,1.5
29,Baetica,random_trade,False,1.3300000000000605,2.3,0.6,2.3,0.8,1.8,0.9,1.7,0.7,1.0,1.3,1.5
30,Baetica,aggressive_trade,False,1.6699999999996546,4.0,3.5,4.0,1.2,2.9,1.2,2.9,0.5,2.5,3.8,3.7
31,Eastern Mediterranean,aggressive_trade,False,1.5599999999998135,3.8,2.5,4.0,1.3,3.0,0.7,3.8,1.1,4.0,2.7,2.8
32,Eastern Mediterranean,conservative_trade,False,1.7500000000000084,0.8,0.9,1.2,1.1,1.0,1.1,1.0,1.1,1.2,1.8,0.5
33,Eastern Mediterranean,random_trade,False,1.4200000000000361,2.0,1.1,1.8,0.9,1.4,0.9,1.3,1.1,1.7,0.8,2.0
34,Eastern Mediterranean,conservative_trade,False,2.6800000000000397,0.9,1.1,0.8,1.3,0.4,1.6,0.7,1.4,1.3,1.1,1.0
35,Eastern Mediterranean,aggressive_trade,False,1.6299999999992836,3.0,2.8,4.3,1.5,2.9,1.3,3.3,0.8,2.4,2.7,2.7
36,Eastern Mediterranean,aggressive_trade,False,1.9999999999997222,4.3,3.8,3.8,0.7,4.3,1.4,4.0,1.1,2.3,2.5,2.0
37,Eastern Mediterranean,conservative_trade,False,2.130000000000015,0.9,1.3,1.2,0.7,0.7,0.9,1.4,1.5,0.2,1.1,1.0
38,Eastern Mediterranean,aggressive_trade,False,1.1699999999996398,4.4,3.8,5.4,0.3,4.0,0.2,3.5,0.3,6.0,5.5,2.0
39,Eastern Mediterranean,aggressive_trade,False,1.879999999999398,3.9,2.5,5.1,1.0,2.6,1.1,4.0,1.2,4.2,2.8,2.7
40,Eastern Mediterranean,aggressive_trade,False,1.5899999999998387,3.6,3.6,4.8,0.8,3.4,1.1,3.8,0.8,3.4,3.6,4.2
41,Egypt,conservative_trade,False,1.3900000000000445,1.3,1.1,0.8,1.9,1.0,0.8,1.4,1.1,0.9,0.7,1.4
42,Egypt,conservative_trade,False,1.6599999999999866,0.8,1.4,1.1,0.7,0.9,1.1,1.3,1.1,0.9,1.0,1.4
43,Egypt,conservative_trade,False,1.9800000000000295,1.1,0.5,0.9,1.9,0.8,1.6,1.2,2.0,0.5,0.8,0.9
44,Egypt,random_trade,False,1.8400000000000727,2.1,1.3,1.4,1.1,1.4,1.5,1.1,0.7,1.5,1.3,1.2
45,Egypt,conservative_trade,False,1.3800000000000485,0.9,0.5,0.8,1.9,0.7,1.3,0.7,1.7,1.1,1.0,1.3
46,Egypt,conservative_trade,False,1.8100000000000303,0.8,0.8,0.6,0.7,1.4,1.0,1.2,1.7,0.8,2.0,0.7
47,Egypt,random_trade,False,1.570000000000023,1.5,1.9,1.3,1.1,1.7,1.2,1.3,0.8,1.2,1.8,1.7
48,Egypt,aggressive_trade,False,1.899999999999369,3.2,3.5,3.9,0.7,3.6,1.2,3.5,1.2,3.8,2.8,4.3
49,Egypt,random_trade,False,1.2900000000000285,1.9,1.7,1.5,0.8,1.5,1.1,1.2,0.7,1.3,1.7,1.5
50,Egypt,aggressive_trade,False,1.99999999999982,3.2,3.0,3.5,1.4,3.1,1.1,4.3,1.1,3.3,3.3,3.2
51,Gallia,aggressive_trade,False,1.4399999999994495,3.1,4.3,6.3,0.7,3.0,0.6,3.8,0.6,4.7,5.0,2.9
52,Gallia,aggressive_trade,False,1.879999999999494,2.6,3.1,5.0,1.3,4.8,0.9,3.0,0.9,3.7,3.7,2.7
53,Gallia,conservative_trade,False,1.1600000000000374,0.3,1.5,1.4,1.3,1.4,0.9,0.6,1.3,0.7,1.4,1.1
54,Gallia,random_trade,False,1.5200000000000393,1.4,1.1,1.9,1.6,1.2,1.5,1.2,1.2,1.6,0.6,0.9
55,Gallia,random_trade,False,2.4600000000000435,0.9,1.9,2.3,1.1,1.0,1.0,1.9,0.5,1.6,0.9,2.3
56,Gallia,aggressive_trade,False,1.489999999999916,3.6,3.4,5.8,0.5,3.2,0.8,3.4,0.7,3.6,3.1,3.4
57,Gallia,aggressive_trade,False,1.9699999999994084,4.0,3.6,4.8,1.3,3.1,0.8,4.0,1.7,4.2,3.5,3.5
58,Gallia,random_trade,False,2.569999999999987,1.4,1.3,1.5,0.6,1.8,0.4,2.2,0.5,1.9,2.0,2.3
59,Gallia,aggressive_trade,False,1.359999999999661,3.2,4.7,5.3,1.4,4.3,0.7,4.6,1.3,5.1,4.0,4.8
60,Gallia,random_trade,False,1.5600000000000729,1.7,2.0,1.6,1.6,2.4,0.8,1.1,0.7,1.2,1.4,1.5
61,Iberian Peninsula,conservative_trade,False,2.3200000000000065,1.0,1.1,1.1,0.6,1.3,0.5,1.4,0.6,1.0,1.3,1.3
62,Iberian Peninsula,random_trade,False,2.880000000000032,1.1,1.7,2.3,0.3,1.2,0.6,2.1,0.9,2.2,2.6,1.0
