Agent Class,Total Wealth,ItalianPottery,AegeanPottery,AdriaticPottery,EMPottery,EgyptianPottery,WMPottery,TarrPottery,NAPottery,GallicPottery,BaeticanPottery,IberianPottery
Adria,1.6629999999999159,0.99,1.52,1.64,1.55,1.62,1.6,2.06,1.71,1.52,1.07,1.05
Aegean,1.728999999999965,1.12,1.59,1.39,1.61,1.32,1.55,2.25,1.31,1.65,0.99,0.9
Baetica,1.4979999999997977,0.89,1.87,2.09,1.84,2.0,2.0,2.6,2.24,2.16,0.82,1.06
Eastern Mediterranean,1.510999999999941,1.05,1.75,1.84,1.76,1.67,1.74,2.25,1.7,1.69,1.01,1.01
Egypt,1.6759999999999413,0.95,1.58,1.59,1.74,1.74,1.61,2.13,1.77,1.71,1.29,1.12
Gallia,1.4159999999999164,1.07,2.54,2.81,2.31,2.81,2.23,3.32,2.32,2.91,1.13,0.97
Iberian Peninsula,1.7179999999999132,1.03,2.33,2.92,1.94,2.71,2.1,2.77,2.22,2.57,0.89,0.94
Italy,1.650000000000158,0.9,2.25,3.66,2.37,3.44,2.49,3.89,2.19,3.7,0.75,0.74
North Africa,2.0739999999998635,1.06,1.9,2.24,1.53,2.41,1.89,2.65,1.65,2.47,0.98,1.13
Tarraconensis,1.8010000000000121,0.82,2.05,4.49,2.13,4.13,2.13,3.27,2.09,4.28,0.9,0.85
Western Mediterranean,2.12900000000053,0.88,1.8,3.94,1.8,4.62,1.85,2.74,1.57,4.28,0.82,0.89
