Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,ItalianPottery,AegeanPottery,AdriaticPottery,EMPottery,EgyptianPottery,WMPottery,TarrPottery,NAPottery,GallicPottery,BaeticanPottery,IberianPottery
1,Adria,conservative_trade,False,1.6600000000000243,0.9,0.9,1.4,0.8,1.1,0.8,0.8,0.7,1.0,1.5,1.0
2,Adria,aggressive_trade,False,1.5099999999998115,0.8,1.5,2.1,1.7,2.0,2.0,1.8,2.9,2.2,1.5,0.6
3,Adria,conservative_trade,False,1.7899999999999996,0.9,1.0,0.9,0.7,0.6,1.0,1.6,1.1,1.0,1.2,1.7
4,Adria,conservative_trade,False,2.23000000000003,1.5,0.9,1.1,1.2,1.4,1.2,0.6,0.6,0.9,0.9,0.9
5,Adria,random_trade,False,1.2100000000000992,1.2,1.2,1.5,1.0,1.4,1.7,1.6,1.8,1.7,0.5,0.8
6,Adria,conservative_trade,False,2.0000000000000138,1.2,1.0,1.1,1.0,0.8,1.1,1.2,0.7,0.7,1.2,1.5
7,Adria,aggressive_trade,False,1.2999999999996645,0.8,2.7,2.3,3.6,2.3,2.3,3.9,2.6,2.2,1.1,0.9
8,Adria,aggressive_trade,False,1.9099999999997148,0.3,2.6,2.8,2.4,2.5,2.3,5.0,2.7,2.2,0.3,0.8
9,Adria,aggressive_trade,False,1.5399999999997693,0.9,2.5,2.3,1.9,2.6,3.2,3.5,2.9,2.1,1.2,1.2
10,Adria,conservative_trade,False,1.4800000000000328,1.4,0.9,0.9,1.2,1.5,0.4,0.6,1.1,1.2,1.3,1.1
11,Aegean,conservative_trade,False,2.390000000000024,1.9,0.9,0.2,0.6,1.0,0.6,1.2,1.1,1.6,1.5,0.9
12,Aegean,aggressive_trade,False,1.6699999999995587,0.7,1.9,2.7,2.8,2.2,3.3,4.1,1.9,2.8,0.9,0.5
13,Aegean,random_trade,False,1.7600000000000915,0.4,1.9,1.4,2.4,1.4,0.9,1.4,1.8,1.7,1.1,0.6
14,Aegean,conservative_trade,False,2.0000000000000506,1.1,1.1,1.0,0.8,0.7,1.4,0.6,0.9,1.2,1.2,1.2
15,Aegean,random_trade,False,1.390000000000017,1.2,2.0,1.1,2.0,1.6,1.7,1.6,1.2,0.9,0.9,0.9
16,Aegean,random_trade,False,1.5300000000000782,0.7,1.0,1.8,1.2,1.8,1.1,2.2,0.9,2.1,0.6,1.0
17,Aegean,aggressive_trade,False,1.7099999999997082,1.6,3.3,2.0,3.1,1.6,2.5,6.0,2.1,1.9,1.0,0.8
18,Aegean,random_trade,False,1.210000000000017,1.6,1.4,0.8,1.2,0.6,1.4,2.0,1.5,1.4,0.9,1.1
19,Aegean,conservative_trade,False,2.3100000000000582,1.4,0.7,1.3,0.6,1.2,1.0,0.8,0.9,1.3,1.0,1.2
20,Aegean,random_trade,False,1.3200000000000471,0.6,1.7,1.6,1.4,1.1,1.6,2.6,0.8,1.6,0.8,0.8
21,Baetica,aggressive_trade,False,1.6399999999995174,0.7,3.1,3.3,2.3,2.2,3.1,5.1,2.1,2.5,0.5,0.9
