Agent Class,Total Wealth,ItalianPottery,NAPottery,GallicPottery,TarrPottery,EgyptianPottery,WMPottery,AdriaticPottery,EMPottery,IberianPottery,BaeticanPottery,AegeanPottery
Adria,1.6380000000000021,1.06,1.37,1.2,1.44,1.3,1.45,1.13,1.32,1.11,0.94,1.28
Aegean,1.678999999999983,1.01,1.3,1.32,1.77,1.59,1.4,1.45,1.24,1.3,1.06,1.57
Baetica,1.7199999999998972,1.1,1.81,1.49,2.09,1.57,1.84,1.59,1.55,1.09,1.2,1.62
Eastern Mediterranean,1.437999999999765,0.86,1.95,2.92,3.76,2.63,2.47,2.65,2.38,0.85,1.02,2.16
Egypt,1.84899999999987,0.91,2.39,2.48,3.15,2.07,2.16,2.11,1.88,0.89,0.95,2.02
Gallia,1.3519999999996952,0.94,2.58,3.5,3.99,3.71,2.5,2.82,2.76,0.86,0.82,2.74
Iberian Peninsula,1.48099999999999,1.15,1.55,1.86,1.92,1.65,1.52,1.5,1.34,1.04,1.11,1.38
Italy,1.8709999999997118,0.9,2.07,2.93,3.39,3.2,2.01,3.61,2.22,0.91,1.0,2.15
North Africa,1.6930000000001613,1.07,2.22,3.16,3.1,3.09,2.15,2.91,2.13,0.93,0.87,2.04
Tarraconensis,1.78000000000008,0.87,2.1,4.77,3.55,5.21,2.32,5.13,2.37,0.86,0.77,2.37
Western Mediterranean,1.9890000000003423,0.71,1.92,3.41,2.77,3.19,1.7,3.58,1.77,0.93,1.07,1.73
