Agent ID	Agent Class	Trade Behavior	Active	Total Wealth	ItalianPottery	NAPottery	GallicPottery	TarrPottery	EgyptianPottery	WMPottery	AdriaticPottery	EMPottery	IberianPottery	BaeticanPottery	AegeanPottery	total
1	Adria	random_trade	False	1,46	1	1,2	1,7	1,7	1,7	1,1	2	1,1	0,7	0,8	0,9	13,9
2	Adria	conservative_trade	False	2,08	1,4	0,7	1,3	1,1	0,7	1,6	0,6	0,9	1,2	1	0,8	11,3
3	Adria	aggressive_trade	False	1,77	0,5	1,9	2	2,3	2,2	2,7	1,5	2,4	1,2	0,7	2	19,4
4	Adria	random_trade	False	0,77	1,2	1,3	1,4	2	1,2	1,4	1,1	1,8	0,8	1,1	1,2	14,5
5	Adria	conservative_trade	False	2,16	1,7	0,8	0,9	1	1	0,5	0,7	1,1	1,4	1	1	11,1
6	Adria	conservative_trade	False	1,61	0,8	1	0,7	1,1	1	0,9	0,8	1,4	1,1	0,9	1,2	10,9
7	Adria	conservative_trade	False	1,29	1,4	1,5	0,8	0,5	0,6	1,2	0,8	0,9	1,6	0,9	0,7	10,9
8	Adria	random_trade	False	1,34	0,7	2	0,6	1	1,4	2,2	1,4	1,4	0,8	0,9	1,7	14,1
9	Adria	random_trade	False	1,71	1	1,6	1,7	1,4	1,5	1,8	1	1,3	1,2	0,9	1,3	14,7
10	Adria	random_trade	False	2,19	0,9	1,7	0,9	2,3	1,7	1,1	1,4	0,9	1,1	1,2	2	15,2
11	Aegean	random_trade	False	2,28	1,2	1,1	1,3	1,9	1,9	1,4	1,2	1,1	1,4	1	1,5	15
12	Aegean	conservative_trade	False	1,92	0,9	0,8	1	1	1,4	1	1,1	0,8	1,5	1,1	1,1	11,7
13	Aegean	conservative_trade	False	2,71	0,9	0,8	1	0,8	1,5	0,9	1,2	0,8	1,2	1,4	1,2	11,7
14	Aegean	aggressive_trade	False	0,86	1	2,8	2,7	3,3	3	2,6	3,4	1,8	0,8	0,3	2,3	24
15	Aegean	conservative_trade	False	1,1	0,7	0,9	0,3	1,7	0,5	1,4	0,7	0,9	2,3	1	1,2	11,6
16	Aegean	random_trade	False	1,4	1,2	1	1,3	1,7	1,5	1,4	1,1	1,2	1	0,9	1,6	13,9
17	Aegean	random_trade	False	1,24	0,7	1,5	1,7	1,2	1,7	1,2	1,6	1,5	1,6	0,8	1,6	15,1
18	Aegean	random_trade	False	1,57	1	1,7	0,9	2,1	1,3	0,6	1,6	1,4	1,1	1,1	1,6	14,4
19	Aegean	random_trade	False	1,95	0,8	1,1	1,4	1,9	1,7	2,2	1,3	1,3	0,8	1,3	1,9	15,7
20	Aegean	random_trade	False	1,76	1,7	1,3	1,6	2,1	1,4	1,3	1,3	1,6	1,3	1,7	1,7	17
21	Baetica	aggressive_trade	False	1,35	1	2,9	2,3	3,8	3,2	3,3	2,1	1,6	0,4	0,8	3,4	24,8
22	Baetica	conservative_trade	False	2,36	1,1	1,1	1,1	0,9	1,3	1	0,8	1,1	1,3	1,5	0,5	11,7
23	Baetica	aggressive_trade	False	2,07	1,6	2,9	2,6	3,3	2	4	1,7	2,1	0,7	1,6	2,4	24,9
24	Baetica	conservative_trade	False	0,76	1,5	0,8	0,5	1,1	1,2	0,8	1,3	1	1,5	1,4	0,8	11,9
