Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,ItalianPottery,NAPottery,GallicPottery,TarrPottery,EgyptianPottery,WMPottery,AdriaticPottery,EMPottery,IberianPottery,BaeticanPottery,AegeanPottery
1,Adria,random_trade,False,1.4600000000000803,1.0,1.2,1.7,1.7,1.7,1.1,2.0,1.1,0.7,0.8,0.9
2,Adria,conservative_trade,False,2.0800000000000534,1.4,0.7,1.3,1.1,0.7,1.6,0.6,0.9,1.2,1.0,0.8
3,Adria,aggressive_trade,False,1.7699999999997218,0.5,1.9,2.0,2.3,2.2,2.7,1.5,2.4,1.2,0.7,2.0
4,Adria,random_trade,False,0.7700000000000446,1.2,1.3,1.4,2.0,1.2,1.4,1.1,1.8,0.8,1.1,1.2
5,Adria,conservative_trade,False,2.1599999999999944,1.7,0.8,0.9,1.0,1.0,0.5,0.7,1.1,1.4,1.0,1.0
6,Adria,conservative_trade,False,1.610000000000014,0.8,1.0,0.7,1.1,1.0,0.9,0.8,1.4,1.1,0.9,1.2
7,Adria,conservative_trade,False,1.2900000000000418,1.4,1.5,0.8,0.5,0.6,1.2,0.8,0.9,1.6,0.9,0.7
8,Adria,random_trade,False,1.3400000000001084,0.7,2.0,0.6,1.0,1.4,2.2,1.4,1.4,0.8,0.9,1.7
9,Adria,random_trade,False,1.7100000000000137,1.0,1.6,1.7,1.4,1.5,1.8,1.0,1.3,1.2,0.9,1.3
10,Adria,random_trade,False,2.189999999999948,0.9,1.7,0.9,2.3,1.7,1.1,1.4,0.9,1.1,1.2,2.0
11,Aegean,random_trade,False,2.2800000000000415,1.2,1.1,1.3,1.9,1.9,1.4,1.2,1.1,1.4,1.0,1.5
12,Aegean,conservative_trade,False,1.9199999999999995,0.9,0.8,1.0,1.0,1.4,1.0,1.1,0.8,1.5,1.1,1.1
13,Aegean,conservative_trade,False,2.710000000000017,0.9,0.8,1.0,0.8,1.5,0.9,1.2,0.8,1.2,1.4,1.2
14,Aegean,aggressive_trade,False,0.8599999999995237,1.0,2.8,2.7,3.3,3.0,2.6,3.4,1.8,0.8,0.3,2.3
15,Aegean,conservative_trade,False,1.1000000000000418,0.7,0.9,0.3,1.7,0.5,1.4,0.7,0.9,2.3,1.0,1.2
16,Aegean,random_trade,False,1.4000000000000379,1.2,1.0,1.3,1.7,1.5,1.4,1.1,1.2,1.0,0.9,1.6
17,Aegean,random_trade,False,1.2400000000000415,0.7,1.5,1.7,1.2,1.7,1.2,1.6,1.5,1.6,0.8,1.6
18,Aegean,random_trade,False,1.570000000000006,1.0,1.7,0.9,2.1,1.3,0.6,1.6,1.4,1.1,1.1,1.6
19,Aegean,random_trade,False,1.9500000000000857,0.8,1.1,1.4,1.9,1.7,2.2,1.3,1.3,0.8,1.3,1.9
20,Aegean,random_trade,False,1.760000000000036,1.7,1.3,1.6,2.1,1.4,1.3,1.3,1.6,1.3,1.7,1.7
21,Baetica,aggressive_trade,False,1.3499999999997498,1.0,2.9,2.3,3.8,3.2,3.3,2.1,1.6,0.4,0.8,3.4
22,Baetica,conservative_trade,False,2.360000000000005,1.1,1.1,1.1,0.9,1.3,1.0,0.8,1.1,1.3,1.5,0.5
23,Baetica,aggressive_trade,False,2.0699999999995624,1.6,2.9,2.6,3.3,2.0,4.0,1.7,2.1,0.7,1.6,2.4
24,Baetica,conservative_trade,False,0.7600000000000263,1.5,0.8,0.5,1.1,1.2,0.8,1.3,1.0,1.5,1.4,0.8
25,Baetica,random_trade,False,1.7899999999999707,0.9,1.5,1.9,1.4,1.4,1.3,1.2,1.4,1.5,0.7,2.1
26,Baetica,random_trade,False,1.0299999999999692,0.9,1.6,1.0,3.1,1.8,1.5,1.3,1.9,0.6,1.1,1.0
27,Baetica,conservative_trade,False,1.8800000000000607,1.1,0.7,1.2,0.4,1.1,1.3,1.1,0.8,1.7,1.2,0.8
28,Baetica,conservative_trade,False,3.10000000000006,1.2,1.2,0.8,1.4,0.7,0.8,0.6,1.5,1.1,1.6,0.8
29,Baetica,aggressive_trade,False,1.3099999999995342,0.9,3.2,2.5,2.9,2.3,3.1,4.0,3.2,1.1,0.7,1.8
30,Baetica,random_trade,False,1.5500000000000322,0.8,2.2,1.0,2.6,0.7,1.3,1.8,0.9,1.0,1.4,2.6
31,Eastern Mediterranean,conservative_trade,False,2.340000000000028,1.0,1.0,1.2,0.4,0.9,0.9,1.1,1.1,1.3,1.1,1.2
32,Eastern Mediterranean,random_trade,False,1.070000000000057,1.0,0.9,1.7,2.3,1.0,2.1,1.3,1.5,0.7,0.8,1.2
33,Eastern Mediterranean,conservative_trade,False,1.7299999999999933,2.1,0.6,0.5,0.5,1.3,1.3,1.0,0.6,1.2,1.4,0.8
34,Eastern Mediterranean,aggressive_trade,False,0.8199999999995233,0.2,2.2,4.9,5.3,3.4,3.0,2.4,2.9,0.9,1.2,2.6
35,Eastern Mediterranean,aggressive_trade,False,1.3899999999995487,0.7,2.2,3.2,5.4,2.7,3.1,2.4,3.4,0.4,0.8,3.3
36,Eastern Mediterranean,aggressive_trade,False,1.339999999999692,1.2,2.5,3.6,5.9,3.5,2.4,3.8,2.9,0.6,1.0,2.8
37,Eastern Mediterranean,aggressive_trade,False,1.0299999999998442,0.5,2.8,3.1,5.2,3.1,3.3,3.8,3.9,1.0,0.6,2.5
38,Eastern Mediterranean,aggressive_trade,False,1.8899999999996233,0.4,2.5,3.5,5.4,4.2,3.5,6.1,2.1,0.6,1.1,2.9
39,Eastern Mediterranean,aggressive_trade,False,0.8099999999993435,0.7,3.6,5.3,5.9,5.1,2.9,3.3,3.6,0.8,0.7,3.0
40,Eastern Mediterranean,random_trade,False,1.9599999999999973,0.8,1.2,2.2,1.3,1.1,2.2,1.3,1.8,1.0,1.5,1.3
