Agent Class,Total Wealth,WMPottery,IberianPottery,AegeanPottery,BaeticanPottery,EgyptianPottery,NAPottery,EMPottery,AdriaticPottery,GallicPottery,TarrPottery,ItalianPottery
Adria,1.5629999999998452,1.71,0.9,1.75,0.93,2.29,1.67,1.82,2.15,2.13,2.52,0.75
Aegean,2.259225000000006,1.93,0.94,1.71,0.98,1.64,1.75,1.75,1.79,1.71,2.16,1.01
Baetica,2.1044999999999217,1.55,0.96,1.65,1.08,1.56,1.65,1.76,1.64,1.62,2.08,0.99
Eastern Mediterranean,1.6972499999999742,1.59,0.95,1.72,0.92,1.61,1.78,1.59,1.54,1.62,2.21,1.07
Egypt,2.9599749999999316,1.74,1.0,2.05,0.92,2.56,2.06,1.96,2.39,2.4,2.49,0.91
Gallia,2.1247749999999557,1.71,0.89,2.03,0.95,2.47,1.88,1.61,2.19,2.19,2.37,1.05
Iberian Peninsula,2.7758750000000747,1.7,0.93,1.8,1.07,2.78,1.95,1.89,2.55,2.46,2.9,0.95
Italy,3.32217500000004,1.67,0.99,1.8,0.94,2.73,1.62,1.84,2.58,2.93,2.59,0.94
North Africa,2.5303499999999803,2.01,0.77,1.8,0.82,3.02,1.88,1.51,3.1,3.33,2.78,0.9
Tarraconensis,3.1239749999999544,1.46,1.17,1.42,0.95,2.53,1.36,1.7,2.73,2.47,2.09,1.03
Western Mediterranean,3.7960750000000845,1.25,1.11,1.04,0.94,2.58,1.18,1.08,2.59,2.88,1.74,1.0
