Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,WMPottery,IberianPottery,AegeanPottery,BaeticanPottery,EgyptianPottery,NAPottery,EMPottery,AdriaticPottery,GallicPottery,TarrPottery,ItalianPottery
1,Adria,aggressive_trade,False,0.8499999999999565,2.2,0.7,2.1,0.3,2.7,2.5,1.6,2.4,1.8,3.8,0.6
2,Adria,aggressive_trade,False,2.609999999999873,3.1,1.5,2.4,0.6,2.2,1.6,2.9,2.0,2.1,2.3,0.4
3,Adria,random_trade,False,2.0800000000000645,1.6,0.7,1.9,0.9,1.7,1.6,1.0,1.2,1.1,2.3,0.3
4,Adria,conservative_trade,False,0.9900000000000077,0.7,1.2,0.7,1.8,1.3,1.3,0.9,0.9,0.5,1.1,0.8
5,Adria,conservative_trade,False,1.2200000000000402,0.8,1.5,1.1,1.3,1.0,1.2,0.9,1.1,0.8,0.9,1.0
6,Adria,conservative_trade,False,1.460000000000069,1.1,1.2,0.6,0.9,1.4,0.9,0.8,1.3,0.5,1.1,1.2
7,Adria,aggressive_trade,False,1.3799999999995467,2.2,0.3,2.5,0.8,2.6,2.3,3.0,2.7,4.4,3.7,1.1
8,Adria,aggressive_trade,False,1.6999999999993478,2.0,0.5,2.9,0.7,4.5,2.2,3.7,5.0,4.5,3.7,0.3
9,Adria,aggressive_trade,False,0.9499999999995297,2.6,0.4,2.1,1.0,5.2,2.2,2.4,3.4,4.4,5.3,0.5
10,Adria,conservative_trade,False,2.3900000000000188,0.8,1.0,1.2,1.0,0.3,0.9,1.0,1.5,1.2,1.0,1.3
11,Aegean,conservative_trade,False,1.616250000000057,1.7,0.6,1.0,0.7,0.7,1.2,0.6,1.1,1.1,1.0,1.2
12,Aegean,conservative_trade,False,1.014500000000028,0.8,0.9,1.2,0.7,1.3,1.2,1.3,1.5,0.8,0.6,1.1
13,Aegean,conservative_trade,False,1.5549999999999802,0.9,1.1,1.3,1.3,0.7,1.6,0.6,1.0,1.3,0.6,1.0
14,Aegean,aggressive_trade,False,2.622000000000019,2.5,0.9,2.0,0.9,3.4,2.8,1.9,3.1,3.0,3.6,0.6
15,Aegean,conservative_trade,False,1.4545000000000277,1.0,1.0,1.1,1.5,0.6,1.0,1.2,0.9,0.3,1.0,1.7
16,Aegean,aggressive_trade,False,1.4219999999999147,2.6,0.4,2.0,0.8,2.6,2.5,2.7,2.9,1.3,4.8,0.4
17,Aegean,random_trade,False,2.0189999999999992,1.1,1.0,2.0,1.0,1.3,1.2,1.8,1.2,1.2,1.5,1.1
18,Aegean,aggressive_trade,False,4.231250000000017,4.5,0.9,2.1,0.9,2.6,2.6,2.7,2.4,2.3,4.1,0.6
19,Aegean,conservative_trade,False,2.222500000000001,1.2,1.7,1.8,1.1,0.8,0.8,0.6,0.5,1.3,0.5,1.4
20,Aegean,aggressive_trade,False,4.435250000000019,3.0,0.9,2.6,0.9,2.4,2.6,4.1,3.3,4.5,3.9,1.0
21,Baetica,conservative_trade,False,2.855000000000026,0.5,0.9,0.9,1.5,0.6,1.2,1.5,1.2,1.4,1.3,1.0
22,Baetica,random_trade,False,1.5619999999999492,1.3,1.3,2.2,0.8,1.3,1.3,1.5,1.3,1.5,1.4,1.4
23,Baetica,aggressive_trade,False,1.359249999999814,2.7,0.3,1.5,0.3,2.3,2.6,3.2,1.4,1.7,3.1,1.2
24,Baetica,aggressive_trade,False,1.430749999999581,3.5,1.1,1.8,0.5,2.8,2.2,2.2,3.1,3.0,3.9,0.9
25,Baetica,aggressive_trade,False,3.4185000000000016,1.7,0.7,2.8,0.8,2.8,3.6,3.4,4.3,2.7,5.5,0.6
26,Baetica,random_trade,False,0.8117499999999203,1.7,0.5,2.0,1.3,1.4,1.4,2.6,1.4,1.5,2.1,0.4
27,Baetica,conservative_trade,False,3.3882499999999816,0.7,1.4,1.2,1.0,1.5,1.1,0.7,1.2,1.4,1.1,1.2
28,Baetica,conservative_trade,False,2.534249999999961,0.8,1.2,1.4,1.4,0.9,1.3,0.9,1.0,0.8,0.7,1.1
29,Baetica,conservative_trade,False,2.414749999999989,1.4,1.3,0.9,1.3,1.0,1.0,0.8,0.7,1.0,1.1,1.2
30,Baetica,conservative_trade,False,1.2704999999999942,1.2,0.9,1.8,1.9,1.0,0.8,0.8,0.8,1.2,0.6,0.9
31,Eastern Mediterranean,conservative_trade,False,1.5062499999999948,0.6,1.5,0.5,1.4,1.0,1.6,1.4,1.1,1.0,1.1,1.3
32,Eastern Mediterranean,random_trade,False,1.5352499999999805,1.3,0.6,2.5,0.9,1.4,2.3,1.6,1.2,1.6,2.3,0.6
33,Eastern Mediterranean,random_trade,False,1.5267499999999596,1.8,1.2,0.8,1.0,1.8,1.6,1.3,1.4,2.3,1.8,0.8
34,Eastern Mediterranean,aggressive_trade,False,2.0550000000001374,2.1,0.6,2.9,1.0,3.0,2.9,2.6,3.5,3.7,4.1,0.5
35,Eastern Mediterranean,conservative_trade,False,1.7122500000000158,0.5,1.0,1.1,1.0,1.6,0.5,1.2,0.7,1.2,1.8,1.1
36,Eastern Mediterranean,random_trade,False,0.9442499999999535,1.5,0.7,1.4,0.9,1.1,1.8,1.4,1.4,0.8,2.7,1.4
37,Eastern Mediterranean,conservative_trade,False,1.967499999999939,1.1,1.2,0.8,1.0,0.7,0.6,1.5,0.5,1.0,1.4,1.5
38,Eastern Mediterranean,aggressive_trade,False,1.3894999999998927,4.2,1.6,4.5,0.4,2.9,3.7,2.4,3.1,2.1,3.9,0.6
39,Eastern Mediterranean,random_trade,False,1.242749999999909,2.1,0.4,1.9,0.6,1.1,1.7,1.5,1.6,1.1,2.6,1.0
40,Eastern Mediterranean,conservative_trade,False,3.0929999999999596,0.7,0.7,0.8,1.0,1.5,1.1,1.0,0.9,1.4,0.4,1.9
41,Egypt,aggressive_trade,False,3.0204999999999513,2.3,0.9,3.1,0.9,3.4,3.1,3.1,3.6,3.6,3.8,0.9
42,Egypt,random_trade,False,2.4895000000000285,1.8,0.7,1.1,0.4,1.9,1.7,1.7,1.3,1.4,2.2,0.4
