Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,WMPottery,IberianPottery,AegeanPottery,BaeticanPottery,EgyptianPottery,NAPottery,EMPottery,AdriaticPottery,GallicPottery,TarrPottery,ItalianPottery,total_pottery
1,Adria,aggressive_trade,False,"0,85","2,2","0,7","2,1","0,3","2,7","2,5","1,6","2,4","1,8","3,8","0,6","20,7"
2,Adria,aggressive_trade,False,"2,61","3,1","1,5","2,4","0,6","2,2","1,6","2,9",2,"2,1","2,3","0,4","21,1"
3,Adria,random_trade,False,"2,08","1,6","0,7","1,9","0,9","1,7","1,6",1,"1,2","1,1","2,3","0,3","14,3"
4,Adria,conservative_trade,False,"0,99","0,7","1,2","0,7","1,8","1,3","1,3","0,9","0,9","0,5","1,1","0,8","11,2"
5,Adria,conservative_trade,False,"1,22","0,8","1,5","1,1","1,3",1,"1,2","0,9","1,1","0,8","0,9",1,"11,6"
6,Adria,conservative_trade,False,"1,46","1,1","1,2","0,6","0,9","1,4","0,9","0,8","1,3","0,5","1,1","1,2",11
7,Adria,aggressive_trade,False,"1,38","2,2","0,3","2,5","0,8","2,6","2,3",3,"2,7","4,4","3,7","1,1","25,6"
8,Adria,aggressive_trade,False,"1,7",2,"0,5","2,9","0,7","4,5","2,2","3,7",5,"4,5","3,7","0,3",30
9,Adria,aggressive_trade,False,"0,95","2,6","0,4","2,1",1,"5,2","2,2","2,4","3,4","4,4","5,3","0,5","29,5"
10,Adria,conservative_trade,False,"2,39","0,8",1,"1,2",1,"0,3","0,9",1,"1,5","1,2",1,"1,3","11,2"
11,Aegean,conservative_trade,False,"1,61625","1,7","0,6",1,"0,7","0,7","1,2","0,6","1,1","1,1",1,"1,2","10,9"
12,Aegean,conservative_trade,False,"1,0145","0,8","0,9","1,2","0,7","1,3","1,2","1,3","1,5","0,8","0,6","1,1","11,4"
13,Aegean,conservative_trade,False,"1,555","0,9","1,1","1,3","1,3","0,7","1,6","0,6",1,"1,3","0,6",1,"11,4"
14,Aegean,aggressive_trade,False,"2,622","2,5","0,9",2,"0,9","3,4","2,8","1,9","3,1",3,"3,6","0,6","24,7"
15,Aegean,conservative_trade,False,"1,4545",1,1,"1,1","1,5","0,6",1,"1,2","0,9","0,3",1,"1,7","11,3"
16,Aegean,aggressive_trade,False,"1,422","2,6","0,4",2,"0,8","2,6","2,5","2,7","2,9","1,3","4,8","0,4",23
17,Aegean,random_trade,False,"2,019","1,1",1,2,1,"1,3","1,2","1,8","1,2","1,2","1,5","1,1","14,4"
18,Aegean,aggressive_trade,False,"4,23125","4,5","0,9","2,1","0,9","2,6","2,6","2,7","2,4","2,3","4,1","0,6","25,7"
19,Aegean,conservative_trade,False,"2,2225","1,2","1,7","1,8","1,1","0,8","0,8","0,6","0,5","1,3","0,5","1,4","11,7"
20,Aegean,aggressive_trade,False,"4,43525",3,"0,9","2,6","0,9","2,4","2,6","4,1","3,3","4,5","3,9",1,"29,2"
21,Baetica,conservative_trade,False,"2,855","0,5","0,9","0,9","1,5","0,6","1,2","1,5","1,2","1,4","1,3",1,12
22,Baetica,random_trade,False,"1,562","1,3","1,3","2,2","0,8","1,3","1,3","1,5","1,3","1,5","1,4","1,4","15,3"
23,Baetica,aggressive_trade,False,"1,35925","2,7","0,3","1,5","0,3","2,3","2,6","3,2","1,4","1,7","3,1","1,2","20,3"
24,Baetica,aggressive_trade,False,"1,43075","3,5","1,1","1,8","0,5","2,8","2,2","2,2","3,1",3,"3,9","0,9",25
25,Baetica,aggressive_trade,False,"3,4185","1,7","0,7","2,8","0,8","2,8","3,6","3,4","4,3","2,7","5,5","0,6","28,9"
26,Baetica,random_trade,False,"0,81175","1,7","0,5",2,"1,3","1,4","1,4","2,6","1,4","1,5","2,1","0,4","16,3"
27,Baetica,conservative_trade,False,"3,38825","0,7","1,4","1,2",1,"1,5","1,1","0,7","1,2","1,4","1,1","1,2","12,5"
28,Baetica,conservative_trade,False,"2,53425","0,8","1,2","1,4","1,4","0,9","1,3","0,9",1,"0,8","0,7","1,1","11,5"
29,Baetica,conservative_trade,False,"2,41475","1,4","1,3","0,9","1,3",1,1,"0,8","0,7",1,"1,1","1,2","11,7"
30,Baetica,conservative_trade,False,"1,2705","1,2","0,9","1,8","1,9",1,"0,8","0,8","0,8","1,2","0,6","0,9","11,9"
31,Eastern Mediterranean,conservative_trade,False,"1,50625","0,6","1,5","0,5","1,4",1,"1,6","1,4","1,1",1,"1,1","1,3","12,5"
32,Eastern Mediterranean,random_trade,False,"1,53525","1,3","0,6","2,5","0,9","1,4","2,3","1,6","1,2","1,6","2,3","0,6","16,3"
33,Eastern Mediterranean,random_trade,False,"1,52675","1,8","1,2","0,8",1,"1,8","1,6","1,3","1,4","2,3","1,8","0,8","15,8"
34,Eastern Mediterranean,aggressive_trade,False,"2,055","2,1","0,6","2,9",1,3,"2,9","2,6","3,5","3,7","4,1","0,5","26,9"
35,Eastern Mediterranean,conservative_trade,False,"1,71225","0,5",1,"1,1",1,"1,6","0,5","1,2","0,7","1,2","1,8","1,1","11,7"
36,Eastern Mediterranean,random_trade,False,"0,94425","1,5","0,7","1,4","0,9","1,1","1,8","1,4","1,4","0,8","2,7","1,4","15,1"
37,Eastern Mediterranean,conservative_trade,False,"1,9675","1,1","1,2","0,8",1,"0,7","0,6","1,5","0,5",1,"1,4","1,5","11,3"
38,Eastern Mediterranean,aggressive_trade,False,"1,3895","4,2","1,6","4,5","0,4","2,9","3,7","2,4","3,1","2,1","3,9","0,6","29,4"
39,Eastern Mediterranean,random_trade,False,"1,24275","2,1","0,4","1,9","0,6","1,1","1,7","1,5","1,6","1,1","2,6",1,"15,6"
40,Eastern Mediterranean,conservative_trade,False,"3,093","0,7","0,7","0,8",1,"1,5","1,1",1,"0,9","1,4","0,4","1,9","11,4"
41,Egypt,aggressive_trade,False,"3,0205","2,3","0,9","3,1","0,9","3,4","3,1","3,1","3,6","3,6","3,8","0,9","28,7"
42,Egypt,random_trade,False,"2,4895","1,8","0,7","1,1","0,4","1,9","1,7","1,7","1,3","1,4","2,2","0,4","14,6"
43,Egypt,conservative_trade,False,"2,22475","0,8","1,6","1,2","1,6","0,6","0,9","1,3","0,9","1,2","0,7","1,3","12,1"
44,Egypt,aggressive_trade,False,"4,1225",3,"0,6","3,4","0,7","3,5","2,3",3,4,"3,8","4,2","1,1","29,6"
45,Egypt,random_trade,False,"2,151","1,5",1,1,"1,5","1,6","1,9","1,3","1,2","1,8",1,"0,7","14,5"
46,Egypt,conservative_trade,False,"1,66175","1,1","1,2","0,7","1,3","1,3","1,4","0,5","0,9","0,8","0,9","1,5","11,6"
47,Egypt,aggressive_trade,False,"5,293","2,4","1,7","2,8","0,3","4,2","3,9",3,"4,1","3,6","4,8","0,6","31,4"
48,Egypt,aggressive_trade,False,"4,173","2,1","0,4","2,9","0,7","5,6","3,1","2,5","5,2","4,5","4,1",1,"32,1"
49,Egypt,random_trade,False,"2,06625","0,9","1,1","2,1","0,7","2,1","1,4","1,2","1,8","1,7","1,3","0,9","15,2"
50,Egypt,random_trade,False,"2,3975","1,5","0,8","2,2","1,1","1,4","0,9",2,"0,9","1,6","1,9","0,7",15
51,Gallia,random_trade,False,"1,976","1,1","1,4","2,2","1,3","1,3","1,1","1,9",1,"1,1","1,5","1,2","15,1"
52,Gallia,random_trade,False,"1,6165","1,5","1,2","1,8","1,4","0,7","1,6","1,6","1,3","1,6","1,3","1,2","15,2"
53,Gallia,random_trade,False,"2,05","1,3","0,7","1,6",1,"1,9","1,8","1,5",1,"1,1","2,1","1,7","15,7"
54,Gallia,conservative_trade,False,"2,15125","1,3","1,5",1,"1,2","1,7",1,"0,9","0,9",1,"1,1",1,"12,6"
55,Gallia,aggressive_trade,False,"3,887","2,1","0,6","2,6","1,2","4,4","2,6","1,5","4,7",3,"4,6","1,1","28,4"
56,Gallia,conservative_trade,False,"1,881","1,1",1,1,"1,1","1,6","0,9","0,7","1,1","1,7","0,9","1,1","12,2"
57,Gallia,aggressive_trade,False,"1,8995","2,8","0,3","2,9","0,5","4,7","2,8","2,2","5,3","5,3",5,"0,4","32,2"
58,Gallia,random_trade,False,"2,1725","1,7","0,6","1,7","0,7","1,3","2,4","1,4","1,2",2,"1,3","0,8","15,1"
59,Gallia,aggressive_trade,False,"1,54675","3,2","0,5","3,3","0,5","4,3","3,1","2,9","3,8",3,"4,8","0,7","30,1"
60,Gallia,random_trade,False,"2,06725",1,"1,1","2,2","0,6","2,8","1,5","1,5","1,6","2,1","1,1","1,3","16,8"
61,Iberian Peninsula,aggressive_trade,False,"3,6145","2,8","0,8","3,5","0,7","3,5","3,4",4,"4,3","3,9","3,8","0,5","31,2"
62,Iberian Peninsula,random_trade,False,"2,45575","1,1","0,9",1,"0,9","2,8","1,7",1,"2,3",2,"2,1","0,5","16,3"
63,Iberian Peninsula,conservative_trade,False,"3,406","0,9","0,8","1,1","1,9","0,7","1,3","0,5","1,2","1,1","1,4","1,2","12,1"
64,Iberian Peninsula,conservative_trade,False,"1,8755","1,4",1,"1,2","1,1","0,8","1,2","1,1",1,"1,3","1,1","1,1","12,3"
65,Iberian Peninsula,conservative_trade,False,"3,0565","0,9","1,7","0,8","1,1","1,7","1,3","0,6","0,7","1,1",1,"1,4","12,3"
66,Iberian Peninsula,conservative_trade,False,"2,969","0,6","1,2","0,8","1,5",1,"1,8","1,1","1,6","1,1","1,5","0,6","12,8"
67,Iberian Peninsula,aggressive_trade,False,"2,21025","2,1","0,6","3,1","0,6","6,2","2,4","2,3",5,"4,6","5,6","0,5",33
