Agent Class,Total Wealth,GallicPottery,ItalianPottery,EgyptianPottery,AegeanPottery,WMPottery,BaeticanPottery,IberianPottery,EMPottery,TarrPottery,NAPottery,AdriaticPottery
Adria,1.7939999999998988,2.01,0.88,1.75,1.89,1.96,0.89,0.87,1.68,2.22,1.86,1.74
Aegean,1.794649999999969,1.53,1.01,1.43,1.57,1.8,0.92,1.03,1.39,1.95,1.61,1.54
Baetica,2.4697999999999523,1.88,1.0,1.82,1.54,1.54,1.1,1.12,1.68,1.98,1.73,1.54
Eastern Mediterranean,2.3228249999999875,1.64,1.14,1.67,1.44,1.24,0.93,0.97,1.7,1.87,1.39,1.59
Egypt,1.7777749999999815,1.7,0.96,1.9,1.73,1.76,1.01,0.84,1.84,2.14,1.6,1.63
Gallia,2.317399999999987,1.69,0.86,2.0,1.62,1.56,1.03,1.03,1.6,2.11,1.68,1.95
Iberian Peninsula,2.4016499999999934,2.07,0.96,1.9,1.6,1.38,0.87,0.9,1.49,2.36,1.58,2.17
Italy,2.3651249999999413,2.18,1.09,2.21,1.71,2.02,1.13,1.16,1.78,2.71,1.62,2.33
North Africa,2.312424999999944,2.52,0.83,2.52,1.8,1.77,0.86,1.02,2.01,2.74,1.89,2.54
Private,3.5788409090910194,2.5636363636363635,1.2181818181818183,2.790909090909091,1.3272727272727274,1.4454545454545455,1.0545454545454545,1.0636363636363637,1.5545454545454545,2.1454545454545455,1.5363636363636364,2.6545454545454548
Tarraconensis,3.617624999999967,3.37,0.88,3.03,2.08,2.1,0.81,0.96,2.16,3.35,2.02,3.66
Western Mediterranean,4.593675000000102,5.09,0.77,4.9,2.33,2.17,0.89,0.68,1.97,3.66,2.33,4.87
