Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,ItalianPottery,EgyptianPottery,AegeanPottery,WMPottery,BaeticanPottery,IberianPottery,EMPottery,TarrPottery,NAPottery,AdriaticPottery
1,Adria,random_trade,False,1.6200000000000365,1.9,1.1,1.4,1.3,1.5,0.7,0.7,1.0,1.7,1.0,1.8
2,Adria,aggressive_trade,False,1.0899999999998269,2.8,0.8,2.0,2.3,3.1,0.6,0.7,2.9,4.1,1.5,2.5
3,Adria,aggressive_trade,False,1.6199999999996286,3.1,0.6,3.6,2.3,2.4,0.9,0.5,1.4,3.9,2.4,2.6
4,Adria,random_trade,False,1.6200000000000334,1.0,0.9,1.8,1.6,1.7,1.0,0.9,2.2,1.3,1.6,1.0
5,Adria,aggressive_trade,False,2.1799999999996986,2.6,0.8,2.2,2.7,3.0,0.6,0.8,2.3,3.8,3.3,2.1
6,Adria,random_trade,False,1.5300000000000735,1.7,0.9,1.2,1.2,1.2,1.2,1.0,1.3,0.8,0.9,1.7
7,Adria,random_trade,False,1.7699999999999974,1.7,0.8,1.2,1.7,1.6,1.0,1.3,1.3,1.4,1.4,0.8
8,Adria,conservative_trade,False,1.9300000000000175,1.1,0.7,1.2,0.7,0.9,1.0,1.2,1.3,0.8,1.8,0.9
9,Adria,random_trade,False,2.890000000000034,1.3,1.6,0.9,2.3,1.6,1.2,0.7,1.0,1.0,1.4,1.8
10,Adria,aggressive_trade,False,1.6899999999996425,2.9,0.6,2.0,2.8,2.6,0.7,0.9,2.1,3.4,3.3,2.2
11,Private,aggressive_trade,False,2.983000000000018,2.2,0.9,3.6,3.0,2.8,1.1,1.0,3.1,3.5,2.7,2.3
12,Aegean,conservative_trade,False,2.0209999999999977,1.0,1.5,0.5,1.1,1.4,1.1,0.8,1.1,1.3,0.8,0.9
13,Aegean,random_trade,False,1.4970000000000003,1.1,0.6,0.9,1.1,2.3,1.2,0.8,1.0,1.2,1.3,1.4
14,Aegean,aggressive_trade,False,1.1107499999998036,3.0,1.0,2.1,3.2,2.3,0.7,1.1,1.6,2.8,2.4,2.6
15,Aegean,random_trade,False,1.7525000000000208,1.2,0.5,1.1,1.3,1.9,0.6,0.9,1.3,2.2,1.3,1.3
16,Aegean,conservative_trade,False,1.9960000000000413,0.7,1.2,0.9,1.1,0.9,1.1,1.5,1.2,0.9,0.8,1.2
17,Aegean,random_trade,False,1.4599999999999995,1.3,1.1,1.1,1.2,2.0,0.7,0.7,1.7,1.6,1.4,1.9
18,Aegean,conservative_trade,False,2.6367499999999873,0.9,1.0,1.1,0.6,1.0,1.1,2.1,1.3,1.3,1.1,0.8
19,Aegean,aggressive_trade,False,2.4649999999999053,2.9,0.7,2.8,2.0,2.5,1.1,0.7,1.8,2.8,2.9,2.2
20,Aegean,aggressive_trade,False,1.3007499999999403,2.1,0.9,2.9,2.8,2.5,0.7,0.5,2.2,4.3,3.2,2.3
21,Aegean,conservative_trade,False,1.7067499999999955,1.1,1.6,0.9,1.3,1.2,0.9,1.2,0.7,1.1,0.9,0.8
