Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,ItalianPottery,EgyptianPottery,AegeanPottery,WMPottery,BaeticanPottery,IberianPottery,EMPottery,TarrPottery,NAPottery,AdriaticPottery,total_pottery
1,Adria,random_trade,False,"1,62","1,9","1,1","1,4","1,3","1,5","0,7","0,7",1,"1,7",1,"1,8","14,1"
2,Adria,aggressive_trade,False,"1,09","2,8","0,8",2,"2,3","3,1","0,6","0,7","2,9","4,1","1,5","2,5","23,3"
3,Adria,aggressive_trade,False,"1,62","3,1","0,6","3,6","2,3","2,4","0,9","0,5","1,4","3,9","2,4","2,6","23,7"
4,Adria,random_trade,False,"1,62",1,"0,9","1,8","1,6","1,7",1,"0,9","2,2","1,3","1,6",1,15
5,Adria,aggressive_trade,False,"2,18","2,6","0,8","2,2","2,7",3,"0,6","0,8","2,3","3,8","3,3","2,1","24,2"
6,Adria,random_trade,False,"1,53","1,7","0,9","1,2","1,2","1,2","1,2",1,"1,3","0,8","0,9","1,7","13,1"
7,Adria,random_trade,False,"1,77","1,7","0,8","1,2","1,7","1,6",1,"1,3","1,3","1,4","1,4","0,8","14,2"
8,Adria,conservative_trade,False,"1,93","1,1","0,7","1,2","0,7","0,9",1,"1,2","1,3","0,8","1,8","0,9","11,6"
9,Adria,random_trade,False,"2,89","1,3","1,6","0,9","2,3","1,6","1,2","0,7",1,1,"1,4","1,8","14,8"
10,Adria,aggressive_trade,False,"1,69","2,9","0,6",2,"2,8","2,6","0,7","0,9","2,1","3,4","3,3","2,2","23,5"
11,Private,aggressive_trade,False,"2,983","2,2","0,9","3,6",3,"2,8","1,1",1,"3,1","3,5","2,7","2,3","26,2"
12,Aegean,conservative_trade,False,"2,021",1,"1,5","0,5","1,1","1,4","1,1","0,8","1,1","1,3","0,8","0,9","11,5"
13,Aegean,random_trade,False,"1,497","1,1","0,6","0,9","1,1","2,3","1,2","0,8",1,"1,2","1,3","1,4","12,9"
14,Aegean,aggressive_trade,False,"1,11075",3,1,"2,1","3,2","2,3","0,7","1,1","1,6","2,8","2,4","2,6","22,8"
15,Aegean,random_trade,False,"1,7525","1,2","0,5","1,1","1,3","1,9","0,6","0,9","1,3","2,2","1,3","1,3","13,6"
16,Aegean,conservative_trade,False,"1,996","0,7","1,2","0,9","1,1","0,9","1,1","1,5","1,2","0,9","0,8","1,2","11,5"
17,Aegean,random_trade,False,"1,46","1,3","1,1","1,1","1,2",2,"0,7","0,7","1,7","1,6","1,4","1,9","14,7"
