Agent Class,Total Wealth,BaeticanPottery,GallicPottery,AdriaticPottery,IberianPottery,EMPottery,EgyptianPottery,ItalianPottery,NAPottery,WMPottery,TarrPottery,AegeanPottery
Adria,1.71499999999992,0.75,1.83,1.75,0.62,1.66,1.76,0.94,1.72,1.8,2.12,1.63
Aegean,2.3160999999999636,0.97,1.4,1.43,0.88,1.51,1.37,1.17,1.55,1.26,1.76,1.39
Baetica,1.9762999999999935,0.84,2.06,2.01,0.98,1.99,1.91,0.76,1.95,1.97,2.78,1.84
Eastern Mediterranean,1.9850749999999955,1.15,1.82,2.23,0.98,1.72,2.08,0.93,1.62,1.82,2.07,1.58
Egypt,2.176774999999988,1.02,1.87,2.03,1.07,1.63,1.86,1.19,1.75,1.9,2.15,1.87
Gallia,2.1453250000000037,1.21,1.78,1.9,1.07,1.38,1.92,1.12,1.33,1.42,1.99,1.44
Iberian Peninsula,2.192874999999968,0.93,2.05,2.36,0.91,1.72,2.11,0.79,1.75,1.62,2.12,1.63
Italy,2.226625000000005,0.98,2.58,2.4,0.9,1.91,2.48,0.7,2.06,1.83,2.54,1.9
North Africa,2.6936750000000274,0.95,2.3,2.27,0.97,1.31,2.04,0.99,1.44,1.41,2.14,1.54
Private,2.468409090909111,1.1181818181818182,2.0272727272727273,1.690909090909091,1.309090909090909,1.4454545454545455,1.7454545454545454,1.209090909090909,1.4454545454545455,1.209090909090909,1.7454545454545454,1.4727272727272727
Tarraconensis,3.1546750000000996,0.94,2.94,2.9,0.96,1.75,2.82,0.84,1.72,1.92,2.75,1.81
Western Mediterranean,4.195400000000006,0.71,4.59,4.7,0.87,1.79,4.99,0.91,1.93,1.75,3.16,1.75
