Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,GallicPottery,AdriaticPottery,IberianPottery,EMPottery,EgyptianPottery,ItalianPottery,NAPottery,WMPottery,TarrPottery,AegeanPottery
1,Adria,aggressive_trade,False,1.4699999999996147,0.7,1.5,1.6,0.4,2.2,2.0,0.7,1.9,3.2,3.5,2.1
2,Adria,random_trade,False,1.1799999999999353,0.4,1.5,1.8,0.1,0.9,1.2,1.8,1.8,1.1,1.2,1.0
3,Adria,random_trade,False,3.170000000000024,1.2,1.6,1.2,0.4,1.3,1.5,0.8,1.7,1.5,0.9,2.1
4,Adria,conservative_trade,False,1.4499999999999944,1.4,1.4,1.0,1.1,1.3,1.6,1.3,0.6,1.0,0.8,0.5
5,Adria,aggressive_trade,False,2.359999999999867,1.3,1.7,1.8,1.1,2.0,1.9,0.8,2.7,1.6,2.5,2.0
6,Adria,random_trade,False,1.1100000000000136,0.6,1.5,1.7,0.7,1.7,1.4,1.0,1.5,1.2,2.1,1.1
7,Adria,aggressive_trade,False,1.809999999999627,0.4,2.1,2.4,0.2,2.4,3.4,0.5,1.9,2.0,3.8,2.2
8,Adria,random_trade,False,1.5000000000000333,0.4,1.8,1.0,0.9,1.4,1.3,1.1,1.3,1.5,2.0,0.9
9,Adria,aggressive_trade,False,1.260000000000057,0.3,3.4,2.5,0.7,2.1,2.2,0.7,1.8,3.3,3.5,3.2
10,Adria,random_trade,False,1.8400000000000325,0.8,1.8,2.5,0.6,1.3,1.1,0.7,2.0,1.6,0.9,1.2
11,Private,random_trade,False,1.8699999999999677,1.2,2.4,1.5,1.0,1.1,1.5,1.6,1.6,1.2,2.4,1.8
12,Aegean,conservative_trade,False,2.5960000000000134,0.9,0.9,0.6,0.6,0.9,1.1,1.8,0.8,2.0,0.5,1.0
13,Aegean,conservative_trade,False,3.021249999999985,1.1,0.9,1.1,0.8,1.9,1.0,1.1,0.5,1.1,1.2,1.3
14,Aegean,conservative_trade,False,2.0489999999999635,1.0,0.7,0.3,1.3,1.3,0.7,1.4,1.6,1.0,1.1,0.9
15,Aegean,conservative_trade,False,3.1540000000000794,1.2,0.8,1.8,1.3,0.8,1.3,0.9,0.7,0.6,1.2,1.1
