Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,GallicPottery,AdriaticPottery,IberianPottery,EMPottery,EgyptianPottery,ItalianPottery,NAPottery,WMPottery,TarrPottery,AegeanPottery,total_pottery
1,Adria,aggressive_trade,False,"1,47","0,7","1,5","1,6","0,4","2,2",2,"0,7","1,9","3,2","3,5","2,1","19,8"
2,Adria,random_trade,False,"1,18","0,4","1,5","1,8","0,1","0,9","1,2","1,8","1,8","1,1","1,2",1,"12,8"
3,Adria,random_trade,False,"3,17","1,2","1,6","1,2","0,4","1,3","1,5","0,8","1,7","1,5","0,9","2,1","14,2"
4,Adria,conservative_trade,False,"1,45","1,4","1,4",1,"1,1","1,3","1,6","1,3","0,6",1,"0,8","0,5",12
5,Adria,aggressive_trade,False,"2,36","1,3","1,7","1,8","1,1",2,"1,9","0,8","2,7","1,6","2,5",2,"19,4"
6,Adria,random_trade,False,"1,11","0,6","1,5","1,7","0,7","1,7","1,4",1,"1,5","1,2","2,1","1,1","14,5"
7,Adria,aggressive_trade,False,"1,81","0,4","2,1","2,4","0,2","2,4","3,4","0,5","1,9",2,"3,8","2,2","21,3"
8,Adria,random_trade,False,"1,5","0,4","1,8",1,"0,9","1,4","1,3","1,1","1,3","1,5",2,"0,9","13,6"
9,Adria,aggressive_trade,False,"1,26","0,3","3,4","2,5","0,7","2,1","2,2","0,7","1,8","3,3","3,5","3,2","23,7"
10,Adria,random_trade,False,"1,84","0,8","1,8","2,5","0,6","1,3","1,1","0,7",2,"1,6","0,9","1,2","14,5"
11,Private,random_trade,False,"1,87","1,2","2,4","1,5",1,"1,1","1,5","1,6","1,6","1,2","2,4","1,8","17,3"
12,Aegean,conservative_trade,False,"2,596","0,9","0,9","0,6","0,6","0,9","1,1","1,8","0,8",2,"0,5",1,"11,1"
13,Aegean,conservative_trade,False,"3,02125","1,1","0,9","1,1","0,8","1,9",1,"1,1","0,5","1,1","1,2","1,3",12
14,Aegean,conservative_trade,False,"2,049",1,"0,7","0,3","1,3","1,3","0,7","1,4","1,6",1,"1,1","0,9","11,3"
15,Aegean,conservative_trade,False,"3,154","1,2","0,8","1,8","1,3","0,8","1,3","0,9","0,7","0,6","1,2","1,1","11,7"
16,Aegean,random_trade,False,"1,76975","0,8","1,6","0,9","0,9",2,1,"0,8","1,8","1,1","1,2","1,8","13,9"
17,Aegean,conservative_trade,False,"2,48625","1,3","0,6","1,4","1,6","1,2","0,6","1,5","1,4","0,3","1,2","0,7","11,8"
18,Aegean,aggressive_trade,False,"1,68925","1,1","3,2","3,1","0,5","2,5","2,9",1,"3,1","1,7","4,2","1,7",25
19,Aegean,aggressive_trade,False,"2,7595","0,2","3,2","2,7","0,4",2,"2,6","0,6",3,"2,7","3,7","2,9",24
20,Aegean,random_trade,False,"2,47925",1,"1,2","1,8","0,6","1,6","1,7","1,3","1,5","0,9",2,"1,4",15
21,Aegean,conservative_trade,False,"1,15675","1,1","0,9","0,6","0,8","0,9","0,8","1,3","1,1","1,2","1,3","1,1","11,1"
