Agent Class,Total Wealth,IberianPottery,TarrPottery,AegeanPottery,WMPottery,ItalianPottery,EMPottery,EgyptianPottery,NAPottery,BaeticanPottery,AdriaticPottery,GallicPottery
Adria,1.7129999999999532,0.91,1.75,1.42,1.73,1.01,1.71,1.59,2.0,1.03,1.28,1.17
Aegean,2.039924999999989,1.09,1.52,1.26,1.29,1.23,1.23,1.12,1.35,1.2,1.25,1.18
Baetica,2.103024999999985,0.87,2.57,1.92,1.79,1.09,2.25,1.89,1.85,0.95,1.8,2.0
Eastern Mediterranean,2.3603999999999674,1.15,1.84,1.48,1.54,1.01,1.57,1.71,1.57,1.13,1.4,1.35
Egypt,1.9641249999999966,1.05,2.68,2.19,2.55,0.87,2.22,2.39,2.2,0.86,2.33,2.53
Gallia,2.4700750000000133,1.04,3.38,2.1,1.91,0.95,2.03,2.23,2.11,0.75,2.59,2.29
Iberian Peninsula,2.4445499999999574,1.14,1.93,1.56,1.66,0.94,1.3,1.74,1.45,1.17,1.56,1.85
Italy,2.050299999999911,0.95,3.18,2.18,2.0,0.92,2.12,2.99,1.82,1.01,3.18,3.09
North Africa,2.824250000000017,0.81,3.71,2.43,2.35,0.87,2.26,4.02,2.07,0.88,3.88,3.81
State,1.5527272727270849,0.7909090909090909,2.8636363636363638,1.6818181818181819,2.0272727272727273,0.8636363636363636,1.8909090909090909,3.5454545454545454,2.090909090909091,0.8090909090909091,3.6545454545454548,3.4363636363636365
Tarraconensis,2.8291999999999433,1.12,2.91,1.74,1.54,0.97,1.94,3.12,1.73,0.95,2.96,3.12
Western Mediterranean,3.6871750000000554,0.95,2.53,1.7,1.5,0.97,1.54,3.0,1.53,1.08,3.34,3.56
