Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,TarrPottery,AegeanPottery,WMPottery,ItalianPottery,EMPottery,EgyptianPottery,NAPottery,BaeticanPottery,AdriaticPottery,GallicPottery
1,Adria,random_trade,False,1.5400000000000855,1.0,1.3,1.1,1.6,1.0,1.2,1.5,1.2,1.1,1.5,1.3
2,Adria,aggressive_trade,False,1.4799999999995097,0.4,3.0,2.2,2.1,0.9,2.2,3.4,2.6,1.2,1.8,1.4
3,Adria,aggressive_trade,False,0.5199999999998808,0.9,3.0,1.9,1.9,1.0,2.3,1.9,3.2,0.9,1.6,2.0
4,Adria,conservative_trade,False,1.9500000000000288,1.2,0.7,0.8,1.6,0.9,1.1,1.1,1.5,0.9,0.9,0.9
5,Adria,conservative_trade,False,2.600000000000035,1.7,1.1,1.5,1.2,1.3,0.8,0.9,1.0,0.5,1.0,0.8
6,Adria,aggressive_trade,False,2.399999999999875,0.8,3.5,2.1,2.8,0.8,3.0,2.0,3.4,1.0,1.1,1.3
7,Adria,random_trade,False,1.3400000000000258,1.2,0.6,1.1,1.3,0.8,1.9,2.0,1.9,1.1,1.0,0.8
8,Adria,random_trade,False,2.2600000000000176,0.5,1.6,1.4,1.6,1.2,1.5,1.1,1.8,1.0,1.3,1.1
9,Adria,random_trade,False,1.860000000000041,0.7,1.2,0.8,1.1,0.5,1.4,1.0,1.7,1.5,1.6,1.0
10,Adria,random_trade,False,1.1800000000000332,0.7,1.5,1.3,2.1,1.7,1.7,1.0,1.7,1.1,1.0,1.1
11,State,random_trade,False,1.8300000000000274,1.1,1.3,2.0,2.1,1.1,1.6,1.5,1.6,0.4,1.0,1.7
12,Aegean,random_trade,False,1.6539999999999817,1.1,1.4,1.7,1.9,1.1,0.7,1.0,1.3,1.1,1.4,1.4
13,Aegean,conservative_trade,False,3.2750000000000035,1.1,1.0,1.0,0.5,1.2,1.1,1.1,0.9,1.1,1.5,0.9
14,Aegean,random_trade,False,1.8144999999999971,1.2,1.9,1.8,1.4,0.7,0.7,1.0,1.1,0.5,1.0,1.5
15,Aegean,conservative_trade,False,1.3485000000000082,0.9,1.1,0.7,0.9,0.8,1.2,0.5,1.3,1.9,1.1,0.8
16,Aegean,aggressive_trade,False,1.152499999999954,0.6,3.0,2.0,1.8,1.3,3.4,1.9,2.3,0.8,2.8,1.6
