Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,TarrPottery,AegeanPottery,WMPottery,ItalianPottery,EMPottery,EgyptianPottery,NAPottery,BaeticanPottery,AdriaticPottery,GallicPottery,total_pottery
1,Adria,random_trade,False,"1,54",1,"1,3","1,1","1,6",1,"1,2","1,5","1,2","1,1","1,5","1,3","13,8"
2,Adria,aggressive_trade,False,"1,48","0,4",3,"2,2","2,1","0,9","2,2","3,4","2,6","1,2","1,8","1,4","21,2"
3,Adria,aggressive_trade,False,"0,52","0,9",3,"1,9","1,9",1,"2,3","1,9","3,2","0,9","1,6",2,"20,6"
4,Adria,conservative_trade,False,"1,95","1,2","0,7","0,8","1,6","0,9","1,1","1,1","1,5","0,9","0,9","0,9","11,6"
5,Adria,conservative_trade,False,"2,6","1,7","1,1","1,5","1,2","1,3","0,8","0,9",1,"0,5",1,"0,8","11,8"
6,Adria,aggressive_trade,False,"2,4","0,8","3,5","2,1","2,8","0,8",3,2,"3,4",1,"1,1","1,3","21,8"
7,Adria,random_trade,False,"1,34","1,2","0,6","1,1","1,3","0,8","1,9",2,"1,9","1,1",1,"0,8","13,7"
8,Adria,random_trade,False,"2,26","0,5","1,6","1,4","1,6","1,2","1,5","1,1","1,8",1,"1,3","1,1","14,1"
9,Adria,random_trade,False,"1,86","0,7","1,2","0,8","1,1","0,5","1,4",1,"1,7","1,5","1,6",1,"12,5"
10,Adria,random_trade,False,"1,18","0,7","1,5","1,3","2,1","1,7","1,7",1,"1,7","1,1",1,"1,1","14,9"
11,State,random_trade,False,"1,83","1,1","1,3",2,"2,1","1,1","1,6","1,5","1,6","0,4",1,"1,7","15,4"
12,Aegean,random_trade,False,"1,654","1,1","1,4","1,7","1,9","1,1","0,7",1,"1,3","1,1","1,4","1,4","14,1"
13,Aegean,conservative_trade,False,"3,275","1,1",1,1,"0,5","1,2","1,1","1,1","0,9","1,1","1,5","0,9","11,4"
14,Aegean,random_trade,False,"1,8145","1,2","1,9","1,8","1,4","0,7","0,7",1,"1,1","0,5",1,"1,5","12,8"
15,Aegean,conservative_trade,False,"1,3485","0,9","1,1","0,7","0,9","0,8","1,2","0,5","1,3","1,9","1,1","0,8","11,2"
16,Aegean,aggressive_trade,False,"1,1525","0,6",3,2,"1,8","1,3","3,4","1,9","2,3","0,8","2,8","1,6","21,5"
17,Aegean,aggressive_trade,False,"1,19175",1,3,"1,7","2,2","1,8","1,8",2,"1,9","0,8","1,7","1,7","19,6"
18,Aegean,conservative_trade,False,"2,7735",1,"1,1","0,2","1,3","1,4","0,8","0,9","1,5","1,7","0,5","1,4","11,8"
19,Aegean,conservative_trade,False,"2,69425","0,6",1,"1,7","0,7","1,3","0,8","0,4",1,"1,5","1,4",1,"11,4"
20,Aegean,conservative_trade,False,"1,5725","1,4","0,8","1,1","1,1","1,5","0,5",1,"1,2","1,3","0,4","0,8","11,1"
21,Aegean,conservative_trade,False,"2,92275",2,"0,9","0,7","1,1","1,2","1,3","1,4",1,"1,3","0,7","0,7","12,3"
22,State,conservative_trade,False,"1,26","1,6","0,6","1,1","1,6","1,5","1,3","0,4",1,"0,9","1,2","0,9","12,1"
