Agent Class,Total Wealth,EMPottery,IberianPottery,AegeanPottery,BaeticanPottery,TarrPottery,WMPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,ItalianPottery
Adria,384.6189999999956,6.54,6.07,6.38,6.1,6.43,5.95,10.21,7.0,6.31,6.66,1.36
Aegean,612.8929999999896,5.4,5.12,5.17,4.88,5.34,5.04,7.91,5.25,5.24,5.07,0.66
Baetica,857.7790000000404,5.19,5.0,4.98,6.17,5.07,5.28,7.54,5.67,5.26,5.27,0.91
Eastern Mediterranean,301.036000000001,5.33,5.46,5.5,5.22,5.05,5.44,8.46,5.24,5.41,5.05,0.69
Egypt,525.550999999989,7.25,7.37,6.84,6.87,7.3,7.04,10.49,6.9,6.96,7.15,1.09
Gallia,553.1749999999938,7.88,7.75,8.8,8.16,7.55,8.23,11.59,7.83,8.01,8.03,1.36
Iberian Peninsula,513.2650000000185,5.45,5.6,5.21,5.54,5.77,5.32,8.04,5.18,5.89,5.23,0.95
Italy,324.1359999999952,7.47,6.68,7.31,7.34,7.47,7.26,10.87,7.31,7.78,7.68,1.16
North Africa,369.47400000000323,6.66,6.77,7.02,6.89,7.12,6.82,10.24,7.2,6.82,6.66,1.02
Tarraconensis,178.96600000000936,3.33,3.42,3.72,3.2,3.52,3.52,4.57,3.33,3.48,3.86,0.43
Western Mediterranean,582.4960000000095,5.83,5.13,5.44,5.24,5.58,6.2,7.55,5.66,5.42,5.64,0.82
