Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,AegeanPottery,BaeticanPottery,TarrPottery,WMPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,ItalianPottery,total_pottery
1,Adria,conservative_trade,False,"-0,85","1,8","1,8","1,9","0,9","1,5","1,8","4,1","1,7",2,2,"0,3","19,8"
2,Adria,aggressive_trade,False,"-0,775","11,5","10,75","12,5","9,75","14,25","12,25","8,75",11,"4,5","11,75","4,75","111,75"
2,Adria,aggressive_trade,True,"3032,7000000001","10,3333333333",18,"13,6666666667","12,8333333333","12,5","12,6666666667","17,8333333333",13,13,"14,6666666667","1,3333333333","139,8333333333"
3,Adria,aggressive_trade,False,"-0,725","10,75","9,25","8,75","8,25","10,25",11,11,"11,75","11,75",10,"4,25",107
3,Adria,aggressive_trade,True,"774,0999999999","14,8333333333","10,5","14,5","12,5","11,3333333333","8,6666666667",24,"13,8333333333","11,5","11,5",3,"136,1666666667"
4,Adria,random_trade,False,"-0,62",5,"3,5","3,9","3,5","2,7","3,4",4,"2,7","3,5","3,3",1,"36,5"
5,Adria,conservative_trade,False,"-0,68","1,1","1,3","1,4","1,9","1,4","1,9","4,5","2,5","1,6","1,2","0,2",19
6,Adria,random_trade,False,"-0,53","4,5","3,1","3,2","3,1",4,"2,2","4,4","3,8","3,8","3,3","1,1","36,5"
7,Adria,aggressive_trade,False,"-0,6666666667",8,12,"10,6666666667",9,"9,3333333333","10,3333333333","11,3333333333",13,"10,6666666667","14,3333333333","4,3333333333",113
7,Adria,aggressive_trade,True,"2004,7428571429","13,2857142857","10,1428571429","10,2857142857","12,8571428571","11,2857142857",11,"30,7142857143","13,7142857143",11,"11,5714285714","1,1428571429",137
8,Adria,random_trade,False,"-0,57","4,1",3,4,3,"3,3","2,6","5,5","3,5","3,4","4,2","0,7","37,3"
9,Adria,aggressive_trade,False,"-0,5333333334","10,1666666667","12,1666666667","9,1666666667","10,6666666667",12,10,"9,6666666667","13,1666666667","12,1666666667","10,8333333333","2,3333333333","112,3333333333"
9,Adria,aggressive_trade,True,"409,2",10,"8,25",12,"12,25","14,75",12,25,"12,75","12,75",13,"0,25",133
10,Adria,random_trade,False,"-0,52","3,1","1,6","3,3","3,2","3,5","3,9","5,9","4,1","4,3","4,1","0,5","37,5"
11,Aegean,random_trade,False,"-0,46","3,5","3,4","4,7","4,1","2,3","3,7","4,3","2,6","2,8","3,5","0,6","35,5"
12,Aegean,random_trade,False,"-0,55","3,8","3,2",4,"3,6","3,1","2,5","4,7","3,9","3,6","3,3","0,3",36
13,Aegean,aggressive_trade,False,"-0,9","11,7142857143","12,4285714286","10,7142857143","12,7142857143","13,1428571429","12,8571428571",11,10,"12,1428571429","13,1428571429","2,4285714286","122,2857142857"
13,Aegean,aggressive_trade,True,"11381,3666666663",13,20,"18,6666666667",11,"15,6666666667",13,19,"13,6666666667",10,"7,6666666667","0,3333333333",142
14,Aegean,conservative_trade,False,"-0,65","2,8",1,"1,8","1,3","1,6","1,5","2,9","2,3","1,3","1,2",0,"17,7"
15,Aegean,aggressive_trade,False,"-0,725","14,25","8,75",10,"10,25",13,"10,25","9,5","11,25","14,25","14,25","2,5","118,25"
15,Aegean,aggressive_trade,True,"4032,7166666667","12,8333333333","13,3333333333","13,3333333333","11,3333333333",12,"13,1666666667","21,6666666667","13,6666666667","12,5","13,1666666667",1,138
16,Aegean,conservative_trade,False,"-0,74","1,5","1,2","1,7","1,4","1,5","1,4","4,5","2,4","1,8","1,5",0,"18,9"
17,Aegean,aggressive_trade,False,"-0,4","12,6",11,11,"9,4",12,"10,6","10,8","11,6","11,4","12,4",2,"114,8"
17,Aegean,aggressive_trade,True,"601,2399999999","10,2","11,2","8,8","10,6","14,4","12,6",32,"13,6","14,4","10,4","2,2","140,4"
18,Aegean,conservative_trade,False,"-0,8","1,9","2,2","1,4","1,8","2,2","1,7","4,1","1,9",1,"1,3","0,1","19,6"
19,Aegean,conservative_trade,False,"-0,76",2,"1,4","1,7","1,2","1,5","1,3","4,4","1,6","2,3","1,8",0,"19,2"
20,Aegean,conservative_trade,False,"-0,65","1,6","1,5","1,4","2,3","1,7","1,8","2,6","1,4",2,"1,6","0,1",18
21,Baetica,random_trade,False,"-0,62","2,8","3,1",4,"4,1","2,4","3,3","2,6","4,8","2,6","4,4","0,7","34,8"
22,Baetica,aggressive_trade,False,"-0,5",10,7,13,18,9,4,4,6,11,9,5,96
22,Baetica,aggressive_trade,True,"3107,3000000001","12,5555555556","12,1111111111","10,7777777778","14,6666666667",11,14,"22,1111111111","15,1111111111","9,7777777778","12,3333333333","2,5555555556",137
23,Baetica,conservative_trade,False,"-0,71","1,8",1,"1,7","2,4",2,"1,7","3,4","1,9","1,4","1,3","0,5","19,1"
24,Baetica,aggressive_trade,False,"-0,8","9,6666666667","11,3333333333","8,3333333333",11,9,14,10,11,16,"9,3333333333","2,3333333333",112
24,Baetica,aggressive_trade,True,"4446,2571428575","13,1428571429","12,4285714286","9,5714285714","14,1428571429","15,7142857143","10,5714285714","23,2857142857","14,1428571429","13,5714285714",12,"0,5714285714","139,1428571429"
25,Baetica,conservative_trade,False,"-0,66","1,5","1,8","1,7","1,9","1,6","1,2","3,6","1,5","1,7",2,"0,1","18,6"
26,Baetica,random_trade,False,"-0,46","3,2","3,6","3,4","4,7","3,2","2,9","4,4","3,8","3,9","3,1","0,5","36,7"
27,Baetica,aggressive_trade,False,"-0,7666666667","10,5","9,1666666667",9,"14,5","9,6666666667","9,5","9,6666666667","7,6666666667","11,8333333333","9,5","2,3333333333","103,3333333333"
27,Baetica,aggressive_trade,True,"6685,3000000002","14,5",12,"14,75","12,5","13,5","14,25","13,25","13,25","12,75","16,25","2,25","139,25"
28,Baetica,conservative_trade,False,"-0,8","1,2","1,7","1,7","2,5","1,4","0,9","2,6","1,8","1,6","1,1","0,4","16,9"
29,Baetica,random_trade,False,"-0,57","3,3","2,9","3,2","2,8",3,"5,2","5,4","3,5","3,9","3,9","0,7","37,8"
30,Baetica,conservative_trade,False,"-0,71","1,6","1,9","2,6","1,4","1,4","1,6","2,7","2,1","1,1","1,5",0,"17,9"
31,Eastern Mediterranean,random_trade,False,"-0,67","4,7","3,3","4,5","2,5","2,9",2,"6,1","3,4","3,9","2,8","0,8","36,9"
32,Eastern Mediterranean,conservative_trade,False,"-0,77","1,5","1,4","1,8","1,6","1,6",2,"2,7","1,6","2,8","1,3",0,"18,3"
