Agent Class,Total Wealth,GallicPottery,NAPottery,TarrPottery,EgyptianPottery,EMPottery,BaeticanPottery,WMPottery,IberianPottery,AegeanPottery,AdriaticPottery,ItalianPottery
Adria,0.0,1.58,1.43,1.58,1.54,1.36,1.07,1.25,1.03,1.4,1.39,1.06
Aegean,657.86,5.04,4.09,6.74,5.24,4.56,1.08,4.29,1.06,4.05,5.37,0.86
Baetica,242.98,4.16,3.44,5.2,4.27,3.43,0.95,3.83,1.11,3.73,3.57,1.09
Eastern Mediterranean,327.0,2.79,2.61,3.54,2.82,2.6,1.02,2.55,0.88,2.62,2.91,0.99
Egypt,754.68,2.97,2.81,4.08,2.8,2.72,0.89,2.45,1.09,2.34,3.17,1.02
Gallia,631.04,4.49,3.59,5.25,4.26,3.67,1.09,4.02,0.95,3.81,4.29,0.96
Iberian Peninsula,429.77,4.14,3.54,5.64,4.17,3.38,0.87,3.39,0.88,3.36,4.4,1.08
Italy,778.48,4.22,4.61,5.68,4.37,4.03,1.09,4.39,1.01,4.18,4.56,1.05
North Africa,290.65,2.1,2.02,2.59,2.29,1.74,1.02,2.48,0.96,1.98,2.25,0.97
Tarraconensis,558.35,4.36,3.61,4.98,4.32,3.48,1.01,3.27,1.0,3.15,4.72,1.16
Western Mediterranean,682.42,3.78,2.86,4.16,3.74,2.69,1.01,2.85,1.17,2.85,3.51,0.88
