Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,NAPottery,TarrPottery,EgyptianPottery,EMPottery,BaeticanPottery,WMPottery,IberianPottery,AegeanPottery,AdriaticPottery,ItalianPottery
1,Adria,conservative_trade,False,0.0,2.0,0.6,1.4,0.9,1.9,1.1,0.6,1.3,1.0,1.0,1.3
2,Adria,conservative_trade,False,0.0,1.9,1.0,1.6,1.2,1.4,1.0,0.8,1.0,0.7,1.1,1.5
3,Adria,conservative_trade,False,0.0,1.5,1.1,0.9,1.4,1.4,0.7,0.4,0.6,1.6,1.1,1.7
4,Adria,conservative_trade,False,0.0,1.2,1.6,1.2,1.2,1.4,1.5,1.3,0.6,1.8,1.1,0.5
5,Adria,conservative_trade,False,0.0,0.8,1.6,1.6,1.0,0.8,0.9,1.1,0.8,1.4,1.6,0.9
6,Adria,random_trade,False,0.0,2.0,2.2,1.8,1.9,1.2,1.1,1.9,1.5,1.1,2.4,0.9
7,Adria,random_trade,False,0.0,1.8,1.7,2.1,2.6,1.9,1.2,1.7,1.2,2.1,1.3,1.0
8,Adria,conservative_trade,False,0.0,0.9,1.4,1.2,1.7,1.0,0.9,1.2,1.3,0.8,1.6,1.0
9,Adria,conservative_trade,False,0.0,1.8,1.0,1.2,1.4,0.9,1.5,0.8,1.2,1.6,0.6,1.1
10,Adria,random_trade,False,0.0,1.9,2.1,2.8,2.1,1.7,0.8,2.7,0.8,1.9,2.1,0.7
11,Aegean,aggressive_trade,False,0.0,4.875,6.5,10.625,5.625,5.75,1.375,7.0,1.75,7.125,5.0,0.5
11,Aegean,aggressive_trade,True,2378.5,12.5,9.5,9.5,17.5,6.0,2.0,8.5,1.0,8.5,8.5,1.0
12,Aegean,aggressive_trade,False,0.0,5.125,7.0,7.125,5.25,6.375,0.875,5.5,1.125,6.625,7.75,1.0
12,Aegean,aggressive_trade,True,4968.5,15.5,3.0,16.0,16.0,6.5,0.0,6.5,0.0,5.5,12.5,0.0
13,Aegean,conservative_trade,False,0.0,1.4,0.8,1.1,1.2,1.3,1.6,0.7,1.4,0.5,1.4,1.2
14,Aegean,aggressive_trade,False,0.0,4.5,5.25,7.375,5.0,7.0,1.5,5.875,1.0,5.75,3.5,0.75
