Agent Class,Total Wealth,GallicPottery,EgyptianPottery,IberianPottery,EMPottery,ItalianPottery,AegeanPottery,BaeticanPottery,AdriaticPottery,NAPottery,WMPottery,TarrPottery
Adria,836.46,5.1,5.83,5.42,6.09,5.53,5.88,5.76,5.4,5.21,5.7,5.47
Aegean,0.0,2.06,2.03,2.34,2.23,2.24,2.07,1.98,2.07,1.9,2.22,2.32
Baetica,703.65,4.29,4.47,4.5,4.31,4.58,3.95,4.54,4.58,4.51,4.63,4.87
Eastern Mediterranean,526.05,6.15,5.32,5.64,6.06,6.51,6.22,5.79,5.88,5.74,5.69,5.74
Egypt,329.57,3.46,3.17,3.39,3.41,2.93,3.84,3.21,3.08,3.38,3.1,3.65
Gallia,730.15,4.59,4.47,4.38,4.74,4.43,4.11,4.07,4.27,4.44,4.52,4.26
Iberian Peninsula,511.53,4.01,4.59,4.26,4.65,4.28,4.71,4.64,4.81,4.7,4.35,4.47
Italy,199.55,3.37,2.75,2.68,2.88,2.99,2.91,2.71,3.01,2.84,2.62,2.98
North Africa,774.09,4.71,4.86,4.57,4.48,4.3,4.59,4.73,4.78,4.85,4.6,4.58
Tarraconensis,271.28,2.61,2.77,2.58,2.72,2.4,2.46,2.52,2.65,2.62,2.54,2.44
Western Mediterranean,386.71,3.32,3.4,3.64,3.13,3.57,3.44,3.43,3.01,3.63,3.33,3.15
