Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,EgyptianPottery,IberianPottery,EMPottery,ItalianPottery,AegeanPottery,BaeticanPottery,AdriaticPottery,NAPottery,WMPottery,TarrPottery
1,Adria,random_trade,False,0.0,2.2,3.8,2.6,4.1,3.1,3.1,2.9,2.5,2.7,2.3,2.5
2,Adria,random_trade,False,0.0,2.0,2.5,2.7,3.6,3.4,2.6,2.3,2.1,3.1,2.7,3.2
3,Adria,random_trade,False,0.0,3.5,3.3,3.2,3.5,1.7,3.6,3.4,3.4,2.1,3.1,2.9
4,Adria,aggressive_trade,False,0.0,6.166666666666667,7.166666666666667,6.666666666666667,8.0,7.0,7.0,9.166666666666666,7.333333333333333,6.333333333333333,7.0,7.5
4,Adria,aggressive_trade,True,3584.0,8.0,10.5,9.0,10.25,10.75,13.75,9.25,6.75,6.5,10.0,9.5
5,Adria,random_trade,False,0.0,1.7,2.3,3.4,2.7,3.1,2.8,3.4,2.9,3.3,2.3,2.6
6,Adria,aggressive_trade,False,0.0,9.166666666666666,7.666666666666667,8.5,10.333333333333334,6.666666666666667,8.0,7.0,7.166666666666667,6.0,9.5,8.0
6,Adria,aggressive_trade,True,4261.25,7.75,8.5,10.25,9.25,9.75,9.75,6.5,10.75,11.25,8.0,9.0
7,Adria,aggressive_trade,False,0.0,6.0,6.833333333333333,6.5,7.5,7.333333333333333,8.166666666666666,6.5,7.833333333333333,6.833333333333333,10.0,7.166666666666667
7,Adria,aggressive_trade,True,3580.75,8.0,9.25,6.0,9.25,8.25,9.75,9.5,9.5,7.0,11.0,10.75
8,Adria,aggressive_trade,False,0.0,6.0,7.0,8.333333333333334,9.333333333333334,4.333333333333333,9.333333333333334,7.666666666666667,7.0,6.0,6.0,4.0
8,Adria,aggressive_trade,True,2401.4285714285716,10.285714285714286,9.571428571428571,8.428571428571429,8.857142857142858,8.714285714285714,9.428571428571429,9.571428571428571,7.428571428571429,9.428571428571429,8.571428571428571,7.571428571428571
9,Adria,random_trade,False,0.0,2.5,3.1,3.1,2.2,3.6,2.6,3.7,2.7,1.9,2.9,3.4
10,Adria,aggressive_trade,False,0.0,8.0,9.5,6.25,7.5,7.75,5.25,7.5,10.0,7.75,7.25,8.0
10,Adria,aggressive_trade,True,3522.0,7.666666666666667,10.666666666666666,8.666666666666666,9.666666666666666,9.666666666666666,9.0,10.333333333333334,8.166666666666666,10.166666666666666,9.166666666666666,8.5
11,Aegean,random_trade,False,0.0,2.0,2.9,3.4,3.4,2.7,3.3,2.9,2.6,2.7,3.2,3.3
12,Aegean,random_trade,False,0.0,3.5,3.1,2.2,3.1,3.3,2.4,2.5,2.7,2.6,3.4,3.4
13,Aegean,random_trade,False,0.0,2.6,2.7,3.7,2.8,3.5,3.8,3.1,3.2,2.1,2.7,3.3
14,Aegean,random_trade,False,0.0,2.7,2.7,4.2,2.5,2.0,2.5,2.7,2.7,2.6,2.8,3.4
15,Aegean,conservative_trade,False,0.0,1.8,1.3,1.5,1.3,1.2,1.6,1.7,1.9,1.5,2.2,1.9
16,Aegean,conservative_trade,False,0.0,1.2,1.0,1.1,1.9,2.1,2.1,1.1,1.3,2.2,1.5,1.4
17,Aegean,conservative_trade,False,0.0,2.0,1.5,1.8,1.0,2.6,1.4,0.8,1.6,1.5,1.5,1.7
18,Aegean,conservative_trade,False,0.0,1.4,1.3,2.5,1.7,2.1,1.6,1.0,1.8,1.0,1.9,1.4
19,Aegean,conservative_trade,False,0.0,1.9,2.3,1.7,2.3,1.6,0.6,1.8,1.3,1.3,1.6,1.7
20,Aegean,conservative_trade,False,0.0,1.5,1.5,1.3,2.3,1.3,1.4,2.2,1.6,1.5,1.4,1.7
21,Baetica,conservative_trade,False,0.0,2.1,1.3,2.0,2.0,1.6,1.6,1.4,1.7,1.0,1.4,1.5
22,Baetica,conservative_trade,False,0.0,0.9,0.8,2.4,1.1,1.9,1.4,0.9,1.7,2.2,1.7,2.5
23,Baetica,conservative_trade,False,0.0,2.1,1.7,1.1,1.6,2.1,1.5,1.4,1.7,1.3,1.1,1.7
24,Baetica,aggressive_trade,False,0.0,6.25,8.75,8.75,7.25,8.5,3.5,11.0,7.5,7.25,6.75,7.25
