Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,EgyptianPottery,IberianPottery,EMPottery,ItalianPottery,AegeanPottery,BaeticanPottery,AdriaticPottery,NAPottery,WMPottery,TarrPottery,total_wealth
1,Adria,random_trade,False,0,"2,2","3,8","2,6","4,1","3,1","3,1","2,9","2,5","2,7","2,3","2,5","31,8"
2,Adria,random_trade,False,0,2,"2,5","2,7","3,6","3,4","2,6","2,3","2,1","3,1","2,7","3,2","30,2"
3,Adria,random_trade,False,0,"3,5","3,3","3,2","3,5","1,7","3,6","3,4","3,4","2,1","3,1","2,9","33,7"
4,Adria,aggressive_trade,False,0,"6,1666666667","7,1666666667","6,6666666667",8,7,7,"9,1666666667","7,3333333333","6,3333333333",7,"7,5","79,3333333333"
4,Adria,aggressive_trade,True,3584,8,"10,5",9,"10,25","10,75","13,75","9,25","6,75","6,5",10,"9,5","104,25"
5,Adria,random_trade,False,0,"1,7","2,3","3,4","2,7","3,1","2,8","3,4","2,9","3,3","2,3","2,6","30,5"
6,Adria,aggressive_trade,False,0,"9,1666666667","7,6666666667","8,5","10,3333333333","6,6666666667",8,7,"7,1666666667",6,"9,5",8,88
6,Adria,aggressive_trade,True,"4261,25","7,75","8,5","10,25","9,25","9,75","9,75","6,5","10,75","11,25",8,9,"100,75"
7,Adria,aggressive_trade,False,0,6,"6,8333333333","6,5","7,5","7,3333333333","8,1666666667","6,5","7,8333333333","6,8333333333",10,"7,1666666667","80,6666666667"
7,Adria,aggressive_trade,True,"3580,75",8,"9,25",6,"9,25","8,25","9,75","9,5","9,5",7,11,"10,75","98,25"
8,Adria,aggressive_trade,False,0,6,7,"8,3333333333","9,3333333333","4,3333333333","9,3333333333","7,6666666667",7,6,6,4,75
8,Adria,aggressive_trade,True,"2401,4285714286","10,2857142857","9,5714285714","8,4285714286","8,8571428571","8,7142857143","9,4285714286","9,5714285714","7,4285714286","9,4285714286","8,5714285714","7,5714285714","97,8571428571"
9,Adria,random_trade,False,0,"2,5","3,1","3,1","2,2","3,6","2,6","3,7","2,7","1,9","2,9","3,4","31,7"
10,Adria,aggressive_trade,False,0,8,"9,5","6,25","7,5","7,75","5,25","7,5",10,"7,75","7,25",8,"84,75"
10,Adria,aggressive_trade,True,3522,"7,6666666667","10,6666666667","8,6666666667","9,6666666667","9,6666666667",9,"10,3333333333","8,1666666667","10,1666666667","9,1666666667","8,5","101,6666666667"
11,Aegean,random_trade,False,0,2,"2,9","3,4","3,4","2,7","3,3","2,9","2,6","2,7","3,2","3,3","32,4"
12,Aegean,random_trade,False,0,"3,5","3,1","2,2","3,1","3,3","2,4","2,5","2,7","2,6","3,4","3,4","32,2"
13,Aegean,random_trade,False,0,"2,6","2,7","3,7","2,8","3,5","3,8","3,1","3,2","2,1","2,7","3,3","33,5"
14,Aegean,random_trade,False,0,"2,7","2,7","4,2","2,5",2,"2,5","2,7","2,7","2,6","2,8","3,4","30,8"
15,Aegean,conservative_trade,False,0,"1,8","1,3","1,5","1,3","1,2","1,6","1,7","1,9","1,5","2,2","1,9","17,9"
16,Aegean,conservative_trade,False,0,"1,2",1,"1,1","1,9","2,1","2,1","1,1","1,3","2,2","1,5","1,4","16,9"
17,Aegean,conservative_trade,False,0,2,"1,5","1,8",1,"2,6","1,4","0,8","1,6","1,5","1,5","1,7","17,4"
18,Aegean,conservative_trade,False,0,"1,4","1,3","2,5","1,7","2,1","1,6",1,"1,8",1,"1,9","1,4","17,7"
19,Aegean,conservative_trade,False,0,"1,9","2,3","1,7","2,3","1,6","0,6","1,8","1,3","1,3","1,6","1,7","18,1"
20,Aegean,conservative_trade,False,0,"1,5","1,5","1,3","2,3","1,3","1,4","2,2","1,6","1,5","1,4","1,7","17,7"
21,Baetica,conservative_trade,False,0,"2,1","1,3",2,2,"1,6","1,6","1,4","1,7",1,"1,4","1,5","17,6"
22,Baetica,conservative_trade,False,0,"0,9","0,8","2,4","1,1","1,9","1,4","0,9","1,7","2,2","1,7","2,5","17,5"
23,Baetica,conservative_trade,False,0,"2,1","1,7","1,1","1,6","2,1","1,5","1,4","1,7","1,3","1,1","1,7","17,3"
24,Baetica,aggressive_trade,False,0,"6,25","8,75","8,75","7,25","8,5","3,5",11,"7,5","7,25","6,75","7,25","82,75"
24,Baetica,aggressive_trade,True,"2845,3333333333","8,1666666667","7,5","11,3333333333","8,3333333333","10,6666666667","6,1666666667",9,"8,5","9,1666666667",10,10,"98,8333333333"
25,Baetica,aggressive_trade,False,0,"4,3333333333","6,3333333333","6,3333333333",9,"5,6666666667",8,"8,6666666667","3,3333333333",6,"11,3333333333",10,79
25,Baetica,aggressive_trade,True,"1655,1428571429","9,4285714286",10,"7,7142857143","7,8571428571","7,2857142857","8,5714285714","8,2857142857",10,"8,8571428571","10,2857142857","9,5714285714","97,8571428571"
26,Baetica,conservative_trade,False,0,"1,8","1,5","1,7","1,8","0,9","1,3","2,4","1,3","1,8","1,7","1,5","17,7"
27,Baetica,aggressive_trade,False,0,1,8,5,11,6,5,0,4,5,9,4,58
27,Baetica,aggressive_trade,True,"2993,4444444445","6,7777777778","9,4444444444","9,3333333333","7,3333333333","8,8888888889","8,2222222222","9,5555555556","11,7777777778","9,4444444444","7,7777777778","10,8888888889","99,4444444444"
28,Baetica,aggressive_trade,False,0,"7,6","9,2","6,8",8,"7,4","8,4","7,4","5,2","7,4","6,4","7,6","81,4"
28,Baetica,aggressive_trade,True,"2953,2","10,4","10,8","7,2",9,"9,4","6,2","10,2","10,4",10,"9,8","8,4","101,8"
29,Baetica,random_trade,False,0,"3,5","2,6","2,9","2,9","4,1","3,3","2,7","2,3","2,7","3,7","3,6","34,3"
30,Baetica,conservative_trade,False,0,2,"0,6","1,4","1,4","1,6","1,7",1,"2,2",2,"1,4","1,1","16,4"
31,Eastern Mediterranean,aggressive_trade,False,0,9,"8,1666666667","7,5","8,6666666667","9,3333333333",9,"7,5","7,6666666667","8,1666666667","7,1666666667","7,1666666667","89,3333333333"
31,Eastern Mediterranean,aggressive_trade,True,"2008,75","10,75","8,5","8,5",8,10,10,"9,5","6,5","7,25","10,25","11,25","100,5"
32,Eastern Mediterranean,aggressive_trade,False,0,"7,25","8,5","4,5","7,75",10,9,"8,25","9,25","8,25",6,"11,25",90
32,Eastern Mediterranean,aggressive_trade,True,1794,"10,5","6,6666666667","8,1666666667","9,8333333333","13,1666666667","7,8333333333",10,"10,3333333333","7,1666666667","8,8333333333",7,"99,5"
33,Eastern Mediterranean,random_trade,False,0,"2,6","3,9","2,5","3,1","3,3",4,"3,1","2,7","3,3","3,2",3,"34,7"
34,Eastern Mediterranean,aggressive_trade,False,0,"8,5714285714","8,8571428571","6,1428571429","6,4285714286","8,5714285714","9,2857142857","7,1428571429",8,"8,1428571429","6,5714285714","4,5714285714","82,2857142857"
34,Eastern Mediterranean,aggressive_trade,True,1815,"10,6666666667","9,6666666667","7,6666666667","8,3333333333",8,9,"9,3333333333","10,3333333333","8,6666666667","8,3333333333","8,6666666667","98,6666666667"
35,Eastern Mediterranean,conservative_trade,False,0,"1,4","1,2","1,7","1,5","1,8","1,8","1,1","1,7","2,1","2,4","1,2","17,9"
36,Eastern Mediterranean,conservative_trade,False,0,"1,2","1,6","1,3","1,6","1,3","1,6",2,"1,5","1,4","1,8","1,7",17
37,Eastern Mediterranean,aggressive_trade,False,0,"7,75","7,25","6,75","8,75","7,25","6,75","7,25","8,75",9,"6,75","8,75",85
37,Eastern Mediterranean,aggressive_trade,True,"1814,8333333333","9,3333333333",6,"10,5","10,5","11,3333333333","8,8333333333","5,5","9,8333333333","9,6666666667",8,"7,1666666667","96,6666666667"
38,Eastern Mediterranean,aggressive_trade,False,0,"7,6","5,4","7,8","6,6","8,2",9,"5,2","8,2","6,8","6,2","7,2","78,2"
38,Eastern Mediterranean,aggressive_trade,True,"1762,8",10,"8,8","8,2","9,8","8,8","8,8","10,8","7,2","8,2","6,6","10,4","97,6"
39,Eastern Mediterranean,random_trade,False,0,"3,4","2,6","4,1","3,3","3,1","3,3","3,6","2,5","2,5","2,7","2,9",34
40,Eastern Mediterranean,aggressive_trade,False,0,"6,3333333333","5,1666666667","8,1666666667","7,3333333333","7,1666666667","6,5","8,5","6,5",7,8,"8,6666666667","79,3333333333"
40,Eastern Mediterranean,aggressive_trade,True,"2164,5","8,75",6,"9,25","10,75",8,"9,5","8,5",9,"8,25","12,25","8,75",99
41,Egypt,aggressive_trade,False,0,"7,2","7,2","6,2",8,"5,4","8,4","6,8","7,8","6,6","10,2","9,4","83,2"
41,Egypt,aggressive_trade,True,"2812,4","10,2","7,4","8,8","9,6","8,2","10,6","9,8",8,10,"7,2","8,4","98,2"
42,Egypt,random_trade,False,0,"3,4","2,6","2,5","2,8","2,1","3,3","2,9","2,9","3,3","1,9","2,8","30,5"
43,Egypt,conservative_trade,False,0,1,"2,1","2,3","1,7","1,6","1,9","1,1","1,3","1,4","1,5","1,3","17,2"
44,Egypt,conservative_trade,False,0,"0,9","1,4","1,6","1,9",2,2,"1,7","1,1","1,2","1,4","1,7","16,9"
45,Egypt,random_trade,False,0,"4,3","2,3","2,6","3,1","2,9","3,1","2,5","2,1","3,3",3,"4,2","33,4"
46,Egypt,random_trade,False,0,"2,5","2,3","3,6","3,4","2,9","2,9","3,2","2,2","2,6",3,"2,5","31,1"
47,Egypt,conservative_trade,False,0,1,"1,9","1,7","1,2",1,"1,7",2,"1,6","2,1","1,7","1,6","17,5"
48,Egypt,aggressive_trade,False,0,"7,75","8,25",9,"6,25","7,5","9,75","6,75","9,25","6,5","7,5","8,25","86,75"
48,Egypt,aggressive_trade,True,"3149,1666666667","10,5","7,5",9,"9,1666666667","5,5","12,3333333333","8,8333333333","8,3333333333","9,1666666667",7,"10,8333333333","98,1666666667"
49,Egypt,conservative_trade,False,0,"1,5","1,8",2,"2,4","1,8","1,8",1,"0,8","1,3","1,2","2,2","17,8"
50,Egypt,conservative_trade,False,0,"1,9","2,2","1,1","0,8","1,9","0,9","1,4","2,2","2,2","1,4","1,5","17,5"
51,Gallia,aggressive_trade,False,0,7,12,7,3,7,3,8,2,6,6,10,71
51,Gallia,aggressive_trade,True,"3120,4444444445","10,4444444444","8,6666666667","10,7777777778","11,3333333333","8,5555555556","7,7777777778","7,8888888889","9,7777777778","8,7777777778","8,3333333333","7,8888888889","100,2222222222"
52,Gallia,aggressive_trade,False,0,"7,5",7,"7,25","9,75",7,"7,25","8,5","6,25",8,9,"7,25","84,75"
52,Gallia,aggressive_trade,True,"3576,8333333333",9,"10,1666666667","9,5","7,6666666667","9,3333333333","6,5","7,6666666667","10,3333333333","7,5",9,"9,8333333333","96,5"
53,Gallia,aggressive_trade,False,0,16,12,9,10,5,9,7,2,4,7,5,86
