Agent Class,Total Wealth,IberianPottery,WMPottery,AegeanPottery,BaeticanPottery,TarrPottery,ItalianPottery,AdriaticPottery,EgyptianPottery,NAPottery,GallicPottery,EMPottery
Adria,1.515999999999911,0.8,1.51,1.91,0.87,2.44,1.06,1.73,1.73,1.78,1.67,1.7
Aegean,2.1658249999999293,1.04,1.88,1.7,0.95,2.46,1.01,1.92,1.7,2.29,2.03,1.82
Baetica,1.9981999999999147,1.07,1.8,1.77,1.03,2.24,0.9,1.94,2.03,2.05,2.09,2.08
Eastern Mediterranean,1.8982499999999534,0.91,1.47,1.77,0.99,2.47,0.94,1.83,2.0,1.95,1.74,1.59
Egypt,2.116175000000004,0.98,1.68,1.63,1.09,1.83,1.08,1.72,1.51,1.56,1.74,1.5
Gallia,2.5504999999999423,1.16,1.87,1.83,1.03,2.6,0.95,2.38,2.29,1.76,2.4,1.93
Iberian Peninsula,2.294074999999954,1.11,2.1,1.91,1.04,2.98,0.94,2.39,2.1,2.02,2.51,1.98
Italy,2.357274999999997,0.87,2.14,2.36,1.04,3.57,1.13,3.15,3.49,2.51,3.26,2.28
North Africa,3.230499999999913,0.81,1.91,1.8,0.91,2.92,1.01,3.64,3.34,1.78,3.46,1.93
Tarraconensis,3.468849999999916,1.07,2.02,2.07,0.91,3.01,0.89,3.05,3.12,1.88,3.19,2.07
Western Mediterranean,3.5304999999999027,1.08,1.81,1.56,0.86,2.97,0.94,3.76,3.77,1.8,3.93,1.88
