Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,WMPottery,AegeanPottery,BaeticanPottery,TarrPottery,ItalianPottery,AdriaticPottery,EgyptianPottery,NAPottery,GallicPottery,EMPottery
1,Adria,conservative_trade,False,1.3100000000000178,0.9,0.5,0.6,1.2,1.4,1.6,0.9,1.4,1.0,1.5,0.6
2,Adria,aggressive_trade,False,2.369999999999922,1.1,2.3,2.2,0.5,3.0,0.3,2.7,1.9,2.0,2.3,2.7
3,Adria,random_trade,False,1.2200000000000506,0.7,1.0,1.8,0.8,2.2,0.7,1.2,1.5,1.3,0.7,0.9
4,Adria,aggressive_trade,False,1.2399999999997473,0.4,1.5,2.2,1.1,2.5,1.0,2.3,2.3,2.2,2.3,2.6
5,Adria,aggressive_trade,False,1.9699999999997222,0.5,2.1,3.1,0.8,3.0,1.1,2.4,1.1,3.0,2.6,2.7
6,Adria,random_trade,False,1.1100000000000534,1.4,1.0,1.3,0.9,2.2,1.3,0.5,1.4,0.8,0.9,1.7
7,Adria,conservative_trade,False,2.3100000000000143,1.2,0.8,1.5,1.0,0.9,0.9,1.0,1.1,1.1,1.0,1.1
8,Adria,conservative_trade,False,1.550000000000022,0.8,0.5,1.7,0.7,1.2,1.4,0.7,1.0,1.3,0.9,0.9
9,Adria,aggressive_trade,False,1.0999999999999048,0.3,2.2,3.0,0.9,4.1,1.4,2.8,3.0,2.4,1.8,2.0
10,Adria,aggressive_trade,False,0.9799999999996543,0.7,3.2,1.7,0.8,3.9,0.9,2.8,2.6,2.7,2.7,1.8
11,Aegean,random_trade,False,1.381000000000013,0.9,1.1,1.6,1.3,1.6,1.0,0.7,1.3,1.6,1.8,1.1
12,Aegean,aggressive_trade,False,3.519249999999766,0.9,2.2,1.9,0.5,4.7,1.3,2.9,1.9,4.1,2.9,2.5
13,Aegean,aggressive_trade,False,1.857499999999891,1.4,2.2,2.5,1.6,3.4,0.6,1.3,1.7,2.5,1.8,2.8
14,Aegean,random_trade,False,1.57000000000002,0.9,1.0,1.1,0.5,2.1,1.3,2.1,0.4,2.3,1.3,1.1
15,Aegean,aggressive_trade,False,2.5784999999998597,0.9,2.7,1.8,0.5,2.8,0.6,3.2,3.7,2.8,3.3,2.4
16,Aegean,random_trade,False,1.7297500000000237,1.0,1.7,1.2,0.7,1.2,0.9,1.0,1.2,1.3,1.3,2.1
17,Aegean,aggressive_trade,False,2.0267499999996934,0.6,2.1,2.5,0.9,2.7,0.9,4.2,3.4,3.5,2.9,2.2
18,Aegean,conservative_trade,False,2.2475000000000613,1.4,0.8,1.0,1.3,0.7,1.5,1.1,0.9,1.3,0.8,0.7
19,Aegean,conservative_trade,False,2.721500000000021,1.2,1.2,0.9,1.1,0.6,1.8,0.8,0.8,0.7,1.2,1.0
20,Aegean,aggressive_trade,False,2.0264999999999445,1.2,3.8,2.5,1.1,4.8,0.2,1.9,1.7,2.8,3.0,2.3
21,Baetica,random_trade,False,1.3659999999999393,1.7,1.4,1.0,1.0,1.6,1.2,1.2,1.1,1.4,1.4,1.5
22,Baetica,random_trade,False,1.2209999999999759,1.2,1.0,1.2,1.0,2.2,0.9,1.4,1.6,2.2,1.7,1.2
23,Baetica,random_trade,False,1.3624999999999536,1.5,2.1,1.2,1.4,1.0,1.0,1.1,0.9,1.3,0.9,1.8
24,Baetica,random_trade,False,3.0784999999999534,1.4,1.2,1.4,1.2,0.7,1.0,1.0,2.0,1.2,1.0,2.1
25,Baetica,conservative_trade,False,2.7864999999999696,1.3,1.1,0.7,1.5,1.1,1.5,1.1,1.0,0.6,0.8,0.8
26,Baetica,aggressive_trade,False,1.9352499999998702,0.8,3.1,3.1,0.5,4.3,0.3,2.4,3.5,3.2,2.9,3.4
27,Baetica,aggressive_trade,False,2.2089999999998975,1.1,2.5,2.3,1.0,2.7,0.9,2.4,2.5,2.9,3.0,2.9
28,Baetica,aggressive_trade,False,1.3957499999996545,0.4,2.6,1.8,0.8,3.8,0.7,3.6,1.9,3.1,3.8,2.8
29,Baetica,random_trade,False,2.6259999999999812,0.5,1.1,1.9,1.4,1.6,0.9,1.7,1.7,1.9,2.6,0.8
30,Baetica,aggressive_trade,False,2.001499999999951,0.8,1.9,3.1,0.5,3.4,0.6,3.5,4.1,2.7,2.8,3.5
31,Eastern Mediterranean,random_trade,False,1.1615000000000022,1.1,1.5,1.3,0.8,1.5,1.0,1.1,1.4,1.9,0.9,1.2
32,Eastern Mediterranean,random_trade,False,1.8120000000000491,1.1,1.0,2.0,0.6,2.0,0.9,1.1,0.5,1.9,0.8,1.2
33,Eastern Mediterranean,conservative_trade,False,3.1864999999999943,1.4,0.5,1.2,1.2,0.6,1.4,0.9,1.1,1.2,1.5,1.0
34,Eastern Mediterranean,aggressive_trade,False,0.8337499999999111,0.4,2.5,2.0,1.0,4.6,1.2,4.5,3.8,3.2,2.0,2.8
35,Eastern Mediterranean,random_trade,False,1.6614999999999847,1.0,0.9,1.8,0.9,1.7,0.7,1.7,1.7,1.8,1.1,1.8
36,Eastern Mediterranean,aggressive_trade,False,2.1067499999998307,0.7,2.6,3.2,1.1,4.7,0.7,2.9,4.1,2.3,3.9,2.1
37,Eastern Mediterranean,aggressive_trade,False,3.846499999999763,0.6,2.0,2.1,0.7,5.3,0.6,2.7,3.9,2.9,4.2,2.2
38,Eastern Mediterranean,random_trade,False,1.0750000000000017,0.8,2.1,1.5,0.9,2.5,0.6,1.1,1.3,1.9,1.4,1.8
39,Eastern Mediterranean,conservative_trade,False,1.1384999999999983,1.0,0.8,0.7,1.3,0.9,1.3,1.3,1.3,1.2,0.9,1.0
40,Eastern Mediterranean,conservative_trade,False,2.160499999999998,1.0,0.8,1.9,1.4,0.9,1.0,1.0,0.9,1.2,0.7,0.8
41,Egypt,aggressive_trade,False,2.4337500000001326,0.5,2.8,2.4,0.8,4.1,0.9,3.4,3.2,2.4,4.1,2.7
42,Egypt,conservative_trade,False,2.51100000000001,1.1,2.0,2.4,1.0,0.6,0.8,0.9,0.3,0.4,0.9,0.9
43,Egypt,random_trade,False,2.553499999999975,1.1,1.4,1.4,1.0,1.4,1.6,2.1,0.6,1.7,0.9,1.5
44,Egypt,random_trade,False,1.322999999999951,1.0,1.1,1.8,0.8,1.1,0.9,1.2,1.7,2.0,1.3,0.9
45,Egypt,random_trade,False,2.1847500000000037,1.1,1.8,1.5,0.7,2.1,0.8,1.2,1.4,2.6,1.3,1.8
46,Egypt,aggressive_trade,False,2.2827500000000103,1.1,3.6,2.4,0.9,3.5,0.5,3.6,2.7,2.5,2.7,2.3
47,Egypt,random_trade,False,1.7952499999999525,1.1,1.3,1.6,1.5,1.4,1.6,0.8,1.6,1.3,1.7,1.5
48,Egypt,conservative_trade,False,2.264499999999973,1.2,1.2,1.0,1.5,1.0,1.4,1.5,0.6,0.4,1.4,0.6
49,Egypt,random_trade,False,1.7767500000000225,0.4,0.8,1.2,1.7,1.9,1.0,1.5,2.1,1.2,2.0,1.6
50,Egypt,conservative_trade,False,2.0365000000000135,1.2,0.8,0.6,1.0,1.2,1.3,1.0,0.9,1.1,1.1,1.2
51,Gallia,aggressive_trade,False,1.4967499999998708,0.9,3.0,2.4,0.9,3.8,0.5,4.4,3.5,2.2,3.9,2.3
52,Gallia,random_trade,False,0.6329999999999916,1.5,2.3,1.3,1.5,2.1,0.8,1.5,1.2,1.9,1.6,1.2
