Agent ID,Agent Class,Trade Behavior,Total Wealth,EgyptianPottery,AegeanPottery,WMPottery,EMPottery,ItalianPottery,NAPottery,IberianPottery,AdriaticPottery,TarrPottery,GallicPottery,BaeticanPottery
1,Adria,aggressive_trade,0.0,4.5,2.6,3.5,2.8,3.7,3.8,2.8,3.3,2.9,3.2,2.3
2,Adria,random_trade,0.0,2.0,1.5,1.7,2.8,1.9,1.5,2.0,1.6,3.2,2.1,2.1
3,Adria,aggressive_trade,0.0,4.1,4.0,3.2,3.3,3.2,2.2,2.3,2.7,3.8,4.0,3.8
4,Adria,conservative_trade,0.0,1.6,1.4,1.0,1.3,1.5,2.0,1.5,1.3,0.9,1.3,1.8
5,Adria,random_trade,0.0,1.7,1.9,3.0,2.2,2.4,2.8,2.5,2.4,2.7,1.9,2.2
6,Adria,aggressive_trade,0.0,4.5,3.8,4.0,3.3,3.1,3.9,3.5,3.5,4.3,3.7,3.4
7,Adria,conservative_trade,0.0,1.5,1.3,2.1,0.8,2.1,2.0,1.0,2.1,0.8,0.7,1.5
8,Adria,aggressive_trade,0.0,4.0,3.8,3.9,4.4,3.9,4.0,4.1,4.7,3.1,4.7,5.9
9,Adria,aggressive_trade,0.0,4.5,2.9,4.6,3.7,4.7,4.6,4.4,3.0,4.6,6.0,5.9
10,Adria,random_trade,0.0,2.1,2.9,2.7,3.7,2.7,2.3,2.4,1.8,1.6,2.7,2.5
11,Aegean,conservative_trade,0.0,1.4,1.0,1.6,1.8,1.6,1.4,1.9,1.6,1.1,0.9,1.4
12,Aegean,conservative_trade,0.0,1.2,0.8,1.5,1.5,1.5,2.2,1.1,1.5,1.6,1.8,1.1
13,Aegean,random_trade,0.0,2.6,2.1,2.0,2.6,0.9,1.6,2.0,2.6,3.0,2.2,2.4
14,Aegean,aggressive_trade,0.0,4.2,3.6,3.7,4.9,4.0,4.9,3.8,2.5,3.5,3.6,3.7
15,Aegean,aggressive_trade,0.0,3.6,4.8,3.1,5.5,4.2,4.3,4.3,4.9,2.8,4.3,4.6
16,Aegean,aggressive_trade,0.0,4.0,4.2,3.5,5.2,4.3,4.9,4.1,5.1,4.5,3.1,5.5
17,Aegean,conservative_trade,0.0,1.9,1.2,1.4,1.2,1.2,1.0,2.0,1.5,1.0,1.2,1.8
18,Aegean,conservative_trade,0.0,1.1,2.2,1.6,2.1,1.5,0.3,1.1,1.3,1.6,1.7,1.1
19,Aegean,random_trade,0.0,2.8,2.8,3.0,2.9,2.7,2.6,1.8,3.6,2.5,2.2,2.3
20,Aegean,aggressive_trade,0.0,5.0,4.6,3.7,4.6,4.5,5.5,4.0,5.9,5.1,4.2,4.6
21,Baetica,conservative_trade,0.0,2.2,2.1,1.8,1.5,0.8,1.5,1.7,1.0,0.9,1.3,0.6
22,Baetica,conservative_trade,0.0,1.0,1.6,1.2,1.5,1.4,1.8,1.3,1.1,1.7,1.8,1.2
23,Baetica,random_trade,0.0,1.9,2.8,2.4,1.3,2.7,2.4,2.0,2.3,2.3,1.8,2.3
24,Baetica,aggressive_trade,0.0,3.9,5.6,3.7,3.8,4.6,4.5,5.0,5.2,4.2,4.1,4.7
25,Baetica,random_trade,0.0,2.1,1.5,2.1,2.3,2.4,3.3,2.0,2.1,3.5,3.2,3.1
26,Baetica,conservative_trade,0.0,1.6,1.1,0.9,1.7,1.1,1.4,1.7,1.7,1.2,1.6,1.8
27,Baetica,random_trade,0.0,2.2,2.4,2.1,2.3,2.4,2.8,2.7,2.4,2.4,3.4,1.7
28,Baetica,conservative_trade,0.0,1.4,1.3,1.2,1.2,1.3,2.1,2.5,1.8,0.6,1.7,1.5
29,Baetica,conservative_trade,0.0,1.3,1.0,1.9,1.5,1.7,1.2,1.5,1.4,1.4,2.1,1.4
30,Baetica,conservative_trade,0.0,1.6,1.5,1.0,1.4,2.2,1.4,1.3,1.0,1.8,1.2,1.6
31,Eastern Mediterranean,random_trade,0.0,2.5,2.7,3.2,3.5,1.8,2.9,2.8,2.4,1.9,1.9,1.5
32,Eastern Mediterranean,random_trade,0.0,2.2,3.3,1.7,2.4,2.4,2.2,2.0,1.9,1.4,2.7,2.9
33,Eastern Mediterranean,random_trade,0.0,2.8,2.3,1.7,1.9,3.4,2.6,1.7,2.5,2.0,2.9,2.5
34,Eastern Mediterranean,random_trade,0.0,2.9,1.6,2.0,2.1,3.1,2.7,3.6,2.9,3.1,2.6,2.4
35,Eastern Mediterranean,random_trade,0.0,2.8,2.5,2.1,2.8,2.8,3.3,1.5,2.3,3.0,1.8,2.3
36,Eastern Mediterranean,aggressive_trade,0.0,4.7,2.7,5.3,5.4,4.7,3.8,5.0,5.2,5.7,4.6,4.4
37,Eastern Mediterranean,aggressive_trade,0.0,5.4,4.2,6.1,6.1,4.0,6.1,6.2,4.0,5.5,4.4,5.7
38,Eastern Mediterranean,random_trade,0.0,2.8,2.6,2.2,3.1,2.3,2.4,1.9,2.9,2.6,3.1,3.1
39,Eastern Mediterranean,conservative_trade,0.0,1.6,0.8,1.7,1.6,1.7,1.6,2.4,1.6,1.8,0.9,1.0
40,Eastern Mediterranean,conservative_trade,0.0,1.0,1.7,1.6,1.0,1.7,1.2,1.4,1.5,1.7,2.6,1.6
41,Egypt,random_trade,0.0,2.1,3.1,2.4,1.8,2.6,2.7,2.0,2.9,3.4,2.9,2.7
42,Egypt,random_trade,0.0,2.3,2.2,3.0,3.9,2.2,2.4,1.8,3.0,2.9,2.1,2.6
43,Egypt,random_trade,0.0,2.2,2.8,2.9,2.1,1.7,2.4,3.1,2.8,2.2,2.6,3.6
44,Egypt,aggressive_trade,0.0,5.0,4.5,6.1,5.7,5.0,5.4,3.6,4.1,5.0,6.8,5.1
45,Egypt,conservative_trade,0.0,1.1,1.9,1.2,1.4,1.6,1.2,1.8,1.8,2.4,1.2,1.6
46,Egypt,aggressive_trade,0.0,4.4,6.0,6.0,5.0,5.5,4.7,6.3,5.8,4.6,5.0,5.6
47,Egypt,aggressive_trade,0.0,7.1,5.6,5.8,5.1,5.0,6.1,5.0,6.5,7.8,6.3,5.0
48,Egypt,random_trade,0.0,2.1,2.3,2.0,2.3,3.4,2.7,3.3,2.2,3.2,2.9,2.9
49,Egypt,conservative_trade,0.0,1.1,1.2,1.7,1.7,1.3,1.3,1.5,2.0,1.4,1.9,1.6
50,Egypt,conservative_trade,0.0,1.8,2.2,1.3,1.2,2.1,1.7,1.9,0.6,1.6,1.7,1.1
51,Gallia,random_trade,0.0,2.1,2.1,2.8,2.7,2.7,2.7,3.1,2.5,2.5,3.3,2.2
52,Gallia,random_trade,0.0,1.7,2.9,1.5,2.0,3.0,2.7,2.4,2.4,2.3,3.5,2.1
53,Gallia,aggressive_trade,0.0,4.4,4.5,6.3,4.5,6.1,4.2,4.7,5.6,5.1,5.5,6.0
54,Gallia,aggressive_trade,0.0,5.8,6.6,5.8,4.8,5.5,5.7,6.5,5.8,4.4,7.1,5.6
55,Gallia,random_trade,0.0,2.8,3.6,3.1,2.6,3.3,2.6,2.4,3.4,2.9,1.6,3.6
56,Gallia,random_trade,0.0,2.5,2.6,3.0,1.3,3.8,1.6,3.6,2.3,2.5,2.3,3.8
57,Gallia,aggressive_trade,0.0,5.4,7.1,5.7,7.0,6.0,6.0,5.7,5.8,6.8,6.4,6.0
58,Gallia,aggressive_trade,0.0,6.3,7.1,6.7,7.0,7.0,6.9,6.7,6.0,7.2,5.2,5.6
59,Gallia,aggressive_trade,0.0,6.9,5.9,7.6,7.3,7.8,7.7,7.0,8.5,6.2,5.7,7.2
60,Gallia,random_trade,0.0,2.9,3.5,2.9,2.3,3.4,2.9,3.3,2.0,2.6,3.0,2.3
61,Italy,random_trade,0.0,3.1,3.3,3.4,2.8,1.1,2.7,2.5,2.5,3.2,2.4,2.9
62,Italy,random_trade,0.0,3.6,2.4,2.0,2.5,2.9,4.5,2.5,2.3,2.1,2.6,2.4
63,Italy,random_trade,0.0,2.5,3.2,1.9,3.0,2.3,2.3,2.1,4.1,2.5,2.7,3.9
64,Italy,random_trade,0.0,3.0,2.5,2.3,3.3,1.7,3.8,3.0,3.9,2.2,1.9,3.0
65,Italy,aggressive_trade,0.0,7.1,7.3,5.5,7.4,6.7,5.9,4.4,6.8,6.8,7.3,8.0
66,Italy,conservative_trade,0.0,1.3,2.1,1.4,1.5,1.3,1.7,1.6,1.7,1.5,2.2,1.6
67,Italy,random_trade,0.0,3.3,2.7,2.8,3.9,3.2,1.9,3.8,2.0,3.5,2.7,3.2
68,Italy,conservative_trade,0.0,1.2,2.2,1.5,1.5,1.7,1.5,1.6,1.8,0.9,2.3,1.3
69,Italy,random_trade,0.0,4.2,3.8,2.4,3.1,3.2,2.9,1.5,3.7,2.7,3.0,3.6
70,Italy,aggressive_trade,0.0,7.3,8.7,6.7,9.7,7.7,5.3,6.4,6.9,5.6,5.3,6.0
71,Iberian Peninsula,random_trade,0.0,3.0,2.7,4.7,2.5,2.6,3.0,2.5,2.3,2.4,1.7,2.7
72,Iberian Peninsula,aggressive_trade,0.0,5.9,6.6,7.2,7.6,7.9,7.6,5.2,7.0,6.7,7.3,7.3
73,Iberian Peninsula,conservative_trade,0.0,1.7,2.0,1.7,1.0,1.7,1.5,2.2,1.3,1.4,1.5,2.2
74,Iberian Peninsula,conservative_trade,0.0,2.4,1.4,1.3,2.0,1.8,1.4,1.6,1.7,1.5,0.9,1.4
75,Iberian Peninsula,aggressive_trade,0.0,7.3,7.0,7.9,8.0,6.4,7.3,7.7,8.6,6.4,6.3,6.0
76,Iberian Peninsula,conservative_trade,0.0,1.5,1.4,1.8,1.7,1.7,1.6,1.9,1.1,2.0,1.7,1.7
77,Iberian Peninsula,random_trade,0.0,3.7,3.0,2.2,3.2,3.6,3.2,2.2,4.2,3.3,2.3,3.0
78,Iberian Peninsula,random_trade,0.0,3.0,3.3,4.1,3.0,3.0,2.3,3.4,2.7,3.2,2.2,1.9
79,Iberian Peninsula,aggressive_trade,0.0,7.1,7.5,7.0,7.7,7.3,8.9,7.3,7.1,8.7,7.4,6.9
80,Iberian Peninsula,aggressive_trade,0.0,8.5,7.5,6.3,7.5,10.3,7.0,6.7,10.6,8.9,7.2,8.4
81,North Africa,random_trade,0.0,2.6,3.4,2.5,2.0,2.8,3.2,2.9,3.9,1.9,2.9,2.3
82,North Africa,aggressive_trade,0.0,7.9,6.6,9.4,6.8,7.7,5.9,8.1,9.4,7.3,7.0,8.3
83,North Africa,random_trade,0.0,3.2,3.2,3.2,3.2,2.0,3.1,1.6,2.9,2.7,3.2,2.6
84,North Africa,conservative_trade,0.0,1.2,1.8,1.2,1.7,1.6,1.6,1.0,2.6,1.5,1.4,1.5
85,North Africa,random_trade,0.0,2.5,2.8,2.0,4.3,3.1,2.5,3.2,2.6,3.4,2.8,2.7
