Agent ID,Agent Class,Trade Behavior,Total Wealth,EgyptianPottery,AegeanPottery,WMPottery,EMPottery,ItalianPottery,NAPottery,IberianPottery,AdriaticPottery,TarrPottery,GallicPottery,BaeticanPottery,total_pottery
1,Adria,aggressive_trade,0,"4,5","2,6","3,5","2,8","3,7","3,8","2,8","3,3","2,9","3,2","2,3","35,4"
2,Adria,random_trade,0,2,"1,5","1,7","2,8","1,9","1,5",2,"1,6","3,2","2,1","2,1","22,4"
3,Adria,aggressive_trade,0,"4,1",4,"3,2","3,3","3,2","2,2","2,3","2,7","3,8",4,"3,8","36,6"
4,Adria,conservative_trade,0,"1,6","1,4",1,"1,3","1,5",2,"1,5","1,3","0,9","1,3","1,8","15,6"
5,Adria,random_trade,0,"1,7","1,9",3,"2,2","2,4","2,8","2,5","2,4","2,7","1,9","2,2","25,7"
6,Adria,aggressive_trade,0,"4,5","3,8",4,"3,3","3,1","3,9","3,5","3,5","4,3","3,7","3,4",41
7,Adria,conservative_trade,0,"1,5","1,3","2,1","0,8","2,1",2,1,"2,1","0,8","0,7","1,5","15,9"
8,Adria,aggressive_trade,0,4,"3,8","3,9","4,4","3,9",4,"4,1","4,7","3,1","4,7","5,9","46,5"
9,Adria,aggressive_trade,0,"4,5","2,9","4,6","3,7","4,7","4,6","4,4",3,"4,6",6,"5,9","48,9"
10,Adria,random_trade,0,"2,1","2,9","2,7","3,7","2,7","2,3","2,4","1,8","1,6","2,7","2,5","27,4"
11,Aegean,conservative_trade,0,"1,4",1,"1,6","1,8","1,6","1,4","1,9","1,6","1,1","0,9","1,4","15,7"
12,Aegean,conservative_trade,0,"1,2","0,8","1,5","1,5","1,5","2,2","1,1","1,5","1,6","1,8","1,1","15,8"
13,Aegean,random_trade,0,"2,6","2,1",2,"2,6","0,9","1,6",2,"2,6",3,"2,2","2,4",24
14,Aegean,aggressive_trade,0,"4,2","3,6","3,7","4,9",4,"4,9","3,8","2,5","3,5","3,6","3,7","42,4"
15,Aegean,aggressive_trade,0,"3,6","4,8","3,1","5,5","4,2","4,3","4,3","4,9","2,8","4,3","4,6","46,4"
16,Aegean,aggressive_trade,0,4,"4,2","3,5","5,2","4,3","4,9","4,1","5,1","4,5","3,1","5,5","48,4"
