Agent Class,Total Wealth,EMPottery,IberianPottery,NAPottery,TarrPottery,WMPottery,ItalianPottery,AegeanPottery,EgyptianPottery,AdriaticPottery,GallicPottery,BaeticanPottery
Adria,0.0,1.98,1.96,1.86,1.91,1.92,2.09,2.0,1.91,2.06,1.96,1.97
Aegean,0.0,3.05,2.75,3.03,2.68,3.01,2.92,2.96,2.63,3.06,3.01,2.77
Baetica,0.0,2.4,2.5,2.78,2.85,2.75,2.64,2.64,2.62,2.57,2.58,2.5
Eastern Mediterranean,0.0,3.11,3.18,3.2,3.38,3.61,3.32,3.07,3.29,3.47,3.43,3.61
Egypt,0.0,2.19,2.32,2.04,1.94,2.14,2.26,2.28,2.19,2.09,2.52,2.14
Gallia,0.0,2.54,2.5,2.73,2.59,2.69,2.46,2.45,2.43,2.36,2.1,2.52
Iberian Peninsula,0.0,4.6,4.66,4.42,4.63,4.66,4.68,4.22,4.42,4.75,4.67,4.7
Italy,0.0,3.68,3.77,3.45,3.41,3.4,3.28,3.55,3.6,3.49,3.32,3.42
North Africa,0.0,4.99,4.74,4.94,4.62,4.4,4.36,4.76,4.83,4.67,4.64,4.5
Tarraconensis,932.9,5.0,5.15,5.2,4.95,5.36,4.92,5.25,4.74,5.2,5.02,5.31
Western Mediterranean,4471.08,6.18,6.12,5.75,6.4,5.97,6.55,6.09,6.88,6.12,6.34,5.85
