Agent ID,Agent Class,Trade Behavior,Total Wealth,EMPottery,IberianPottery,NAPottery,TarrPottery,WMPottery,ItalianPottery,AegeanPottery,EgyptianPottery,AdriaticPottery,GallicPottery,BaeticanPottery,total_pottery
1,Adria,conservative_trade,0,"1,1","1,7","1,6","0,9","0,5","1,7","2,2","1,2","1,1","1,9","1,1",15
2,Adria,conservative_trade,0,"1,9","1,1","0,9","1,1",1,"1,5","1,4","1,8","2,3","1,3","1,1","15,4"
3,Adria,conservative_trade,0,"1,7","1,6","1,3","0,7","2,1","1,9","0,9",1,"0,9","1,4","1,4","14,9"
4,Adria,conservative_trade,0,"1,3","1,7","1,5","1,6","1,1","1,4","1,1","1,7","1,1","1,1","1,2","14,8"
5,Adria,aggressive_trade,0,"2,3",3,"2,5","3,3","2,8","1,8","2,4","3,3","3,4","3,1","3,3","31,2"
6,Adria,aggressive_trade,0,"3,4","2,8","2,8","3,4","3,8","3,7","3,6","3,2","2,9","3,6","3,5","36,7"
7,Adria,aggressive_trade,0,"4,2","3,7","4,2","3,3","3,4","3,4","4,2","2,9",4,"4,7","3,2","41,2"
8,Adria,conservative_trade,0,"1,9","1,3","0,6","1,8","1,5","2,1","1,7","1,5","1,5","0,8","1,3",16
9,Adria,conservative_trade,0,"0,4","0,9","2,1","1,8","1,5","1,9","1,2","1,2","1,7",1,"1,9","15,6"
10,Adria,conservative_trade,0,"1,6","1,8","1,1","1,2","1,5","1,5","1,3","1,3","1,7","0,7","1,7","15,4"
11,Aegean,conservative_trade,0,"0,8",1,"1,2","1,4","1,7","1,1","1,2","0,8","1,2","1,9","1,8","14,1"
12,Aegean,random_trade,0,"2,8","2,2","1,8","1,8","1,5",3,"2,2","1,5","2,4","2,3","2,2","23,7"
13,Aegean,conservative_trade,0,1,"0,9","1,3","1,8","2,4","1,4","1,4","1,1","1,6","1,3","1,3","15,5"
14,Aegean,aggressive_trade,0,"4,6","3,6","2,8","3,3",4,"2,2","4,4","3,3","4,4","4,1","2,5","39,2"
15,Aegean,aggressive_trade,0,"4,7","3,3","4,3","2,6","4,4","3,8",4,"3,6","3,9","5,1","3,1","42,8"
16,Aegean,aggressive_trade,0,"3,6","4,7",4,"4,2","3,8","5,5","4,2",3,"5,4","5,1","4,5",48
17,Aegean,aggressive_trade,0,5,"3,8","5,7","3,6","3,9","5,2","4,7","5,3","4,6","3,4","4,9","50,1"
18,Aegean,conservative_trade,0,"1,3","1,3","2,1","1,6","1,1","1,9","1,8","0,5","1,2","1,3","1,4","15,5"
19,Aegean,aggressive_trade,0,"5,4","4,5","5,7","5,4","5,7","3,8","4,7",6,"4,4","4,4","3,9","53,9"
20,Aegean,conservative_trade,0,"1,3","2,2","1,4","1,1","1,6","1,3",1,"1,2","1,5","1,2","2,1","15,9"
21,Baetica,conservative_trade,0,"1,2","1,6","0,8",1,"1,5",1,"1,5","2,4","1,2",2,"1,7","15,9"
22,Baetica,conservative_trade,0,"1,1","1,5","0,9","1,1","1,9","1,7","1,4","1,8","1,4","1,2","1,3","15,3"
23,Baetica,conservative_trade,0,"1,9","1,5","1,6","1,9","1,7","0,7","1,3","1,6","0,7","1,4","1,4","15,7"
24,Baetica,conservative_trade,0,"0,8","1,3","1,2","1,8","1,5","1,3","1,4","1,5","1,3","1,9","1,2","15,2"
25,Baetica,conservative_trade,0,"1,5","1,2","1,7","1,1","2,3","1,5","1,4","1,6","1,4","1,2","1,4","16,3"
26,Baetica,random_trade,0,"1,6","1,8","2,4",2,"2,5","2,7","1,5","1,9","2,7","2,4","2,1","23,6"
27,Baetica,random_trade,0,"2,4","1,7","2,7","2,7","2,2","2,2","2,9","2,8",2,"2,1","1,1","24,8"
28,Baetica,aggressive_trade,0,"4,4","4,6","4,6","4,8","5,1","4,5","5,5","4,3","4,4","3,8","4,2","50,2"
29,Baetica,aggressive_trade,0,"4,1","4,4","5,3","5,9","4,3","4,7","4,7","4,1","4,9","5,2","4,8","52,4"
30,Baetica,aggressive_trade,0,5,"5,4","6,6","6,2","4,5","6,1","4,8","4,2","5,7","4,6","5,8","58,9"
31,Eastern Mediterranean,aggressive_trade,0,"4,6","4,5",4,"4,8","5,3","4,9","4,3","5,4","5,4","4,9","5,5","53,6"
32,Eastern Mediterranean,conservative_trade,0,"1,7","1,2",1,"1,9","1,8","1,5","1,7","1,3","1,2","0,8","2,1","16,2"
33,Eastern Mediterranean,aggressive_trade,0,"5,3","4,4","5,5","5,5","6,2","6,3","4,7","5,5","5,2","4,8","6,1","59,5"
34,Eastern Mediterranean,conservative_trade,0,"1,5","1,4","2,1","1,1",1,"1,3","1,3","1,1","1,5","2,6","1,2","16,1"
35,Eastern Mediterranean,random_trade,0,"1,4","2,7","2,1","1,8","2,3","2,3","2,2","2,5","2,8","2,1","2,3","24,5"
36,Eastern Mediterranean,conservative_trade,0,"1,2","1,8",1,"1,2","1,4","1,8","1,3","2,1","1,6","1,4","1,8","16,6"
37,Eastern Mediterranean,aggressive_trade,0,"6,1","5,4","6,2","6,3","5,7","6,2","4,1","6,8",5,"6,2","5,7","63,7"
38,Eastern Mediterranean,random_trade,0,"2,4","3,3","2,7","3,1","3,5","1,6","3,4","2,1","3,4","3,6","2,8","31,9"
39,Eastern Mediterranean,conservative_trade,0,"0,5","1,6","1,7",1,2,"1,8","2,2","1,4","1,9","1,7","1,8","17,6"
40,Eastern Mediterranean,aggressive_trade,0,"6,4","5,5","5,7","7,1","6,9","5,5","5,5","4,7","6,7","6,2","6,8",67
41,Egypt,random_trade,0,"2,4",3,"2,1","2,4","3,1","2,1","2,9","2,9","2,5",3,"2,5","28,9"
42,Egypt,aggressive_trade,0,"5,8","4,8","5,4","5,2","5,9","5,6","4,5",6,"5,3","6,9","6,8","62,2"
43,Egypt,random_trade,0,"2,5","2,2","2,5","2,6","2,6","3,1","2,9","2,1","2,9","3,5","1,7","28,6"
44,Egypt,conservative_trade,0,"1,5","1,7",2,"1,4","1,6","1,5","1,6","1,6","1,4","1,8","1,5","17,6"
45,Egypt,conservative_trade,0,"1,8","2,3","1,5","1,1","1,9","1,7","1,1","1,3",1,"1,7","1,7","17,1"
46,Egypt,conservative_trade,0,"1,1","1,9","1,7","1,3","1,4","1,7","2,4","1,4","1,8","0,9","1,4",17
47,Egypt,conservative_trade,0,"1,6","2,4","1,4","1,5","0,9","1,6","2,2","2,3","1,3","0,9","1,1","17,2"
48,Egypt,conservative_trade,0,2,"1,4","0,9","1,4","0,8","2,2","1,5","1,7","1,9","2,4","1,3","17,5"
49,Egypt,conservative_trade,0,"2,1","1,6","1,1","1,3","1,7","1,7","1,4","1,4","1,9","2,4","1,6","18,2"
50,Egypt,conservative_trade,0,"1,1","1,9","1,8","1,2","1,5","1,4","2,3","1,2","0,9","1,7","1,8","16,8"
51,Gallia,random_trade,0,"2,6",2,"2,7","2,9","2,4","3,5","2,8",3,"2,1","3,1","2,5","29,6"
52,Gallia,conservative_trade,0,"1,7","1,7","1,3","1,8","1,4","1,7","1,5","1,6","1,5","1,5","0,8","16,5"
53,Gallia,conservative_trade,0,"1,4",2,"1,3","2,2","1,7","1,2","1,2",2,"1,4","1,6","1,8","17,8"
54,Gallia,conservative_trade,0,"1,3","2,1","2,4","1,3","1,8","1,2","1,5","1,2","1,8","1,5","1,7","17,8"
55,Gallia,random_trade,0,"3,5","2,3","3,1","3,3","3,1","2,8","2,3","2,4","2,3","1,7","2,6","29,4"
56,Gallia,conservative_trade,0,"1,5","1,5","2,4","1,5","1,6","1,3","2,1","1,6","1,6","1,1","0,9","17,1"
57,Gallia,aggressive_trade,0,"6,1","6,3","7,2","5,3","5,4","6,3","6,7","5,6","5,1","4,6","6,9","65,5"
58,Gallia,conservative_trade,0,"1,9","1,3","1,3","2,2","1,8","1,3","1,6","1,2","1,7","1,1",1,"16,4"
59,Gallia,random_trade,0,"3,1","2,2","3,4","2,6","4,3","2,7","1,8","3,1","3,3","2,1","2,9","31,5"
60,Gallia,random_trade,0,"2,3","3,6","2,2","2,8","3,4","2,6",3,"2,6","2,8","2,7","4,1","32,1"
61,Italy,conservative_trade,0,"2,6","1,6","1,4","0,7","1,2","2,1","1,4","1,1","1,8","1,6","1,2","16,7"
62,Italy,random_trade,0,"3,1",4,"2,5","1,8","2,8","2,5","2,3","2,7","2,9","2,3","2,8","29,7"
63,Italy,random_trade,0,"2,7","2,8","2,7","3,6","1,5","2,9","3,5",3,"3,1","2,2","2,4","30,4"
64,Italy,random_trade,0,"2,7","2,9","2,9",3,"2,6","2,2",3,"2,8","3,4","2,6","2,8","30,9"
65,Italy,random_trade,0,"3,4","3,4","2,9","2,4",2,2,"3,5","2,5","2,1","2,2","3,1","29,5"
66,Italy,conservative_trade,0,"1,6","1,1","1,7",2,"2,4","1,6","1,6",1,"1,8","1,6","1,8","18,2"
67,Italy,aggressive_trade,0,"6,3","4,1","6,7",6,"6,3","6,6","5,5","6,9","6,1","6,2","5,8","66,5"
68,Italy,conservative_trade,0,"1,6","2,3","1,9","1,9","1,4","1,3","1,5","1,5",1,"1,6","1,5","17,5"
69,Italy,aggressive_trade,0,"7,1","6,3","5,5","5,9","8,7","4,2","5,9",7,"6,9","5,6",6,"69,1"
70,Italy,aggressive_trade,0,"5,7","9,2","6,3","6,8","5,1","7,4","7,3","7,5","5,8","7,3","6,8","75,2"
71,Iberian Peninsula,aggressive_trade,0,"7,4","6,8","4,9","5,8","7,2","5,4","4,3","6,2","7,4","5,1",7,"67,5"
72,Iberian Peninsula,aggressive_trade,0,"5,9","6,7","6,5","6,8","6,2","6,8","5,4","7,1","7,7",7,"7,2","73,3"
73,Iberian Peninsula,aggressive_trade,0,"6,6","6,8","7,9","7,4","6,3","8,1","6,3","7,7",7,"8,6","8,3",81
