Agent Class,Total Wealth,AegeanPottery,GallicPottery,EgyptianPottery,TarrPottery,ItalianPottery,EMPottery,IberianPottery,AdriaticPottery,NAPottery,WMPottery,BaeticanPottery
Adria,639.458000000025,7.98,8.39,8.21,8.01,1.26,8.19,7.86,8.25,10.59,8.07,8.4
Aegean,420.63399999999535,8.57,8.19,8.31,8.35,1.55,8.59,8.53,8.55,9.54,8.85,9.01
Baetica,342.2169999999998,6.28,6.29,6.34,6.17,0.86,6.6,6.18,6.74,10.36,6.23,6.32
Eastern Mediterranean,466.3559999999959,6.71,6.69,6.2,6.73,1.29,6.45,6.17,6.27,10.09,6.28,6.28
Egypt,215.06400000000377,5.77,5.2,5.83,5.08,0.95,5.51,5.43,5.48,8.21,5.85,5.09
Gallia,470.378000000013,4.54,4.61,4.67,4.64,0.68,4.36,4.64,4.56,7.74,4.14,4.5
Iberian Peninsula,580.2710000000048,4.95,5.26,5.14,5.11,0.79,5.15,5.06,5.1,8.03,5.56,5.29
Italy,612.2280000000187,5.34,5.19,4.93,5.16,0.79,5.32,5.23,5.14,8.78,5.28,4.86
North Africa,540.1500000000002,5.78,6.33,6.2,6.18,0.78,5.86,6.33,5.66,9.48,6.07,6.07
Tarraconensis,549.9329999999999,6.0,6.44,6.57,7.01,0.88,6.16,6.25,6.41,8.75,6.45,6.5
Western Mediterranean,354.2010000000058,5.33,5.04,5.23,5.32,0.66,5.44,5.34,5.18,8.21,5.23,5.21
