Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AegeanPottery,GallicPottery,EgyptianPottery,TarrPottery,ItalianPottery,EMPottery,IberianPottery,AdriaticPottery,NAPottery,WMPottery,BaeticanPottery
1,Adria,conservative_trade,False,-0.7300000000005646,2.5,2.0,1.1,1.5,0.2,2.1,1.6,2.2,3.7,1.4,1.3
2,Adria,aggressive_trade,False,-0.32500000001934665,11.75,12.25,11.75,10.5,2.0,10.25,7.0,10.75,7.25,11.25,8.25
2,Adria,aggressive_trade,True,3336.0333333334947,9.333333333333334,15.833333333333334,13.0,11.166666666666666,1.6666666666666667,12.333333333333334,11.833333333333334,13.5,25.0,12.0,13.5
3,Adria,conservative_trade,False,-0.7300000000006239,2.0,1.4,1.7,0.8,0.1,1.7,2.0,1.9,4.0,2.2,0.9
4,Adria,random_trade,False,-0.6100000000009681,2.8,2.8,3.9,3.6,0.6,4.1,3.6,3.7,2.7,3.3,4.3
5,Adria,aggressive_trade,False,-0.5666666666718972,10.833333333333334,9.333333333333334,12.0,11.0,2.3333333333333335,11.0,9.5,10.0,6.0,11.333333333333334,9.833333333333334
5,Adria,aggressive_trade,True,2435.950000000193,12.5,12.5,13.25,14.5,1.5,12.25,10.75,14.25,20.25,10.25,11.25
6,Adria,aggressive_trade,False,-0.8333333333678059,8.333333333333334,9.0,9.0,10.333333333333334,1.3333333333333333,8.333333333333334,13.333333333333334,10.666666666666666,12.666666666666666,13.666666666666666,11.666666666666666
6,Adria,aggressive_trade,True,1129.9000000000344,12.428571428571429,16.571428571428573,13.285714285714286,11.714285714285714,1.5714285714285714,12.285714285714286,11.285714285714286,12.285714285714286,20.0,11.571428571428571,12.714285714285714
7,Adria,random_trade,False,-0.6100000000008958,3.1,4.5,3.0,1.9,0.6,2.2,2.6,3.6,5.0,3.3,5.3
8,Adria,aggressive_trade,False,-0.7999999999982821,11.2,10.6,11.0,13.8,3.2,9.0,11.6,10.8,11.6,14.6,13.6
8,Adria,aggressive_trade,True,712.8800000000047,14.2,11.2,13.8,12.4,1.0,13.2,12.0,12.4,20.6,12.6,13.2
9,Adria,aggressive_trade,False,-0.7625000000100656,9.875,10.125,11.875,11.125,2.875,11.75,11.125,11.375,10.375,10.375,12.375
9,Adria,aggressive_trade,True,4854.700000000267,17.0,18.5,15.0,13.0,0.5,15.0,14.0,15.5,10.0,11.0,14.0
10,Adria,aggressive_trade,False,-0.45000000000607976,10.25,10.0,8.25,9.5,1.25,16.5,12.75,10.25,7.0,13.0,12.0
10,Adria,aggressive_trade,True,2174.766666666716,13.833333333333334,12.0,12.0,15.5,1.3333333333333333,12.666666666666666,14.0,12.166666666666666,23.166666666666668,10.666666666666666,11.833333333333334
11,Aegean,aggressive_trade,False,-0.4571428571563113,10.571428571428571,9.714285714285714,10.714285714285714,8.428571428571429,2.857142857142857,10.428571428571429,8.857142857142858,9.571428571428571,8.428571428571429,10.857142857142858,10.428571428571429
11,Aegean,aggressive_trade,True,2624.7000000000457,11.0,9.0,12.666666666666666,11.333333333333334,3.0,10.0,11.666666666666666,15.333333333333334,25.0,13.333333333333334,18.333333333333332
12,Aegean,aggressive_trade,False,-0.6571428571541353,14.428571428571429,11.857142857142858,12.0,11.142857142857142,3.0,11.285714285714286,12.0,10.285714285714286,8.428571428571429,11.571428571428571,10.0
12,Aegean,aggressive_trade,True,905.5666666665946,13.666666666666666,9.333333333333334,11.0,10.333333333333334,0.6666666666666666,15.666666666666666,11.0,16.0,23.333333333333332,13.0,12.666666666666666
13,Aegean,random_trade,False,-0.600000000000713,3.1,2.6,3.8,3.2,0.6,4.4,4.1,4.1,3.7,4.3,2.8
14,Aegean,random_trade,False,-0.6400000000007274,4.4,2.7,3.2,3.9,0.6,2.5,3.0,4.1,4.4,3.4,3.5
15,Aegean,random_trade,False,-0.8100000000008514,4.0,3.0,2.7,4.2,0.5,4.6,3.5,3.5,3.3,3.7,2.8
16,Aegean,aggressive_trade,False,-0.3800000000084204,10.8,9.4,10.0,11.0,2.0,12.0,9.2,9.0,6.2,8.6,12.6
16,Aegean,aggressive_trade,True,1071.6600000000399,11.4,13.8,11.6,13.0,1.0,12.0,12.8,10.8,23.0,13.2,12.6
17,Aegean,random_trade,False,-0.5800000000008952,2.7,3.4,4.6,2.8,0.5,2.8,3.4,2.9,3.9,4.5,3.4
18,Aegean,aggressive_trade,False,-0.300000000009993,8.0,6.0,8.0,8.0,6.0,16.0,7.0,13.0,3.0,13.0,9.0
18,Aegean,aggressive_trade,True,765.5222222221942,13.11111111111111,12.555555555555555,11.0,13.222222222222221,1.1111111111111112,13.333333333333334,14.11111111111111,12.0,19.11111111111111,14.777777777777779,13.11111111111111
19,Aegean,aggressive_trade,False,-0.7750000000131195,10.75,11.0,9.75,11.0,4.0,9.0,13.25,10.25,6.25,12.5,13.0
19,Aegean,aggressive_trade,True,1182.4333333332613,12.833333333333334,16.166666666666668,15.0,12.833333333333334,2.8333333333333335,13.0,12.5,12.666666666666666,13.0,11.5,12.833333333333334
20,Aegean,aggressive_trade,False,-0.7000000000139901,10.2,10.8,12.0,10.6,2.6,10.2,12.6,13.8,8.8,11.4,13.8
20,Aegean,aggressive_trade,True,2434.580000000096,11.6,13.2,10.8,14.2,0.8,13.2,12.8,14.0,14.0,11.8,17.8
21,Baetica,random_trade,False,-0.510000000000862,3.9,2.8,3.5,4.1,0.4,4.0,5.1,3.8,2.7,3.8,3.4
22,Baetica,conservative_trade,False,-0.4100000000006342,2.2,1.2,2.5,0.8,0.1,1.8,1.7,1.3,3.7,1.5,1.8
23,Baetica,aggressive_trade,False,-0.8600000000129159,12.4,14.8,13.0,11.6,1.6,11.8,12.0,10.0,8.8,13.6,9.4
23,Baetica,aggressive_trade,True,1418.9999999999677,11.0,12.2,13.4,14.4,1.8,10.8,8.8,13.8,28.6,11.8,9.4
24,Baetica,aggressive_trade,False,-0.642857142875909,12.714285714285714,10.714285714285714,11.285714285714286,11.142857142857142,2.142857142857143,11.714285714285714,9.571428571428571,14.285714285714286,9.0,7.285714285714286,15.428571428571429
24,Baetica,aggressive_trade,True,361.5999999999756,10.0,10.0,10.666666666666666,14.0,2.0,10.333333333333334,11.333333333333334,14.0,27.0,12.0,14.0
25,Baetica,random_trade,False,-0.7100000000008402,3.5,4.1,3.9,3.5,0.2,3.8,4.3,4.1,4.8,3.9,3.5
26,Baetica,conservative_trade,False,-0.8400000000006147,1.7,1.8,1.3,1.8,0.0,1.7,1.6,1.3,3.3,1.6,2.4
27,Baetica,conservative_trade,False,-0.6800000000006655,1.5,2.2,2.1,2.4,0.3,1.9,1.4,1.6,3.3,2.0,1.6
28,Baetica,aggressive_trade,False,-0.8750000000266281,8.5,11.25,12.75,8.75,2.75,11.0,10.75,11.5,19.5,8.5,9.25
28,Baetica,aggressive_trade,True,2617.9166666667898,10.833333333333334,11.333333333333334,10.0,9.5,0.16666666666666666,14.0,11.333333333333334,10.333333333333334,36.833333333333336,13.166666666666666,10.666666666666666
29,Baetica,aggressive_trade,False,-0.933333333326166,9.0,11.333333333333334,8.666666666666666,10.333333333333334,2.6666666666666665,14.0,11.333333333333334,17.0,16.0,9.333333333333334,14.0
29,Baetica,aggressive_trade,True,1483.8571428571152,13.428571428571429,12.285714285714286,13.285714285714286,11.857142857142858,1.4285714285714286,13.857142857142858,12.714285714285714,14.142857142857142,19.428571428571427,14.714285714285714,11.571428571428571
30,Baetica,random_trade,False,-0.6000000000007114,4.4,3.5,2.8,3.5,0.8,3.5,3.8,3.4,4.4,3.7,3.7
31,Eastern Mediterranean,aggressive_trade,False,-0.6999999999839985,13.0,11.0,12.5,10.5,4.5,13.0,10.5,16.0,8.0,16.0,11.0
31,Eastern Mediterranean,aggressive_trade,True,2767.125000000048,13.25,14.375,10.0,10.375,0.625,11.25,9.5,9.875,37.625,9.875,12.25
32,Eastern Mediterranean,random_trade,False,-0.6300000000006083,3.5,4.8,4.0,3.9,0.6,2.8,2.5,3.2,5.3,3.5,4.2
33,Eastern Mediterranean,aggressive_trade,False,-0.9250000000320615,12.0,10.25,7.75,9.0,5.5,8.5,11.5,10.5,6.25,10.5,7.25
33,Eastern Mediterranean,aggressive_trade,True,1970.0833333333612,12.166666666666666,13.166666666666666,12.166666666666666,12.166666666666666,1.6666666666666667,10.833333333333334,12.0,13.333333333333334,24.833333333333332,12.5,13.166666666666666
34,Eastern Mediterranean,random_trade,False,-0.7400000000007716,4.2,4.2,3.9,3.8,0.3,2.7,4.1,2.7,4.4,3.4,3.7
