Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,WMPottery,AegeanPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,AdriaticPottery,NAPottery
1,Adria,aggressive_trade,False,2.7800000000001566,2.3,1.8,2.3,1.9,2.5,2.9,3.2,2.7,2.3,2.8,1.7
2,Adria,random_trade,False,2.8800000000000403,2.4,1.7,2.0,2.2,2.5,1.8,2.3,1.5,2.5,2.4,1.6
3,Adria,random_trade,False,2.080000000000068,1.6,2.2,1.7,1.6,1.9,1.7,1.5,1.9,1.6,2.3,2.0
4,Adria,conservative_trade,False,1.4000000000001243,1.9,1.5,2.0,1.1,1.7,1.4,1.2,1.7,1.5,1.6,1.2
5,Adria,conservative_trade,False,2.280000000000052,1.9,0.7,1.4,2.1,1.1,1.2,1.2,1.2,1.0,1.8,0.8
6,Adria,aggressive_trade,False,2.910000000000066,1.6,2.5,2.3,2.2,3.4,2.9,1.9,2.3,3.6,2.1,3.8
7,Adria,conservative_trade,False,2.780000000000162,1.7,2.0,1.6,1.1,1.5,1.4,2.0,2.0,0.9,1.1,0.8
8,Adria,conservative_trade,False,2.3500000000001324,1.5,0.7,1.4,2.3,1.4,0.8,1.6,1.5,1.5,1.6,1.1
9,Adria,random_trade,False,2.3100000000000884,2.8,1.5,1.9,1.7,1.9,1.2,1.8,2.2,1.7,2.8,2.0
10,Adria,conservative_trade,False,2.740000000000058,0.9,2.2,1.8,1.5,2.1,1.3,1.5,1.0,2.1,1.2,1.3
11,Aegean,aggressive_trade,False,1.8500000000000791,1.5,1.9,2.4,2.4,2.7,2.2,2.5,2.2,2.9,3.8,2.2
12,Aegean,random_trade,False,3.2000000000001174,2.2,1.9,1.5,1.7,2.3,2.0,1.8,2.2,2.4,1.2,1.5
13,Aegean,random_trade,False,2.2400000000001503,2.1,2.7,2.6,2.5,1.3,1.8,2.1,1.8,1.1,1.4,2.8
14,Aegean,random_trade,False,1.580000000000164,1.4,2.4,2.1,2.4,2.6,2.1,2.2,1.3,2.2,2.3,2.2
15,Aegean,conservative_trade,False,2.180000000000093,2.0,1.9,1.1,1.3,1.3,1.3,1.5,1.1,1.9,1.3,1.5
16,Aegean,aggressive_trade,False,3.44000000000011,2.4,2.4,2.4,2.2,2.8,1.7,2.9,2.5,2.7,3.1,2.6
17,Aegean,random_trade,False,1.89000000000018,1.8,1.8,2.5,1.6,2.8,2.1,1.9,2.7,1.4,1.8,2.6
18,Aegean,aggressive_trade,False,2.199999999999973,2.9,2.4,2.5,2.2,3.1,1.7,1.9,2.4,2.3,2.3,2.0
19,Aegean,random_trade,False,4.100000000000178,1.5,1.2,1.6,2.5,3.0,2.2,1.9,2.0,2.4,2.3,2.0
20,Aegean,random_trade,False,2.660000000000153,2.1,1.6,1.7,3.1,2.3,1.8,1.8,2.2,2.6,2.4,1.9
21,Baetica,random_trade,False,2.4599999999999858,2.3,2.5,2.8,1.8,1.7,1.3,2.8,1.9,2.2,2.1,1.8
22,Baetica,conservative_trade,False,1.550000000000149,1.5,0.9,1.8,1.4,0.9,1.2,1.8,2.0,2.3,1.0,1.1
23,Baetica,random_trade,False,2.730000000000177,1.8,2.1,1.2,1.4,2.1,1.9,2.5,2.3,3.8,2.2,2.3
24,Baetica,random_trade,False,2.230000000000139,2.9,2.0,2.6,1.6,1.9,1.9,2.9,2.1,2.5,2.5,1.2
25,Baetica,aggressive_trade,False,2.770000000000017,2.8,2.8,3.2,2.9,2.1,1.6,2.3,3.4,3.0,2.0,3.2
26,Baetica,aggressive_trade,False,2.920000000000021,3.6,3.5,2.2,2.0,2.1,2.1,2.8,2.3,2.6,3.4,2.6
27,Baetica,conservative_trade,False,2.500000000000123,1.5,1.5,1.8,1.6,1.5,1.3,1.5,2.3,1.0,2.1,1.6
28,Baetica,conservative_trade,False,1.6000000000000028,1.9,1.2,1.7,1.1,1.7,1.0,1.7,2.3,1.3,2.3,1.4
