Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,WMPottery,AegeanPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,AdriaticPottery,NAPottery,total_pottery
1,Adria,aggressive_trade,False,"2,78","2,3","1,8","2,3","1,9","2,5","2,9","3,2","2,7","2,3","2,8","1,7","26,4"
2,Adria,random_trade,False,"2,88","2,4","1,7",2,"2,2","2,5","1,8","2,3","1,5","2,5","2,4","1,6","22,9"
3,Adria,random_trade,False,"2,08","1,6","2,2","1,7","1,6","1,9","1,7","1,5","1,9","1,6","2,3",2,20
4,Adria,conservative_trade,False,"1,4","1,9","1,5",2,"1,1","1,7","1,4","1,2","1,7","1,5","1,6","1,2","16,8"
5,Adria,conservative_trade,False,"2,28","1,9","0,7","1,4","2,1","1,1","1,2","1,2","1,2",1,"1,8","0,8","14,4"
6,Adria,aggressive_trade,False,"2,91","1,6","2,5","2,3","2,2","3,4","2,9","1,9","2,3","3,6","2,1","3,8","28,6"
7,Adria,conservative_trade,False,"2,78","1,7",2,"1,6","1,1","1,5","1,4",2,2,"0,9","1,1","0,8","16,1"
8,Adria,conservative_trade,False,"2,35","1,5","0,7","1,4","2,3","1,4","0,8","1,6","1,5","1,5","1,6","1,1","15,4"
9,Adria,random_trade,False,"2,31","2,8","1,5","1,9","1,7","1,9","1,2","1,8","2,2","1,7","2,8",2,"21,5"
10,Adria,conservative_trade,False,"2,74","0,9","2,2","1,8","1,5","2,1","1,3","1,5",1,"2,1","1,2","1,3","16,9"
11,Aegean,aggressive_trade,False,"1,85","1,5","1,9","2,4","2,4","2,7","2,2","2,5","2,2","2,9","3,8","2,2","26,7"
12,Aegean,random_trade,False,"3,2","2,2","1,9","1,5","1,7","2,3",2,"1,8","2,2","2,4","1,2","1,5","20,7"
13,Aegean,random_trade,False,"2,24","2,1","2,7","2,6","2,5","1,3","1,8","2,1","1,8","1,1","1,4","2,8","22,2"
14,Aegean,random_trade,False,"1,58","1,4","2,4","2,1","2,4","2,6","2,1","2,2","1,3","2,2","2,3","2,2","23,2"
15,Aegean,conservative_trade,False,"2,18",2,"1,9","1,1","1,3","1,3","1,3","1,5","1,1","1,9","1,3","1,5","16,2"
16,Aegean,aggressive_trade,False,"3,44","2,4","2,4","2,4","2,2","2,8","1,7","2,9","2,5","2,7","3,1","2,6","27,7"
17,Aegean,random_trade,False,"1,89","1,8","1,8","2,5","1,6","2,8","2,1","1,9","2,7","1,4","1,8","2,6",23
18,Aegean,aggressive_trade,False,"2,2","2,9","2,4","2,5","2,2","3,1","1,7","1,9","2,4","2,3","2,3",2,"25,7"
19,Aegean,random_trade,False,"4,1","1,5","1,2","1,6","2,5",3,"2,2","1,9",2,"2,4","2,3",2,"22,6"
20,Aegean,random_trade,False,"2,66","2,1","1,6","1,7","3,1","2,3","1,8","1,8","2,2","2,6","2,4","1,9","23,5"
21,Baetica,random_trade,False,"2,46","2,3","2,5","2,8","1,8","1,7","1,3","2,8","1,9","2,2","2,1","1,8","23,2"
22,Baetica,conservative_trade,False,"1,55","1,5","0,9","1,8","1,4","0,9","1,2","1,8",2,"2,3",1,"1,1","15,9"
23,Baetica,random_trade,False,"2,73","1,8","2,1","1,2","1,4","2,1","1,9","2,5","2,3","3,8","2,2","2,3","23,6"
24,Baetica,random_trade,False,"2,23","2,9",2,"2,6","1,6","1,9","1,9","2,9","2,1","2,5","2,5","1,2","24,1"
25,Baetica,aggressive_trade,False,"2,77","2,8","2,8","3,2","2,9","2,1","1,6","2,3","3,4",3,2,"3,2","29,3"
26,Baetica,aggressive_trade,False,"2,92","3,6","3,5","2,2",2,"2,1","2,1","2,8","2,3","2,6","3,4","2,6","29,2"
27,Baetica,conservative_trade,False,"2,5","1,5","1,5","1,8","1,6","1,5","1,3","1,5","2,3",1,"2,1","1,6","17,7"
28,Baetica,conservative_trade,False,"1,6","1,9","1,2","1,7","1,1","1,7",1,"1,7","2,3","1,3","2,3","1,4","17,6"
29,Baetica,random_trade,False,"1,73","2,1","1,8","1,9","3,1","2,2","2,5","2,2",2,"1,7","2,8",2,"24,3"
30,Baetica,conservative_trade,False,"2,39","1,5","0,7","1,1","1,9","1,6","1,8","1,3","1,6","1,4","1,2","2,2","16,3"
31,Eastern Mediterranean,conservative_trade,False,"3,09","1,3","1,4","1,7","2,1","1,3","2,1",2,"1,9","1,2","0,8","1,6","17,4"
32,Eastern Mediterranean,aggressive_trade,False,"2,24","2,7","1,9","2,5",2,"2,8","1,8","2,4","2,3","2,5","3,8","2,8","27,5"
33,Eastern Mediterranean,random_trade,False,"2,5",2,"1,7","1,9","1,9","2,2","2,1","2,7","1,7","1,2","2,5","1,8","21,7"
34,Eastern Mediterranean,aggressive_trade,False,"4,61","1,5","2,8","2,8","2,1","2,3","2,4","2,3",3,"2,6","1,9","2,5","26,2"
35,Eastern Mediterranean,conservative_trade,False,"1,98","1,9","1,4","1,2","1,2","1,6","1,4","2,2","1,7","1,4","1,8","1,5","17,3"
36,Eastern Mediterranean,random_trade,False,"2,58","2,6",3,"2,5","1,4",1,"1,7","2,2","3,3","1,8","2,8","2,2","24,5"
37,Eastern Mediterranean,random_trade,False,"1,8","1,5","1,6",2,"1,3","2,3","1,9","2,8","2,4","2,1",3,"2,1",23
38,Eastern Mediterranean,aggressive_trade,False,"1,78","2,7","2,4","2,8","2,7","2,8","2,7","2,6","2,7","2,6","3,4","2,4","29,8"
39,Eastern Mediterranean,conservative_trade,False,"2,49","1,2","1,7","1,5","2,1","1,4","1,6","1,2","2,5",2,"1,2","1,5","17,9"
40,Eastern Mediterranean,random_trade,False,"1,65","2,5","3,1","1,9","2,8",2,"2,6","2,5","1,9","1,2","1,3",2,"23,8"
41,Egypt,random_trade,False,"2,3","1,8","1,5","2,4",2,"2,1","3,1","1,9","2,6","1,5","2,1","2,5","23,5"
42,Egypt,random_trade,False,"1,15","2,4","1,9","2,4",2,"2,2","2,8","3,6","1,6","2,5","2,6","3,1","27,1"
