Agent Class,Total Wealth,BaeticanPottery,WMPottery,AdriaticPottery,IberianPottery,NAPottery,EgyptianPottery,GallicPottery,EMPottery,ItalianPottery,TarrPottery,AegeanPottery
Adria,242.15,1.48,1.45,1.28,1.52,1.44,1.46,1.52,1.56,1.26,1.38,1.49
Aegean,232.43,1.48,1.72,1.54,1.62,1.67,1.43,1.69,1.4,1.37,1.52,1.74
Baetica,260.54,1.88,1.58,1.89,1.64,1.8,1.84,1.76,1.6,1.87,1.9,1.5
Eastern Mediterranean,263.58,1.45,1.45,1.6,1.65,1.58,1.42,1.73,1.7,1.48,1.49,1.4
Egypt,262.24,1.8,1.89,1.62,1.74,1.75,1.7,1.65,1.76,1.76,1.76,1.68
Gallia,221.26,1.86,1.72,1.71,1.57,1.9,1.66,1.77,1.87,1.85,2.01,1.66
Iberian Peninsula,216.44,1.85,2.08,2.02,1.93,1.94,2.2,1.85,1.63,1.98,1.96,1.86
Italy,256.24,1.84,1.95,1.76,1.93,1.79,1.93,2.23,2.03,1.71,1.84,1.7
North Africa,267.56,1.93,1.78,1.82,1.97,1.6,1.7,1.5,1.67,1.89,1.91,1.71
Tarraconensis,230.7,1.76,1.96,2.21,1.83,2.07,2.19,2.11,2.0,2.01,1.87,2.09
Western Mediterranean,273.12,2.16,2.04,1.99,2.0,1.96,2.26,2.22,2.05,2.17,2.17,2.28
