Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,WMPottery,AdriaticPottery,IberianPottery,NAPottery,EgyptianPottery,GallicPottery,EMPottery,ItalianPottery,TarrPottery,AegeanPottery
1,Adria,conservative_trade,False,209.7,1.2,1.4,1.2,1.6,1.7,0.8,1.9,1.2,1.2,1.2,1.1
2,Adria,aggressive_trade,False,318.8,1.3,2.6,1.9,1.7,1.9,1.6,2.2,2.6,1.5,2.5,2.1
3,Adria,conservative_trade,False,344.2,1.4,0.9,0.6,1.5,1.3,1.1,1.0,1.4,1.3,0.9,1.4
4,Adria,random_trade,False,116.0,1.6,1.7,1.5,1.6,1.8,2.0,1.5,1.7,1.1,1.3,1.3
5,Adria,conservative_trade,False,174.0,0.9,1.1,1.7,1.1,1.2,1.4,1.0,1.7,1.6,1.0,1.4
6,Adria,conservative_trade,False,212.0,2.1,0.8,1.8,1.2,1.2,1.1,1.7,1.3,0.8,0.9,1.8
7,Adria,conservative_trade,False,191.6,1.8,1.7,1.0,1.1,1.0,1.4,1.3,1.1,1.1,1.4,0.8
8,Adria,conservative_trade,False,266.7,1.3,1.4,0.8,1.7,0.8,1.4,1.1,1.3,1.0,1.4,1.2
9,Adria,random_trade,False,360.2,1.8,1.1,1.0,1.8,1.5,1.8,1.5,1.4,1.2,2.0,1.7
10,Adria,aggressive_trade,False,228.3,1.4,1.8,1.3,1.9,2.0,2.0,2.0,1.9,1.8,1.2,2.1
11,Aegean,conservative_trade,False,159.4,1.1,0.7,0.7,1.3,0.9,0.7,1.1,1.6,1.3,1.7,2.1
12,Aegean,conservative_trade,False,110.2,1.3,0.6,2.0,0.7,1.3,1.5,1.3,1.5,1.0,0.9,0.7
13,Aegean,random_trade,False,194.2,1.0,1.7,1.3,1.8,2.1,2.3,2.0,1.2,1.4,2.1,1.5
14,Aegean,conservative_trade,False,128.9,0.9,1.3,0.9,0.7,1.4,1.6,1.3,0.8,1.2,1.5,1.7
15,Aegean,random_trade,False,336.3,1.9,1.8,1.6,1.6,1.3,1.1,1.6,1.6,1.4,1.6,2.2
16,Aegean,conservative_trade,False,360.8,0.8,1.4,1.2,2.1,1.1,0.7,1.5,1.0,1.3,1.1,0.9
17,Aegean,aggressive_trade,False,160.6,2.4,2.1,1.5,2.0,1.8,1.6,1.2,1.2,1.5,2.2,2.1
18,Aegean,aggressive_trade,False,270.4,2.0,2.2,2.0,2.2,2.0,1.3,2.8,1.5,1.6,1.1,2.5
19,Aegean,aggressive_trade,False,394.4,1.7,2.8,2.8,2.0,2.4,1.8,2.2,1.8,1.3,1.3,1.7
20,Aegean,aggressive_trade,False,209.1,1.7,2.6,1.4,1.8,2.4,1.7,1.9,1.8,1.7,1.7,2.0
21,Baetica,random_trade,False,160.8,1.2,1.2,1.9,2.0,1.2,1.7,2.2,1.3,1.5,2.1,1.3
22,Baetica,conservative_trade,False,286.0,1.0,1.1,1.4,1.4,1.1,1.6,1.0,1.1,1.2,2.0,1.6
23,Baetica,random_trade,False,278.7,2.3,2.0,2.1,2.0,1.9,1.6,1.1,1.7,1.2,1.4,1.4
24,Baetica,aggressive_trade,False,184.5,3.2,1.8,1.5,1.5,1.9,2.2,2.6,1.5,2.8,2.1,1.5
25,Baetica,random_trade,False,163.1,2.0,1.0,1.8,1.8,2.4,1.4,2.2,1.5,1.5,1.8,2.0
26,Baetica,random_trade,False,250.7,1.8,1.7,2.1,0.8,2.2,1.4,2.2,1.3,2.3,1.2,1.8
27,Baetica,aggressive_trade,False,457.3,1.9,2.1,2.8,1.6,1.8,2.0,1.5,1.8,1.9,2.7,1.3
28,Baetica,conservative_trade,False,311.5,1.0,1.7,1.5,1.3,1.0,1.7,1.6,1.3,1.6,1.0,1.1
29,Baetica,aggressive_trade,False,394.1,2.0,1.8,1.9,2.0,2.5,3.1,1.8,1.9,2.9,2.3,1.6
30,Baetica,aggressive_trade,False,118.7,2.4,1.4,1.9,2.0,2.0,1.7,1.4,2.6,1.8,2.4,1.4
31,Eastern Mediterranean,conservative_trade,False,397.2,1.3,1.5,1.1,1.6,1.1,1.4,1.8,1.1,1.5,1.7,1.6
32,Eastern Mediterranean,conservative_trade,False,302.1,0.9,1.0,1.6,1.4,1.4,0.9,2.2,1.4,0.6,1.4,0.7
33,Eastern Mediterranean,aggressive_trade,False,162.1,1.6,1.0,1.5,1.8,1.8,2.0,3.0,1.7,1.8,1.9,2.4
34,Eastern Mediterranean,conservative_trade,False,225.6,1.5,1.3,1.4,1.2,0.9,0.8,1.6,1.6,1.5,1.6,0.9
35,Eastern Mediterranean,conservative_trade,False,400.0,1.1,1.4,1.4,1.5,1.5,1.1,1.3,1.1,1.6,1.4,1.1
36,Eastern Mediterranean,conservative_trade,False,161.0,0.9,1.2,1.2,1.3,2.2,1.3,0.4,1.9,1.6,1.6,0.8
37,Eastern Mediterranean,random_trade,False,178.5,2.0,1.2,1.7,1.8,1.7,1.4,1.4,1.7,1.7,1.5,1.5
38,Eastern Mediterranean,aggressive_trade,False,237.4,2.0,2.2,2.1,2.3,1.9,1.8,2.2,3.3,1.2,2.3,2.1
39,Eastern Mediterranean,conservative_trade,False,211.1,1.4,1.7,1.6,2.1,1.0,1.0,1.2,1.1,1.2,0.8,1.5
40,Eastern Mediterranean,aggressive_trade,False,360.8,1.8,2.0,2.4,1.5,2.3,2.5,2.2,2.1,2.1,0.7,1.4
41,Egypt,conservative_trade,False,390.3,1.2,1.4,1.6,1.6,0.9,1.5,1.0,1.7,1.9,0.9,1.2
