Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,WMPottery,AdriaticPottery,IberianPottery,NAPottery,EgyptianPottery,GallicPottery,EMPottery,ItalianPottery,TarrPottery,AegeanPottery,total_pottery
1,Adria,conservative_trade,False,"209,7","1,2","1,4","1,2","1,6","1,7","0,8","1,9","1,2","1,2","1,2","1,1","14,5"
2,Adria,aggressive_trade,False,"318,8","1,3","2,6","1,9","1,7","1,9","1,6","2,2","2,6","1,5","2,5","2,1","21,9"
3,Adria,conservative_trade,False,"344,2","1,4","0,9","0,6","1,5","1,3","1,1",1,"1,4","1,3","0,9","1,4","12,8"
4,Adria,random_trade,False,116,"1,6","1,7","1,5","1,6","1,8",2,"1,5","1,7","1,1","1,3","1,3","17,1"
5,Adria,conservative_trade,False,174,"0,9","1,1","1,7","1,1","1,2","1,4",1,"1,7","1,6",1,"1,4","14,1"
6,Adria,conservative_trade,False,212,"2,1","0,8","1,8","1,2","1,2","1,1","1,7","1,3","0,8","0,9","1,8","14,7"
7,Adria,conservative_trade,False,"191,6","1,8","1,7",1,"1,1",1,"1,4","1,3","1,1","1,1","1,4","0,8","13,7"
8,Adria,conservative_trade,False,"266,7","1,3","1,4","0,8","1,7","0,8","1,4","1,1","1,3",1,"1,4","1,2","13,4"
9,Adria,random_trade,False,"360,2","1,8","1,1",1,"1,8","1,5","1,8","1,5","1,4","1,2",2,"1,7","16,8"
10,Adria,aggressive_trade,False,"228,3","1,4","1,8","1,3","1,9",2,2,2,"1,9","1,8","1,2","2,1","19,4"
11,Aegean,conservative_trade,False,"159,4","1,1","0,7","0,7","1,3","0,9","0,7","1,1","1,6","1,3","1,7","2,1","13,2"
12,Aegean,conservative_trade,False,"110,2","1,3","0,6",2,"0,7","1,3","1,5","1,3","1,5",1,"0,9","0,7","12,8"
13,Aegean,random_trade,False,"194,2",1,"1,7","1,3","1,8","2,1","2,3",2,"1,2","1,4","2,1","1,5","18,4"
14,Aegean,conservative_trade,False,"128,9","0,9","1,3","0,9","0,7","1,4","1,6","1,3","0,8","1,2","1,5","1,7","13,3"
15,Aegean,random_trade,False,"336,3","1,9","1,8","1,6","1,6","1,3","1,1","1,6","1,6","1,4","1,6","2,2","17,7"
